NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RS110,-1.7561388041428156,-2.543804250520449,-1.1272111471763377,-0.3243444185323955,10,0.9,1.0,0.474,0.427,3
RS121,-0.07890378259664736,-0.12947127996239177,-0.07563434415399362,-0.014648524660835625,72,0.611,1.0,0.506,0.309,2
RS122,-0.027425060475312592,-0.04032241409005231,-0.02150734411639283,-0.012246507447320858,104,0.365,1.0,0.5,0.182,1
RS123,-0.31306311571851864,-0.3913173238163813,-0.16702269928142405,-0.10294566163160737,43,0.93,0.73,0.028,0.019,1
RS124,-11.591916834854485,-13.73063676496927,-11.591916834854485,-9.4531969047397,2,1.0,1.0,0.919,0.919,5
RS125,-0.5000372684042543,-0.7420404762477806,-0.3687148201898223,-0.30581996904986475,32,0.938,0.868,0.798,0.65,4
RS126,-0.05662903068234172,-0.08614628865117353,-0.027568859510846495,-0.014094718421249696,101,0.485,0.67,0.543,0.176,1
RS127,-0.03420550734903214,-0.04708632329917404,-0.024759133343545212,-0.011950615941784423,74,0.419,0.684,0.7,0.201,2
RS211,-0.04549944077195432,-0.06035257193795161,-0.038937044289180676,-0.01819017317055241,47,0.574,1.0,0.491,0.282,2
RS212,-0.11119020483752816,-0.2290521092527453,-0.03990652267545033,-0.01426559054528645,89,0.517,0.991,0.827,0.424,3
RS213,-0.8118294433724993,-0.8572071473664317,-0.5953686341961728,-0.3493236380938541,20,0.95,0.824,1.0,0.783,4
RS214,-0.78764635522243,-0.847264351039836,-0.4517766885134603,-0.29533822011962857,21,0.905,1.0,0.971,0.879,5
RS215,-0.444942837214184,-0.40679629226647795,-0.31048197567116326,-0.17744994794673835,34,0.971,0.795,0.599,0.462,3
RS216,-0.04831296138129877,-0.08148243048666363,-0.02572302798938779,-0.010367594668654211,109,0.44,1.0,1.0,0.44,3
RS217,-0.08505819124217905,-0.1427060769484179,-0.056947569165555864,-0.016289206094635286,91,0.637,0.795,0.647,0.328,2
RS218,-1.125579471437802,-1.4444116560204767,-0.7169653871117257,-0.41991109019925466,15,1.0,1.0,0.921,0.921,5
RS221,-0.0349502146420773,-0.05022791223460613,-0.027856375115765167,-0.012080773114196492,73,0.438,0.99,0.461,0.2,1
RS222,-0.14452516745145924,-0.25692918316746904,-0.09110382802302053,-0.02807801607534547,76,0.711,0.75,0.858,0.458,3
RS223,-0.09626123727074487,-0.18789421695246883,-0.041598473862131,-0.015908886233129214,98,0.551,1.0,0.895,0.493,3
RS224,-1.1126237465924784,-1.2182492247954992,-0.8382212433184442,-0.36016353204502904,15,1.0,1.0,0.966,0.966,5
RS225,-1.7483748672371606,-2.2342289274722926,-0.9557725883906524,-0.5784292798517727,11,1.0,1.0,0.48,0.48,3
RS226,-0.034914600942376,-0.05207187050466701,-0.02874515247282984,-0.011994534698667975,106,0.481,1.0,0.199,0.096,1
RS227,-0.127233212959615,-0.26382100136046815,-0.031106122387354385,-0.0151384577939216,89,0.539,1.0,0.546,0.294,2
RS228,-0.1697558792081959,-0.28330527564480557,-0.18121680528793344,-0.03161497921249444,73,0.753,0.475,0.01,0.004,1
RS229,-0.1927164997987108,-0.291985623225073,-0.18404887516537502,-0.04240500113917328,65,0.831,1.0,0.778,0.647,4
