Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FR: Lot,FRJ25,-0.03153046832169075,-0.0401063974500269,-0.02174070441122808,-0.010961712486911076,111,0.712,0.592,0.422,0.178,1
FR: Haute-Saône,FRC23,-0.03524918595527098,-0.05071852555286418,-0.02384639332464833,-0.01216446025570737,108,0.741,0.547,0.703,0.285,2
FR: Sarthe,FRG04,-0.033774004889366264,-0.04632982646187416,-0.025778939454604702,-0.012877256401262815,101,0.762,0.931,0.68,0.482,3
FR: Corrèze,FRI21,-0.02969187377009691,-0.03768609769847398,-0.02025945747835837,-0.009241545614037987,107,0.673,0.243,0.449,0.073,1
FR: Eure,FRD21,-0.03814685503531578,-0.05149444202054519,-0.02319794248627032,-0.008449199060773573,101,0.703,1.0,0.891,0.626,4
FR: Pas-de-Calais,FRE12,-0.03362537686662229,-0.04505031788733957,-0.02369540939821212,-0.009827179748936515,103,0.699,1.0,0.925,0.647,4
FR: Finistère,FRH02,-0.03912820900664322,-0.05952920588070956,-0.027278545111478408,-0.010737157607474197,101,0.723,1.0,0.809,0.585,3
FR: Pyrénées-Atlantiques,FRI15,-0.04205216361566345,-0.058062123313491115,-0.029463658419902814,-0.014869984259671488,96,0.792,0.712,0.795,0.448,3
FR: Haute-Marne,FRF24,-0.02914757526724763,-0.03731096360206901,-0.018701408701660174,-0.00837987703029068,114,0.658,0.808,0.267,0.142,1
FR: Ain,FRK21,-0.032894276969165546,-0.04187366430125973,-0.023895383942409386,-0.012271276421126458,106,0.736,0.516,0.907,0.344,2
FR: Aveyron,FRJ22,-0.0328921177999601,-0.04370065643131887,-0.022329095856766016,-0.009050487373267958,112,0.652,0.777,0.353,0.179,1
FR: Orne,FRD13,-0.029408356933129348,-0.03706519041117623,-0.021137217811810976,-0.009098747094536863,108,0.685,0.708,0.42,0.204,2
FR: Hautes-Pyrénées,FRJ26,-0.027252455108055875,-0.03434116801907341,-0.020196262605798244,-0.010045679990146652,114,0.684,0.481,0.739,0.243,2
FR: Cantal,FRK12,-0.04103569602045413,-0.0559322790126434,-0.02907258699567509,-0.011276427556219017,110,0.727,0.324,0.338,0.08,1
FR: Maine-et-Loire,FRG02,-0.04071953386002476,-0.047803741543917685,-0.02414974494914397,-0.010931919137667053,106,0.726,1.0,0.796,0.578,3
