,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
52,UKD46,-0.06277666604512384,-0.08499003612234275,-0.049635358883625066,-0.022083528316867083,121,0.711,0.304,0.876,0.189,1
53,UKD47,-0.06896478380558112,-0.09745698774694322,-0.05284455232211001,-0.02231331611328885,119,0.681,0.027,0.558,0.01,1
54,UKD61,-0.07186175314830286,-0.102880658436214,-0.06244855967078189,-0.025940623162845376,114,0.711,0.022,0.567,0.009,1
55,UKD62,-0.06702331485922998,-0.09122869489929356,-0.053295350122949135,-0.02366048017024166,118,0.703,0.379,0.81,0.216,2
56,UKD63,-0.07137544987096997,-0.10745645358933684,-0.06512227576511626,-0.02415068524045437,119,0.706,0.501,0.748,0.265,2
57,UKD71,-0.06120688543494436,-0.08684280122712368,-0.05247011530730984,-0.020892838252406638,121,0.678,0.663,0.738,0.332,2
58,UKD72,-0.08034824703145221,-0.11138675266683203,-0.0691391714214835,-0.026668320516000987,111,0.739,0.947,0.75,0.525,3
59,UKD73,-0.07851476000908009,-0.10520011977243238,-0.0595119273380577,-0.02906976744186046,113,0.77,1.0,0.155,0.119,1
60,UKD74,-0.08034824703145221,-0.11138675266683203,-0.0691391714214835,-0.026668320516000987,111,0.739,0.287,0.895,0.19,1
61,UKE11,-0.084233409610984,-0.10751417769376184,-0.07013232514177695,-0.03312854442344046,114,0.798,0.911,0.093,0.068,1
62,UKE12,-0.07546831669992835,-0.10288592864108603,-0.06130704913702559,-0.025754030698278807,117,0.726,0.204,0.587,0.087,1
63,UKE13,-0.08170246103350821,-0.10682405134025155,-0.06866795734338181,-0.03219830431783285,116,0.828,0.096,0.567,0.045,1
64,UKE21,-0.08029212310902452,-0.10895774647887324,-0.06997183098591551,-0.03230046948356807,117,0.786,0.923,0.75,0.544,3
65,UKH25,-0.09052474928144648,-0.11861832927113926,-0.06308976453749796,-0.037681599979734276,110,0.818,0.233,0.75,0.143,1
66,UKH31,-0.08795282983370571,-0.12694877505567928,-0.06722008503745697,-0.04150637780927312,113,0.858,1.0,0.797,0.684,4
67,UKH32,-0.08088335338381335,-0.11149954001839923,-0.059613615455381776,-0.03367065317387304,117,0.786,0.757,0.01,0.006,1
68,UKH34,-0.08541328111229254,-0.12623117117087446,-0.0654865318395974,-0.037158685016146636,109,0.817,0.376,0.667,0.205,2
69,UKH35,-0.08149657639421222,-0.11129874611525116,-0.056240196951358776,-0.034609351970066954,111,0.82,0.27,0.676,0.15,1
70,UKH36,-0.08795282983370571,-0.12694877505567928,-0.06722008503745697,-0.04150637780927312,113,0.858,0.285,0.749,0.183,1
71,UKH37,-0.07638117395934975,-0.10494401264655516,-0.05387959425635622,-0.03085891186931893,118,0.788,0.869,0.795,0.544,3
72,UKI31,-0.08417465868482941,-0.11226749335695307,-0.058813108945969896,-0.03286093888396811,116,0.793,1.0,0.791,0.627,4
73,UKI32,-0.08417465868482941,-0.11226749335695307,-0.058813108945969896,-0.03286093888396811,116,0.793,0.257,0.797,0.162,1
74,UKI33,-0.08417465868482941,-0.11226749335695307,-0.058813108945969896,-0.03286093888396811,116,0.793,0.536,0.797,0.339,2
75,UKI34,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,0.252,0.797,0.17,1
76,UKI41,-0.08417465868482941,-0.11226749335695307,-0.058813108945969896,-0.03286093888396811,116,0.793,0.213,0.659,0.111,1
77,UKI42,-0.08417465868482941,-0.11226749335695307,-0.058813108945969896,-0.03286093888396811,116,0.793,0.173,0.904,0.124,1
78,UKI43,-0.0868918716060986,-0.11687127976190477,-0.05336681547619049,-0.03534226190476191,114,0.816,0.319,0.842,0.219,2
79,UKI44,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,0.254,0.873,0.188,1
80,UKI45,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,0.139,0.561,0.066,1
81,UKI51,-0.0859082882607305,-0.12091878589007383,-0.06669401148482362,-0.03925348646431501,118,0.847,0.769,0.647,0.421,3
82,UKI52,-0.08246028106473607,-0.11931820719035093,-0.061981164513550555,-0.033178678122167196,118,0.822,0.865,0.653,0.464,3
83,UKI53,-0.0868918716060986,-0.11687127976190477,-0.05336681547619049,-0.03534226190476191,114,0.816,0.981,0.874,0.7,4
84,UKI54,-0.0868918716060986,-0.11687127976190477,-0.05336681547619049,-0.03534226190476191,114,0.816,0.334,0.875,0.238,2
85,UKI61,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,1.0,0.871,0.738,4
86,UKI62,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,0.369,0.779,0.243,2
87,UKI63,-0.08944678184097227,-0.12041800643086814,-0.06858520900321544,-0.03834405144694534,118,0.847,0.023,0.628,0.012,1
88,UKI71,-0.0868918716060986,-0.11687127976190477,-0.05336681547619049,-0.03534226190476191,114,0.816,0.391,0.56,0.179,1
89,UKI72,-0.0868918716060986,-0.11687127976190477,-0.05336681547619049,-0.03534226190476191,114,0.816,0.451,0.559,0.206,2
90,UKI73,-0.08559577992199116,-0.1087938364564351,-0.05895644144490125,-0.02952253300843284,116,0.767,0.354,0.754,0.205,2
91,UKI74,-0.0873803708004645,-0.11459276018099548,-0.057466063348416294,-0.03042986425339366,113,0.788,0.284,0.751,0.168,1
92,UKI75,-0.08224599926331946,-0.11201727228287436,-0.06273423496822551,-0.02973765683558741,119,0.773,0.34,0.75,0.197,1
93,UKJ11,-0.08416038231460339,-0.1106083532768213,-0.06615806549855696,-0.03216657483861642,114,0.781,0.562,0.749,0.329,2
94,UKJ12,-0.08648668962712425,-0.11425247236765562,-0.06131471785922046,-0.032577079697498554,113,0.788,0.965,0.749,0.57,3
95,UKJ13,-0.08504357405744888,-0.10916962023940249,-0.0604655682275302,-0.027466187934202378,113,0.743,0.632,0.793,0.372,2
96,UKJ14,-0.0787803643377863,-0.11206768110590723,-0.056712400645198925,-0.023237039340290606,115,0.722,0.348,0.788,0.198,1
97,UKJ21,-0.09357059661186189,-0.12272951628825274,-0.07307502467917079,-0.0416995722277065,116,0.802,0.822,0.655,0.432,3
98,UKJ22,-0.0813804532908781,-0.10982118497069536,-0.06689283246272446,-0.037644788926306585,118,0.814,1.0,0.422,0.344,2
99,UKJ25,-0.08689228920065581,-0.1068576833111301,-0.06932683880885834,-0.0344101370935829,114,0.807,0.967,0.01,0.008,1
100,UKJ26,-0.08224599926331946,-0.11201727228287436,-0.06273423496822551,-0.02973765683558741,119,0.773,0.904,0.649,0.454,3
101,UKJ27,-0.08549829947757968,-0.10914834942986545,-0.07313096784572254,-0.03836048728968479,111,0.811,1.0,0.649,0.526,3
102,UKJ28,-0.08599135077800696,-0.10880503489535312,-0.06339877370780653,-0.03656393773437542,120,0.825,0.887,0.537,0.393,2
