,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PL714,0.765,1.0,0.608,0.465,3
1,PL713,0.76,0.391,0.754,0.224,2
2,PL712,0.78,1.0,0.993,0.775,4
3,PL711,0.763,1.0,1.0,0.763,4
4,PL715,0.754,1.0,0.01,0.008,1
