Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT: Mühlviertel,AT313,-0.03909305638930241,-0.04923030380466701,-0.025107489196033395,-0.013151281034848491,108,0.796,0.242,0.915,0.176,1
AT: Lungau,AT321,-0.0374876506510292,-0.04355523280918678,-0.025452862933130312,-0.01508111843296793,107,0.832,0.235,0.128,0.025,1
AT: Oststeiermark,AT224,-0.036348046308679056,-0.04526461991189624,-0.025345747913739385,-0.011411146119983463,110,0.773,0.618,0.888,0.424,3
AT: West- und Südsteiermark,AT225,-0.028098361846342644,-0.03709226626465997,-0.019642421023570496,-0.010397894680606923,115,0.713,0.441,0.864,0.272,2
AT: Pinzgau-Pongau,AT322,-0.03226144312300002,-0.03867060535506221,-0.0214526718805985,-0.00968032364053065,109,0.706,0.122,0.418,0.036,1
AT: Salzburg und Umgebung,AT323,-0.031038637483095873,-0.037021440269122116,-0.021529831628720346,-0.011965137473924706,109,0.761,0.19,0.896,0.13,1
AT: Steyr-Kirchdorf,AT314,-0.027199958128832434,-0.034400719302282196,-0.018489084724587795,-0.01205315396852433,117,0.752,0.266,0.749,0.15,1
AT: Traunviertel,AT315,-0.033345687571021826,-0.04359826600959659,-0.021277941874843248,-0.01296480376961581,114,0.772,0.261,0.792,0.16,1
AT: Außerfern,AT331,-0.033621901726276875,-0.04447405270279781,-0.023287104293555416,-0.012614477022377044,113,0.814,0.5,0.444,0.181,1
AT: Innsbruck,AT332,-0.03319626620894261,-0.03922603511291507,-0.021058712049845954,-0.012359171832214768,112,0.786,0.257,0.688,0.139,1
AT: Osttirol,AT333,-0.036405561353214905,-0.04518061800833299,-0.022368067938924558,-0.013289244571063527,109,0.789,0.284,0.01,0.002,1
AT: Tiroler Oberland,AT334,-0.0303468220328223,-0.04013802956487943,-0.023705807285375573,-0.012360613201226823,109,0.771,0.222,0.401,0.069,1
AT: Östliche Obersteiermark,AT223,-0.02798043691731344,-0.0354282287309695,-0.021630571556741106,-0.010193487868283339,114,0.728,0.243,0.724,0.128,1
AT: Sankt Pölten,AT123,-0.03321560467974028,-0.03843433414518488,-0.026585552765933065,-0.012098402499090081,103,0.767,0.475,0.856,0.312,2
AT: Westliche Obersteiermark,AT226,-0.0355282598897299,-0.04373713591302357,-0.026753522026318248,-0.011589596293523782,109,0.752,0.286,0.305,0.066,1
AT: Innviertel,AT311,-0.02535381550774279,-0.03477714046890715,-0.018363850054472223,-0.009041314579757,117,0.692,0.842,0.895,0.521,3
AT: Mostviertel-Eisenwurzen,AT121,-0.030109830082081488,-0.036191502685320016,-0.02121509065167931,-0.009444821629737149,114,0.711,0.36,0.707,0.181,1
AT: Niederösterreich-Süd,AT122,-0.037225782714274,-0.04454549639858532,-0.02470971115052848,-0.011068508128543543,108,0.75,0.175,0.819,0.107,1
AT: Waldviertel,AT124,-0.030542512386338237,-0.037171273571537974,-0.02379635463964219,-0.011045373515036077,112,0.75,0.517,0.379,0.147,1
AT: Linz-Wels,AT312,-0.028708919944089653,-0.03443652589692112,-0.0211816466883184,-0.010119873433995116,109,0.706,0.839,0.99,0.586,3
AT: Tiroler Unterland,AT335,-0.025233085824126502,-0.033358329753863714,-0.016350533424858607,-0.009008226814830475,112,0.688,0.193,0.594,0.079,1
AT: Bludenz-Bregenzer Wald,AT341,-0.021049822981088918,-0.03032093692576944,-0.014443192933903603,-0.006627749636173266,124,0.589,0.443,0.782,0.204,2
AT: Rheintal-Bodenseegebiet,AT342,-0.02670345976442863,-0.03267306138784182,-0.018546169177053824,-0.008604942623430712,117,0.65,0.434,0.86,0.243,2
AT: Mittelburgenland,AT111,-0.02412967945026761,-0.03051784022838914,-0.015779840968024678,-0.009188717928589992,119,0.672,0.579,0.803,0.312,2
AT: Nordburgenland,AT112,-0.02132668835285834,-0.028571791517145,-0.014466714371491371,-0.007843138846801368,117,0.59,0.858,0.837,0.424,3
AT: Südburgenland,AT113,-0.024790041566916096,-0.03517131712057452,-0.02032858023898406,-0.00850631554624295,117,0.684,0.726,0.684,0.34,2
AT: Wiener Umland/Südteil,AT127,-0.023633790252544164,-0.031588144236676115,-0.01837210795271284,-0.010321592591407943,109,0.743,0.929,0.986,0.681,4
AT: Unterkärnten,AT213,-0.01933564132462155,-0.026755629698607064,-0.01468907418897556,-0.006579713763220855,118,0.593,0.238,0.554,0.078,1
AT: Graz,AT221,-0.019761595168615465,-0.02843947739244357,-0.016316697362905155,-0.008003652383267154,114,0.64,0.426,0.947,0.258,2
AT: Liezen,AT222,-0.021537892021369295,-0.030885583287519627,-0.01734116694833978,-0.008521954630778844,119,0.63,0.09,0.13,0.007,1
AT: Wien,AT130,-0.024015209468372895,-0.0324115388687464,-0.018601663705697866,-0.010236140773964439,111,0.721,1.0,1.0,0.721,4
AT: Oberkärnten,AT212,-0.021132551317256245,-0.031167793549814984,-0.016162094903473163,-0.007786819079383889,116,0.629,0.271,0.422,0.072,1
AT: Wiener Umland/Nordteil,AT126,-0.020543843352524346,-0.027200798078083618,-0.01605542771066056,-0.008695567893347418,123,0.618,1.0,0.986,0.609,4
AT: Weinviertel,AT125,-0.018356392758433576,-0.0258536199300734,-0.01673532887031277,-0.007674676792499465,117,0.658,1.0,0.807,0.531,3
AT: Klagenfurt-Villach,AT211,-0.019460929218129915,-0.024811187442172887,-0.015502650205081956,-0.007840454590635211,125,0.648,0.231,0.694,0.104,1
