Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Eichstätt,DE219,-0.028380668675660636,-0.037649741375925944,-0.021573871312361322,-0.011538842165052354,107,0.757,0.967,0.607,0.444,3
DE: Emsland,DE949,-0.02770890683486725,-0.03757715266474644,-0.021306896941960453,-0.010696264190422088,109,0.697,1.0,0.35,0.244,2
"DE: Hof, Landkreis",DE249,-0.025747618267211683,-0.033836464271162506,-0.020558488084845568,-0.01048002177155219,111,0.73,0.752,0.398,0.218,2
DE: Erding,DE21A,-0.0260343303599266,-0.035086342308220206,-0.020627052766478575,-0.01001477478609088,109,0.725,1.0,0.883,0.64,4
DE: Freising,DE21B,-0.031194032619872823,-0.04207386339716514,-0.02462802564740003,-0.013687419642770149,103,0.816,1.0,0.929,0.758,4
DE: Dahme-Spreewald,DE406,-0.02728778545040223,-0.03607316944717469,-0.01960575240631858,-0.009961639182289036,117,0.692,0.912,0.841,0.531,3
DE: Elbe-Elster,DE407,-0.022758471422538763,-0.03254089369771031,-0.01775692678577984,-0.008588044738091627,118,0.661,0.791,0.491,0.257,2
DE: Friesland (DE),DE94A,-0.02332795239645231,-0.03124831539708219,-0.018059913300710183,-0.009584195562720672,115,0.678,0.433,0.574,0.169,1
DE: Grafschaft Bentheim,DE94B,-0.02051003507269545,-0.027821554584967864,-0.01753915917978265,-0.008485178759846179,121,0.653,1.0,0.666,0.435,3
DE: Leer,DE94C,-0.02026016970043113,-0.02762035041423486,-0.01547616570969078,-0.008087617635625013,123,0.618,0.421,0.378,0.098,1
"DE: Landshut, Landkreis",DE227,-0.02301633962241557,-0.03209719801741563,-0.016357356675812316,-0.00926526864872751,115,0.652,1.0,0.508,0.331,2
"DE: Passau, Landkreis",DE228,-0.022758471422538763,-0.03254089369771031,-0.01775692678577984,-0.008588044738091627,118,0.661,0.858,0.403,0.229,2
DE: Rottweil,DE135,-0.021749706470458013,-0.030122989241515047,-0.017847848721139165,-0.0087258544463187,119,0.681,0.556,0.678,0.257,2
