,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PL637,0.746,0.201,0.01,0.001,1
1,PL638,0.748,0.997,1.0,0.746,4
2,PL633,0.762,1.0,0.462,0.352,2
3,PL634,0.72,1.0,0.27,0.194,1
4,PL636,0.719,0.886,0.271,0.173,1
