NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FR101,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817,0.68,0.014,0.008,1
FR102,-0.06678233688203142,-0.09203060402459287,-0.05277942501020972,-0.0316298929796197,125,0.792,0.752,0.01,0.006,1
FR103,-0.0765944348640453,-0.10662928605955325,-0.054050769885283054,-0.030035880232556274,116,0.759,1.0,0.01,0.008,1
FR104,-0.07452881157757889,-0.1029214447964739,-0.0543143815538457,-0.030433109002694508,116,0.784,0.824,0.92,0.594,3
FR105,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817,0.364,0.01,0.003,1
FR106,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817,0.826,0.034,0.023,1
FR107,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817,0.628,0.91,0.467,3
FR108,-0.07953423239176133,-0.10372248422781627,-0.05504149919739183,-0.03014509164665331,113,0.761,0.35,0.93,0.248,2
FRB01,-0.07752724775196254,-0.10581778878420726,-0.05553696503454157,-0.032018764476426445,114,0.772,0.484,0.933,0.349,2
FRB02,-0.08341065028610672,-0.11618021527429914,-0.05650526677546909,-0.029153977758431045,111,0.748,0.671,0.918,0.461,3
FRB03,-0.08858661313999892,-0.12087933923141816,-0.058900532200717955,-0.032241448283055266,108,0.787,0.335,0.807,0.213,2
FRB04,-0.09029398679527015,-0.12508286443293912,-0.058801925407923825,-0.02473356942130162,106,0.689,0.138,1.0,0.095,1
FRB05,-0.08328731707124586,-0.11797106346396845,-0.054651554647786794,-0.025434916154640066,110,0.709,0.306,0.808,0.175,1
FRB06,-0.0780526339089044,-0.1053425600695135,-0.05530948471169824,-0.026793801223849605,113,0.743,0.252,0.99,0.185,1
FRC11,-0.07322627669655697,-0.0993008282281666,-0.05474209410221333,-0.02512731189314297,115,0.704,0.818,0.927,0.534,3
