Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FR: Charente-Maritime,FRI32,-0.03453383444445897,-0.04912801500535481,-0.023432033289752734,-0.012021670948258767,112,0.723,1.0,0.721,0.521,3
FR: Seine-Saint-Denis,FR106,-0.02872855277343803,-0.03888049444464839,-0.02109088750473814,-0.009388217836635867,124,0.653,0.59,1.0,0.385,2
FR: Hautes-Alpes,FRL02,-0.03124451073211214,-0.040431124372850485,-0.02145252163077083,-0.010102898798225915,117,0.675,0.27,0.448,0.082,1
FR: Alpes-de-Haute-Provence,FRL01,-0.043861754597215266,-0.06312040364557035,-0.029521434614505078,-0.01796315228630947,105,0.81,0.49,0.707,0.281,2
FR: Vendée,FRG05,-0.028494460807929646,-0.0394472293991577,-0.020815614559077354,-0.009382582297101812,119,0.639,1.0,0.835,0.534,3
FR: Val-de-Marne,FR107,-0.02840901830902112,-0.03723832574345827,-0.019527876409872587,-0.00817146716213374,123,0.61,0.736,1.0,0.449,3
FR: Bas-Rhin,FRF11,-0.03033748517530678,-0.0378893940799342,-0.022806340665459647,-0.011047565693286096,124,0.71,0.449,0.946,0.302,2
FR: Hérault,FRJ13,-0.027611600606668184,-0.03692031849589531,-0.01895935763673223,-0.008843574864081213,126,0.627,0.155,0.933,0.091,1
FR: Manche,FRD12,-0.03693859741737337,-0.04277644394383353,-0.025762982922693405,-0.012952987172715499,114,0.746,0.413,0.655,0.202,2
FR: Ardèche,FRK22,-0.03663090811275068,-0.049060986906217185,-0.02683538191890491,-0.015555313722187915,112,0.795,0.303,0.881,0.212,2
FR: Aisne,FRE21,-0.03602860999901897,-0.049563018899509655,-0.027650887479644615,-0.014257722458851107,113,0.752,1.0,0.823,0.619,4
FR: Haute-Corse,FRM02,-0.03618490375215677,-0.04895970679219219,-0.026278165996599524,-0.011833580667237952,121,0.711,0.091,0.673,0.044,1
FR: Oise,FRE22,-0.036166525587244036,-0.044859923034697054,-0.025688255406711845,-0.010519140145442307,109,0.688,1.0,0.945,0.65,4
FR: Ardennes,FRF21,-0.031573669652857794,-0.04202192303698471,-0.020962316256381668,-0.011411469696434143,117,0.667,0.733,0.766,0.375,2
FR: Val-d’Oise,FR108,-0.03451025098348553,-0.04500048649700396,-0.02414470303020274,-0.011670236367414382,114,0.728,1.0,0.994,0.724,4
FR: Marne,FRF23,-0.034725993493676215,-0.04557427072628225,-0.025567389399944865,-0.010611870403787001,118,0.695,1.0,0.778,0.541,3
FR: Meurthe-et-Moselle,FRF31,-0.03583456081930302,-0.047407148468063084,-0.02612090793179091,-0.012412404829859567,117,0.709,0.805,0.885,0.505,3
FR: Lozère,FRJ14,-0.03380357916534464,-0.0414159865191714,-0.026797635206357598,-0.012468993248473432,115,0.748,0.151,0.065,0.007,1
FR: Pyrénées-Orientales,FRJ15,-0.040486106845252216,-0.054370842542427675,-0.02970508909574235,-0.015733851553804114,106,0.811,0.375,0.856,0.26,2
FR: Meuse,FRF32,-0.0397091932639935,-0.056584734065324035,-0.028405821082451627,-0.016272959418250594,107,0.785,0.884,0.619,0.43,3
FR: Corse-du-Sud,FRM01,-0.04708488593019925,-0.06220987698398468,-0.027907410658556894,-0.014820877178555467,109,0.798,0.056,0.494,0.022,1
FR: Puy-de-Dôme,FRK14,-0.045598617229786705,-0.06390883392106968,-0.0299664773473085,-0.01562611497294723,112,0.795,0.456,0.825,0.299,2
FR: Ille-et-Vilaine,FRH03,-0.04445080992159637,-0.054342029674736725,-0.02910436192815917,-0.0163566728734516,108,0.787,1.0,0.842,0.663,4
FR: Jura,FRC22,-0.03670076247494227,-0.04750366939677821,-0.02780665627501198,-0.01454410421617467,111,0.784,0.341,0.718,0.192,1
FR: Tarn,FRJ27,-0.049177803534537365,-0.0792109049867163,-0.03573876395437223,-0.01570767681620038,108,0.769,1.0,0.764,0.588,3
FR: Lot,FRJ25,-0.0395534983771786,-0.05108887482899579,-0.027437162907000923,-0.014189558837381159,109,0.771,0.583,0.477,0.214,2
FR: Haute-Saône,FRC23,-0.03453194715983469,-0.04191287162122416,-0.027001128746948398,-0.013438764439330066,114,0.763,0.59,0.762,0.343,2
FR: Sarthe,FRG04,-0.04138028508371119,-0.05422353228752517,-0.02939997852226276,-0.014124440622664568,105,0.752,0.91,0.737,0.504,3
FR: Corrèze,FRI21,-0.037363270862467525,-0.05008139443204308,-0.024792714106568418,-0.011175033403160842,109,0.706,0.252,0.51,0.091,1
FR: Eure,FRD21,-0.03620353257664804,-0.048391458369801355,-0.025718790359807585,-0.012518638534221763,115,0.739,1.0,0.916,0.677,4
FR: Pas-de-Calais,FRE12,-0.04405104404138727,-0.05954071706498294,-0.02999572054589835,-0.014197248141263816,101,0.792,1.0,0.95,0.752,4
FR: Finistère,FRH02,-0.03649718030317151,-0.0428425439752399,-0.027695189904246364,-0.015079240807035977,111,0.775,1.0,0.863,0.669,4
FR: Pyrénées-Atlantiques,FRI15,-0.03819545216230918,-0.04723870617592306,-0.024385564014679458,-0.014997301331192727,116,0.767,0.753,0.818,0.472,3
FR: Haute-Marne,FRF24,-0.0324890305495884,-0.04323962296869633,-0.025032796570379785,-0.010751820118128814,120,0.7,0.812,0.301,0.171,1
FR: Ain,FRK21,-0.03207598891303341,-0.03977688390213366,-0.023869800989705182,-0.011728720216334676,116,0.681,0.701,0.928,0.443,3
FR: Aveyron,FRJ22,-0.03389079402699266,-0.04419553042816653,-0.029733599412017992,-0.013238500772738741,116,0.75,0.771,0.393,0.227,2
FR: Orne,FRD13,-0.033052555111360585,-0.04420796384507729,-0.025043802910472635,-0.01213546981099427,117,0.709,0.775,0.481,0.264,2
FR: Hautes-Pyrénées,FRJ26,-0.03455019542291635,-0.051456648540748204,-0.027038621144948885,-0.013727052498007321,108,0.759,0.466,0.777,0.275,2
FR: Cantal,FRK12,-0.04144160787085114,-0.05461518892054186,-0.033009383988170375,-0.017326245114579347,113,0.805,0.339,0.367,0.1,1
FR: Maine-et-Loire,FRG02,-0.0395225522081716,-0.04991088218814148,-0.026652161294059076,-0.015434546815923716,114,0.816,1.0,0.852,0.695,4
FR: Vaucluse,FRL06,-0.02694535449260929,-0.03252221502363788,-0.020882614918457238,-0.010650614048156865,117,0.701,0.582,0.929,0.379,2
FR: Indre,FRB03,-0.03409282109972244,-0.045246170315836734,-0.02848527448027357,-0.014242671498102023,118,0.771,1.0,0.495,0.382,2
FR: Doubs,FRC21,-0.03517962249150971,-0.048686255919902444,-0.026824639411245,-0.012519576555333192,111,0.739,0.211,0.706,0.11,1
FR: Moselle,FRF33,-0.02903231668559292,-0.036771936639130975,-0.023982019268833074,-0.010476593789501821,110,0.709,0.758,0.944,0.507,3
FR: Tarn-et-Garonne,FRJ28,-0.028057904655731568,-0.03993235783744586,-0.022817354522299833,-0.010155994617658943,109,0.651,1.0,0.893,0.581,3
FR: Haut-Rhin,FRF12,-0.0419473957179139,-0.050686261464859314,-0.029905921642069625,-0.015737193688533553,117,0.821,0.666,0.92,0.503,3
FR: Landes,FRI13,-0.03167942806123691,-0.041671387582491774,-0.023525855175402663,-0.011196812985168607,120,0.7,0.57,0.587,0.234,2
FR: Eure-et-Loir,FRB02,-0.053908026932589476,-0.07553437669833539,-0.036251623059370276,-0.016494061996797406,107,0.813,1.0,0.809,0.658,4
FR: Nord,FRE11,-0.05371055391491207,-0.07841821745684803,-0.037048590528366954,-0.02220421516243338,106,0.896,1.0,0.987,0.884,5
FR: Territoire de Belfort,FRC24,-0.05751501104640288,-0.07671754243327633,-0.03718227846729512,-0.019598397186325625,106,0.887,0.648,0.908,0.522,3
FR: Cher,FRB01,-0.04629842288141784,-0.0530898232135765,-0.033237472319984376,-0.019365187609644573,115,0.852,1.0,0.622,0.53,3
FR: Calvados,FRD11,-0.0543595293658491,-0.07106980187475707,-0.039587679946595955,-0.018905006835151963,114,0.86,0.814,0.852,0.596,3
FR: Ariège,FRJ21,-0.05729864581761738,-0.07803983363059096,-0.047019208808750365,-0.022798943149808466,107,0.85,0.461,0.721,0.283,2
