Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Starnberg,DE21L,-0.06596983157573248,-0.08799297647088285,-0.05450121600740063,-0.03294083766779945,120,0.817,0.141,0.458,0.053,1
DE: Traunstein,DE21M,-0.06454936586944798,-0.08208583465794225,-0.0505551011589685,-0.02614176144693591,117,0.726,0.142,0.467,0.048,1
DE: Ravensburg,DE148,-0.06590794987989791,-0.08913308246448605,-0.05286815185393534,-0.028837173738510198,119,0.756,0.24,0.527,0.096,1
DE: Sigmaringen,DE149,-0.06256394284554691,-0.08586031311749506,-0.04836254980846231,-0.024861180857388587,119,0.706,0.413,0.534,0.156,1
"DE: Ingolstadt, Kreisfreie Stadt",DE211,-0.06572970974147509,-0.08976753207690022,-0.04722634255402684,-0.030895773148638332,117,0.795,1.0,0.458,0.364,2
DE: Kronach,DE24A,-0.06423484479635705,-0.08145126038175726,-0.05099810578464229,-0.029797464665598128,123,0.789,0.757,0.51,0.305,2
DE: Wunsiedel i. Fichtelgebirge,DE24D,-0.07611785116965485,-0.09326120192873105,-0.057509114430201104,-0.03457603198870987,113,0.867,0.383,0.532,0.177,1
"DE: Ansbach, Kreisfreie Stadt",DE251,-0.06692183939190138,-0.0925528723563822,-0.05294735263236838,-0.031760911954402296,124,0.815,1.0,0.456,0.372,2
DE: Rotenburg (Wümme),DE937,-0.07616654669977468,-0.09699062341611758,-0.05689305625950328,-0.03890015205271159,119,0.866,0.493,0.859,0.367,2
DE: Heidekreis,DE938,-0.08038232361177518,-0.09498622589531681,-0.057741046831955925,-0.03966942148760331,121,0.835,0.453,0.86,0.325,2
DE: Ammerland,DE946,-0.07483895410941964,-0.0946134740763738,-0.062170133498913385,-0.037410742005588325,118,0.822,1.0,0.862,0.709,4
DE: Bad Kissingen,DE265,-0.06533861601430761,-0.08845164384756257,-0.05073689718322141,-0.03170583703962094,122,0.803,0.744,0.444,0.265,2
"DE: Bayreuth, Landkreis",DE246,-0.07903602193847697,-0.0999208880559039,-0.060782258161692394,-0.037486872607987574,115,0.87,0.691,0.455,0.274,2
"DE: Coburg, Landkreis",DE247,-0.07877051941766308,-0.10535378475152789,-0.05899177430624092,-0.035767781871990145,115,0.843,0.754,0.55,0.35,2
DE: Forchheim,DE248,-0.06212678811862724,-0.07997030991143704,-0.04876266530292449,-0.029781300778429647,127,0.787,0.765,0.458,0.276,2
DE: Rhön-Grabfeld,DE266,-0.08219372891636868,-0.11146111965380975,-0.06426184512606188,-0.03603358698576932,115,0.843,0.739,0.505,0.315,2
DE: Haßberge,DE267,-0.0617836683734306,-0.07943185803464965,-0.05196184330504314,-0.029880058918426034,125,0.784,0.765,0.453,0.272,2
