Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,0.744,0.519,0.935,0.361,2
ES: Mallorca,ES532,0.716,1.0,0.999,0.715,4
ES: Menorca,ES533,0.718,1.0,0.956,0.686,4
ES: Barcelona,ES511,0.715,0.675,0.996,0.481,3
ES: Badajoz,ES431,0.62,0.648,0.261,0.105,1
ES: Valencia/València,ES523,0.622,0.702,0.95,0.415,3
ES: Córdoba,ES613,0.57,0.644,0.767,0.282,2
ES: Tarragona,ES514,0.587,0.375,0.866,0.191,1
ES: Alicante/Alacant,ES521,0.626,1.0,0.994,0.622,4
ES: Cáceres,ES432,0.603,0.478,0.087,0.025,1
ES: Almería,ES611,0.681,0.985,0.742,0.498,3
ES: Cádiz,ES612,0.673,0.841,0.941,0.533,3
ES: Castellón/Castelló,ES522,0.791,0.23,0.902,0.164,1
ES: Eivissa y Formentera,ES531,0.736,1.0,0.953,0.701,4
ES: Lleida,ES513,0.711,0.523,0.735,0.273,2
ES: Toledo,ES425,0.762,0.848,0.906,0.585,3
ES: Huesca,ES241,0.654,0.723,0.405,0.192,1
ES: Asturias,ES120,0.674,0.146,0.868,0.085,1
ES: Burgos,ES412,0.678,0.797,0.755,0.408,3
ES: Pontevedra,ES114,0.769,0.356,0.974,0.267,2
ES: Ourense,ES113,0.709,0.162,0.662,0.076,1
ES: Zamora,ES419,0.743,0.741,0.021,0.012,1
ES: A Coruña,ES111,0.722,0.272,0.97,0.19,1
ES: Soria,ES417,0.695,0.693,0.305,0.147,1
ES: Lugo,ES112,0.833,0.283,0.367,0.087,1
ES: Zaragoza,ES243,0.728,0.806,0.7,0.411,3
ES: León,ES413,0.759,0.295,0.619,0.139,1
ES: Madrid,ES300,0.733,1.0,1.0,0.733,4
ES: Jaén,ES616,0.759,0.591,0.728,0.327,2
ES: Málaga,ES617,0.688,0.954,0.974,0.639,4
ES: Ávila,ES411,0.74,0.565,0.262,0.11,1
ES: Navarra,ES220,0.79,0.642,0.848,0.43,3
ES: Sevilla,ES618,0.773,0.811,0.959,0.601,4
ES: Bizkaia,ES213,0.705,0.721,0.993,0.505,3
ES: Cuenca,ES423,0.836,0.937,0.061,0.048,1
ES: Murcia,ES620,0.828,0.996,0.917,0.756,4
ES: Granada,ES614,0.813,0.89,0.805,0.582,3
ES: Huelva,ES615,0.817,0.361,0.786,0.232,2
ES: Valladolid,ES418,0.874,1.0,0.726,0.635,4
ES: Salamanca,ES415,0.817,0.484,0.459,0.182,1
ES: Palencia,ES414,0.791,0.998,0.595,0.47,3
ES: Araba/Álava,ES211,0.833,0.463,0.94,0.363,2
ES: Gipuzkoa,ES212,0.806,0.357,0.98,0.282,2
ES: Cantabria,ES130,0.773,0.153,0.915,0.108,1
ES: La Rioja,ES230,0.796,0.361,0.862,0.248,2
ES: Albacete,ES421,0.713,1.0,0.269,0.192,1
ES: Guadalajara,ES424,0.716,0.709,0.744,0.378,2
ES: Teruel,ES242,0.746,0.571,0.01,0.004,1
ES: Ciudad Real,ES422,0.776,0.457,0.453,0.161,1
ES: Segovia,ES416,0.842,0.878,0.764,0.565,3
