Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,0.744,0.51,0.914,0.347,2
ES: Mallorca,ES532,0.716,1.0,0.991,0.71,4
ES: Menorca,ES533,0.718,1.0,0.95,0.682,4
ES: Barcelona,ES511,0.715,0.619,0.995,0.44,3
ES: Badajoz,ES431,0.62,0.867,0.298,0.16,1
ES: Valencia/València,ES523,0.622,0.67,0.945,0.394,2
ES: Córdoba,ES613,0.57,0.659,0.718,0.27,2
ES: Tarragona,ES514,0.587,0.266,0.856,0.134,1
ES: Alicante/Alacant,ES521,0.626,1.0,0.988,0.618,4
ES: Cáceres,ES432,0.603,0.5,0.121,0.036,1
ES: Almería,ES611,0.681,0.794,0.666,0.36,2
ES: Cádiz,ES612,0.673,0.801,0.898,0.484,3
ES: Castellón/Castelló,ES522,0.791,0.16,0.896,0.113,1
ES: Eivissa y Formentera,ES531,0.736,1.0,0.931,0.685,4
ES: Lleida,ES513,0.711,0.577,0.727,0.298,2
ES: Toledo,ES425,0.762,0.873,0.869,0.578,3
ES: Huesca,ES241,0.654,0.74,0.478,0.231,2
ES: Asturias,ES120,0.674,0.153,0.838,0.086,1
ES: Burgos,ES412,0.678,0.797,0.785,0.424,3
ES: Pontevedra,ES114,0.769,0.358,0.919,0.253,2
ES: Ourense,ES113,0.709,0.161,0.557,0.064,1
ES: Zamora,ES419,0.743,0.74,0.191,0.105,1
ES: A Coruña,ES111,0.722,0.272,0.912,0.179,1
ES: Soria,ES417,0.695,0.669,0.349,0.162,1
ES: Lugo,ES112,0.833,0.312,0.258,0.067,1
ES: Zaragoza,ES243,0.728,0.865,0.72,0.453,3
ES: León,ES413,0.759,0.292,0.625,0.139,1
ES: Madrid,ES300,0.733,1.0,1.0,0.733,4
ES: Jaén,ES616,0.759,0.527,0.629,0.252,2
ES: Málaga,ES617,0.688,0.776,0.944,0.504,3
ES: Ávila,ES411,0.74,0.519,0.273,0.105,1
ES: Navarra,ES220,0.79,0.665,0.855,0.449,3
ES: Sevilla,ES618,0.773,0.834,0.912,0.588,3
ES: Bizkaia,ES213,0.705,0.727,0.992,0.508,3
ES: Cuenca,ES423,0.836,0.901,0.01,0.008,1
ES: Murcia,ES620,0.828,0.952,0.891,0.702,4
ES: Granada,ES614,0.813,0.827,0.765,0.514,3
ES: Huelva,ES615,0.817,0.386,0.759,0.239,2
ES: Valladolid,ES418,0.874,1.0,0.743,0.649,4
ES: Salamanca,ES415,0.817,0.482,0.502,0.198,1
ES: Palencia,ES414,0.791,0.998,0.652,0.515,3
ES: Araba/Álava,ES211,0.833,0.442,0.94,0.346,2
ES: Gipuzkoa,ES212,0.806,0.356,0.982,0.282,2
ES: Cantabria,ES130,0.773,0.158,0.905,0.111,1
ES: La Rioja,ES230,0.796,0.371,0.857,0.253,2
ES: Albacete,ES421,0.713,0.945,0.24,0.162,1
ES: Guadalajara,ES424,0.716,0.684,0.773,0.379,2
ES: Teruel,ES242,0.746,0.572,0.049,0.021,1
ES: Ciudad Real,ES422,0.776,0.616,0.22,0.105,1
ES: Segovia,ES416,0.842,0.844,0.754,0.536,3
