FAO_Code,Crop,Clim,Kc_in,Kc_mid,Kc_end,lgp_f1,lgp_f2,lgp_f3,lgp_f4,Season start,Season End,RD1,RD2,DF,Type,Ky
14204,sunflower,4,0.35,1.15,0.35,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,122,252,0.2,0.8,0.45,1,0.95
14204,sunflower,5,0.35,1.15,0.35,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,122,252,0.2,0.8,0.45,1,0.95
14204,sunflower,7,0.35,1.15,0.35,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,106,236,0.2,0.8,0.45,1,0.95
14204,sunflower,8,0.35,1.15,0.35,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,106,236,0.2,0.8,0.45,1,0.95
121,potato,2,0.5,1.15,0.75,0.192307692307692,0.230769230769231,0.346153846153846,0.230769230769231,182,312,0.2,0.4,0.35,1,1.1
121,potato,3,0.5,1.15,0.75,0.192307692307692,0.230769230769231,0.346153846153846,0.230769230769231,74,204,0.2,0.4,0.35,1,1.1
121,potato,4,0.5,1.15,0.75,0.206896551724138,0.241379310344828,0.344827586206897,0.206896551724138,92,237,0.2,0.4,0.35,1,1.1
121,potato,5,0.5,1.15,0.75,0.192307692307692,0.230769230769231,0.346153846153846,0.230769230769231,122,252,0.2,0.4,0.35,1,1.1
121,potato,7,0.5,1.15,0.75,0.272727272727273,0.181818181818182,0.424242424242424,0.12121212121,122,287,0.2,0.4,0.35,1,1.1
121,potato,8,0.5,1.15,0.75,0.272727272727273,0.181818181818182,0.424242424242424,0.12121212121,122,287,0.2,0.4,0.35,1,1.1
2113,citrus,2,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
2113,citrus,3,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
2113,citrus,4,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
2113,citrus,5,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
2113,citrus,7,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
2113,citrus,8,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,15,15,1.1,1.1,0.5,2,0.95
21605,date_palm,2,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
21605,date_palm,3,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
21605,date_palm,4,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
21605,date_palm,5,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
21605,date_palm,7,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
21605,date_palm,8,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,15,15,1.5,1.5,0.5,2,0.8
2141,wine_grapes,2,0.4,0.85,0.4,0.0833333333333333,0.166666666666667,0.5,0.25,106,346,1,1,0.4,2,0.85
2141,wine_grapes,3,0.4,0.85,0.4,0.0833333333333333,0.166666666666667,0.5,0.25,106,346,1,1,0.4,2,0.85
2141,wine_grapes,4,0.4,0.85,0.4,0.142857142857143,0.285714285714286,0.19047619047619,0.380952380952381,32,302,1,1,0.4,2,0.85
2141,wine_grapes,5,0.4,0.85,0.4,0.19047619047619,0.380952380952381,0.142857142857143,0.285714285714286,92,302,1,1,0.4,2,0.85
2141,wine_grapes,7,0.4,0.85,0.4,0.0975609756097561,0.24390243902439,0.365853658536585,0.292682926829268,61,266,1,1,0.4,2,0.85
2141,wine_grapes,8,0.4,0.85,0.4,0.0975609756097561,0.24390243902439,0.365853658536585,0.292682926829268,61,266,1,1,0.4,2,0.85
1441,cotton,2,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,153,348,0.2,1.0,0.65,1,0.85
1441,cotton,3,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,183,13,0.2,1.0,0.65,1,0.85
1441,cotton,4,0.35,1.2,0.6,0.282051282051282,0.153846153846154,0.256410256410256,0.307692307692308,136,331,0.2,1.0,0.65,1,0.85
1441,cotton,5,0.35,1.2,0.6,0.282051282051282,0.153846153846154,0.256410256410256,0.307692307692308,136,331,0.2,1.0,0.65,1,0.85
1441,cotton,7,0.35,1.2,0.6,0.2,0.4,0.2,0.2,75,300,0.2,1.0,0.65,1,0.85
1441,cotton,8,0.35,1.2,0.6,0.2,0.4,0.2,0.2,75,300,0.2,1.0,0.65,1,0.85
1711,alfalfa,2,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,320,90,1,1,0.5,2,0.9
