"NUTS_ID","cropland","waterstress","population"
"AL01",0.379234152029788,0.149058307056642,0.0152857629265907
"AL02",0.552847456747641,0.216999386210734,0.0340804139443942
"AL03",0.737767800432813,0.222151370174291,0.0130960128191067
"AT11",0.980885230990125,0.0032630379683733,0.0157065858574287
"AT12",0.835541696957664,0.0217105422876671,0.0213513325641835
"AT13",0.300782776522499,0.00648859347039119,0.197746953771918
"AT21",0.155588665106869,0.0115441873205489,0.00804466536904743
"AT22",0.238996141112316,0.00929164064047061,0.00957586914325963
"AT31",0.605384020469861,0.00778168134944971,0.0147870083492024
"AT32",0.0232571836506076,0.00853064036605175,0.00974314760630459
"AT33",0.0274306688934122,0.0152150500464002,0.00738959751277839
"AT34",0.0780574548770732,0.0215915728886266,0.0200349292509106
"BE10",0.117387608193711,0.397655628819745,0.311965596567696
"BE21",0.706944432093308,0.327282543916464,0.0843243690512778
"BE22",0.810974316486758,0.313223570734139,0.0802761945432939
"BE23",1,0.417898844415683,0.0796237258787179
"BE24",1,0.397655653232682,0.127323673590208
"BE25",1,0.395613669407702,0.0679212380582841
"BE31",1,0.377325883396936,0.136370989638808
"BE32",1,0.348065589369498,0.0872035645589306
"BE33",0.3663978566815,0.167845698575613,0.0510260083654035
"BE34",0.145985953761916,0.145962905346211,0.00909767287520638
"BE35",0.746682682220999,0.175589995098722,0.0264937551516797
"BG31",1,0.0106678814881371,0.00649773136318496
"BG32",1,0.00729882080259505,0.00937581807958083
"BG33",1,0.00413327810576751,0.00795751291663611
"BG34",0.816454081625556,0.0431503807929335,0.0064231733736208
"BG41",0.339899424108567,0.0964494660012804,0.0115973220567091
"BG42",0.62803418686856,0.148200518612651,0.00829565688332948
"CH01",0.285907683553032,0.0191960251846949,0.0210558005912781
"CH02",0.367018837489739,0.013236769689736,0.0272144001028626
"CH03",0.747368076018795,0.013968716850929,0.0786266255786422
"CH04",0.67940639979794,0.0145109192322514,0.0843948642792875
"CH05",0.112301226241509,0.0161642901214569,0.0177164246553899
"CH06",0.157942922864908,0.00858478202496691,0.0397856536747288
"CH07",0.0820155727755646,0.017446600290228,0.031755012537111
"CY00",0.424207517599545,0.742656925921003,0.01275256933701
"CZ01",0.785044948201739,0.0154904387049011,0.0996738775283333
"CZ02",1,0.0331317623378021,0.0257943474827886
"CZ03",0.755467809794777,0.0374861491008747,0.00886398320853988
"CZ04",0.628767147454492,0.0476604708110103,0.0210432948021019
"CZ05",0.886809726636168,0.0472517434319872,0.0177853043978928
"CZ06",1,0.071712281465237,0.0145220536229031
"CZ07",0.79204873469108,0.0686680579989012,0.0185492406396079
"CZ08",0.714398971840312,0.0645284256648518,0.0356729916599294
"DE11",0.743859002915353,0.1082013915774,0.0397242179052749
"DE12",0.472256055407727,0.0681270251042282,0.0455416706627709
"DE13",0.394906953471966,0.0309480300503729,0.0303765914044218
"DE14",0.62268271024432,0.0679341393879379,0.0245477703112827
"DE21",0.57094915334944,0.0182089445294782,0.025445238188776
"DE22",0.867415270465629,0.0107976069793065,0.0127373591908423
"DE23",0.63855180535485,0.0512836473408378,0.0149698308663042
"DE24",0.649162964654449,0.110512414276265,0.0181138071812448
"DE25",0.870674990364625,0.111975905703629,0.0252499021672172
"DE26",0.778429491722277,0.118623796494281,0.0184584242160341
