NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
MK001,-0.04208704485024188,-0.05282421839968155,-0.028791255058180882,-0.014715266306347043,118,0.746
MK002,-0.04326880203053164,-0.05806387166298096,-0.03228301399073322,-0.016702034976119048,114,0.763
MK003,-0.0404801729603987,-0.05328360245057028,-0.029246271346539315,-0.012930393689023786,118,0.703
MK004,-0.04706521088250222,-0.06362238466826303,-0.03601550098618983,-0.012175012925092113,111,0.694
MK005,-0.042348849025395624,-0.05735159000761218,-0.031624725463599505,-0.01316699894863125,116,0.707
MK006,-0.04404302344863139,-0.0644704897499971,-0.02997747462253313,-0.014911958490337497,112,0.732
MK007,-0.04317556881165529,-0.05318024051979838,-0.031244734662552686,-0.014604899062477292,120,0.725
MK008,-0.03840279764221164,-0.048570374645064626,-0.028846143917231705,-0.012754357990769188,126,0.69
