"NUTS_ID","cropland","livestock","waterstress","population"
"AL01",0.0328856244245379,0.0598664407950591,0.0215641079837438,0.00988439518331849
"AL02",0.0667503194280943,0.106004296047981,0.0326061993033425,0.0313466434712028
"AL03",0.051284678238369,0.0802577382997156,0.0273045756416489,0.00885739192039007
"AT11",0.230765873180675,0.0429626672718179,0.0303512795829436,0.00956537570278945
"AT12",0.158267045812438,0.0411326379253223,0.0182160956296701,0.0113097753534503
"AT13",0.130929723729435,0.00401773078868992,0.00552746593550187,0.6016515594973
"AT21",0.013766299005796,0.0301855426592998,0.00478055326289374,0.00756861982195537
"AT22",0.0292218955653406,0.0601093269868684,0.0134275343588289,0.00978903225517048
"AT31",0.078120441193587,0.068082219828523,0.00847702464041077,0.0161120623127214
"AT32",0.00274662631208051,0.011514535147446,0.00805486940146559,0.00995132562927186
"AT33",0.000614375979452465,0.00516889678464565,0.0141406269148363,0.00751666888055223
"AT34",0.00138679193040319,0.0180891069684917,0.00912152694180991,0.0195703744108976
"BE10",0.0764892749303699,0.02635178686053,0.128558804956439,1
"BE21",0.09075658095328,0.521086483076082,0.184712019690985,0.0864922606975781
"BE22",0.154031652786349,0.352069826598638,0.141204573063003,0.0483174934741477
"BE23",0.158274127116006,0.366206866070626,0.11923715934212,0.067256593414539
"BE24",0.179294763411556,0.0968581275499226,0.16191226198403,0.0721055839022265
"BE25",0.158361468405715,0.62345182696531,0.13331548759135,0.0507066262249663
"BE31",0.288419361649013,0.0802209421874352,0.155856221902969,0.0489525698511164
"BE32",0.185779151363223,0.102644196872441,0.134542203501648,0.0475278870509879
"BE33",0.0825562875213726,0.0642459320367706,0.0995125811671733,0.0385924658149398
"BE34",0.0238622515467802,0.0342873242090459,0.0261554839019397,0.00822122355190462
"BE35",0.111109461194258,0.0632591272091491,0.0749707211563747,0.0178163192473716
"BG31",0.163847979127953,0.022860242872323,0.11810400445876,0.0051785678748925
"BG32",0.208431226972925,0.0456721199521979,0.192718896286771,0.00707177733233825
"BG33",0.223174293500484,0.030946381671183,0.352639754962234,0.00836467237962078
"BG34",0.123327237485734,0.0253099718753877,0.243473193286823,0.00680862030239685
"BG41",0.0323274913106709,0.00736972592191101,0.115110316095598,0.0137869058132238
"BG42",0.0760945019320982,0.0234011995827644,0.124875973734853,0.00833794398896811
"CH01",0.0437640433533629,0.0306402862886833,0.0193559441764869,0.0243823595467043
"CH02",0.0447792588316554,0.0720705340795495,0.0267777825324479,0.024465762627109
"CH03",0.0962482045530813,0.0917107020172234,0.028151600133979,0.0781491322838225
"CH04",0.0900268554517134,0.0841585703930609,0.0367007938224957,0.115335364700229
"CH05",0.0173376699745651,0.0380857546116752,0.016260648510785,0.0132042144205602
"CH06",0.0184771854709635,0.0726029692737643,0.0264327330288245,0.0236185345590387
"CH07",0.00770379373161662,0.00531282792852763,0.0202866204893798,0.0164571391907293
"CY00",0.0314277544761857,0.0570716364483626,0.0998496550358662,0.0122758815150356
"CZ01",0.331569776732848,0.127589733350671,0.00997864056008705,0.348304884192319
"CZ02",0.193310563538745,0.07810512147295,0.0198756919113507,0.0161629967099884
"CZ03",0.101600077562575,0.0453943371311598,0.0192526850168282,0.00895120908482671
"CZ04",0.102602874410853,0.0226983628077867,0.0425527221895748,0.0172562052865586
"CZ05",0.123881741892868,0.0623513876927779,0.0311262499525421,0.0161395716842481
"CZ06",0.189439652916186,0.0264171798176046,0.0290656749486914,0.0160429967159475
"CZ07",0.13193530521468,0.0258948362489105,0.0291253841267904,0.0176074563075578
"CZ08",0.130818437089022,0.0522449879323432,0.0283180568051635,0.0301052830720438
"DE11",0.144427875810118,0.045311959665682,0.0478069188906,0.051933263448253
"DE12",0.106356726583018,0.0174344999588352,0.0409438235503334,0.0537896212162984
"DE13",0.0791393993725272,0.0285969447493147,0.017986832835944,0.0317315261112361
"DE14",0.0958104362049477,0.0425642221593981,0.0521517693876126,0.0267085597915962
"DE21",0.0826707785258703,0.0285926546789472,0.0445291939445729,0.035031619587159
"DE22",0.138852716744645,0.0812376040539838,0.0158927481164296,0.0155777694083968
"DE23",0.0920376442185926,0.0613373895458455,0.0484961547708992,0.0149634497788873
"DE24",0.102630229595123,0.0186270346659847,0.0616864538930408,0.0196389350359703
"DE25",0.13184833241867,0.0322631763954773,0.0585934562467111,0.0322404616038407
"DE26",0.12942598719487,0.0194558847342708,0.037987971019932,0.0205054473209774
"DE27",0.0912127867030958,0.0325168958516077,0.0491239273087308,0.0246429490490877
"DE30",0.0603356053962946,0.0111171027455181,0.250584188616222,0.536405354181175
"DE40",0.133032661642825,0.0487779185905258,0.0567527972632297,0.0110221671082802
"DE50",0.0655278848353404,0.0807275669079203,0.0121837764612818,0.217500937170947
"DE60",0.101246091199004,0.0119272049607035,0.100245820029477,0.323815034776526
"DE71",0.0732825742012749,0.0153434470804741,0.0407695982794233,0.071108234585863
"DE72",0.0989000526717775,0.0184604165150745,0.0828824993214388,0.025897099496855
"DE73",0.118158939702304,0.0302527022631724,0.0505405072120393,0.019539351305962
"DE80",0.175477377700633,0.0576557966500263,0.0509399101405643,0.00909554122878318
"DE91",0.183811268547515,0.0286643865691668,0.0958571079075235,0.0262810730471834
"DE92",0.212883384716414,0.10530469861918,0.0637726981953999,0.0315857024285946
"DE93",0.101947552317493,0.0669546322427049,0.0553418035370345,0.014460943568575
"DE94",0.138057880790181,0.493521194222451,0.0984098766393954,0.0222491078319437
"DEA1",0.117219727018379,0.0968171133702876,0.0760240883938747,0.132462454260378
"DEA2",0.0818010000261229,0.0298796007498901,0.120208566411457,0.0810896227692784
"DEA3",0.18987789403249,0.19503008749187,0.132866251774647,0.0509182724941163
"DEA4",0.188754239034845,0.101353350130885,0.0598674472156238,0.0423644370698726
"DEA5",0.0641021815098307,0.0491224783831537,0.132100172209928,0.0605262440034052
"DEB1",0.00770703921973237,0.0126061429016579,0.10644194956883,0.0247465107694496
"DEB2",0.00871412030896368,0.0152107613476067,0.014164146821942,0.0141549818768467
"DEB3",0.0192247720735679,0.0121926838848965,0.035579676145021,0.0399977038283402
"DEC0",0.0749651140626281,0.0127611811003675,0.0873039271504377,0.0522914270914821
"DED2",0.141866854598615,0.0289517078423598,0.0467869893387024,0.027010245097614
"DED4",0.159446121813601,0.0553248065978317,0.0770575440672292,0.0301321151904895
"DED5",0.241031684216226,0.207041184844846,0.0885980145227017,0.0343303287056174
"DEE0",0.210564637488367,0.0709533119000589,0.0711284494440522,0.0144470571370552
"DEF0",0.126997154118159,0.0451301082567307,0.0574826423285021,0.0244468976313635
"DEG0",0.166130256185832,0.0356869953104935,0.0905145490535092,0.0177793646109551
"DK01",0.153821454821862,0.0132597923625508,0.0505336856078865,0.0941817651655599
"DK02",0.252933414647715,0.0201089504644186,0.0391437067237888,0.015032918390813
"DK03",0.173558281528516,0.100286279505794,0.03921706670875,0.013210138839449
"DK04",0.129821628753318,0.0654872794594815,0.0515427644210148,0.0130285761270507
"DK05",0.197082687425756,0.101710231245177,0.0262668888329595,0.00965190501873364
"EE00",0.0370265265770311,0.00667079797502155,0.0570262390737691,0.00356319189772763
"EL30",0.0506289199774842,0.0892682631831598,0.150022517313833,0.136121268801575
"EL41",0.0296266629449679,0.0130371904627259,0.0131219697649802,0.00692871223266051
"EL42",0.0340801743634622,0.00462256862237689,0.00954759833798694,0.00826701952668377
"EL43",0.0632589256195802,0.0573105050820295,0.0694391576911522,0.00987880238443513
"EL51",0.139338023037537,0.0169943116995311,0.0589874527446781,0.00538112304127305
"EL52",0.166735262880239,0.0739793633417758,0.0850660057982634,0.0132520511629473
"EL53",0.094518243965188,0.0224634361968762,0.0782090489005492,0.00352199606015905
