NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
IE041,-0.03522065162948705,-0.05826640733960049,-0.028901894159907033,-0.011948249184837494,98,0.684,0.131,0.563,0.05,1
IE042,-0.04840463747974419,-0.08141572525069984,-0.0390517174583768,-0.012794726877387563,89,0.708,1.0,1.0,0.708,4
IE051,-0.054040580632803425,-0.09153005475231335,-0.054680020222365136,-0.011700820901845415,77,0.701,0.102,0.483,0.035,1
IE052,-0.04933926290825175,-0.08256044830258769,-0.029021612611550097,-0.01557482248629372,97,0.742,0.548,0.309,0.126,1
IE053,-0.0501723404054773,-0.0866175131987853,-0.03103359558670936,-0.012727230929967526,87,0.701,0.391,0.246,0.067,1
IE061,-0.03453585754647342,-0.05442560450047903,-0.022719586533590436,-0.008941226038633418,109,0.615,0.961,0.957,0.566,3
IE062,-0.04471543620606254,-0.07382869378349778,-0.031449906752822145,-0.012739867449913721,85,0.718,0.11,0.01,0.001,1
IE063,-0.042962263796053966,-0.07109011549901903,-0.0343001624126091,-0.011790099395771716,86,0.663,0.698,0.634,0.293,2
