"NUTS_ID","cropland","livestock","population","waterstress"
"AL011",0.0808157950320499,14134.4788135593,97.3400488435524,0.533708540059752
"AL012",0.283510903313113,121868.325,618.429150892287,1.06256709379308
"AL013",0.0597959924591005,8562.40284090909,78.0670713215421,0.130997631766579
"AL014",0.144253301443072,20772.0964673913,147.730076432748,0.974610439566679
"AL015",0.0690004192474695,13857.0079113924,77.1508280405827,0.302917987485475
"AL021",0.148924419966157,28171.4027777778,137.954938811491,0.774293846554226
"AL022",0.240682364336438,57238.976744186,452.321025864364,1.06256721133278
"AL031",0.199501069848517,35093.1022727273,155.805650388222,0.475127740339799
"AL032",0.389998356627064,83268.9204545455,263.594506315226,0.969070816040039
"AL033",0.0777228682880057,19598.6268939394,49.0570805890777,0.334878950408011
"AL034",0.116311971129677,18081.962962963,92.1516920056715,0.410874260796441
"AL035",0.104102986015865,20261.3899253731,106.373451870471,0.692295722241672
"AT111",0.532704985334984,14343.625,104.327467087286,0.0157533992420543
"AT112",0.676729275764962,4732.79591836735,172.240501900756,0.0151127199737393
"AT113",0.449893666555678,30050.2865853659,106.0365342376,0.0188533634674258
"AT121",0.303033646977478,44076.7738095238,97.6967572184311,0.0275090904462905
"AT122",0.102603104284149,8632.31328125,97.2631523806598,0.0242209196090698
"AT123",0.502048589023888,17973.25,157.955960919865,0.0275090901475204
"AT124",0.438307560968042,9118.33136792453,51.5281876117191,0.123042205594621
"AT125",0.95,5141.92003676471,82.4782852123172,0.219002667595358
"AT126",0.691687860198791,7283.9453125,249.82369003912,0.0949666897455851
"AT127",0.592558376500572,3848.11111111111,510.178066380608,0.0292410214742025
"AT130",0.319538466221491,1523.885546875,4691.05681215305,0.0275090912977854
"AT211",0.088468500276287,9492.07443181818,200.968174602214,0.029039326581088
"AT212",0.0109066766514856,2995.34617718447,47.932787746542,0.0334861718335198
"AT213",0.0623957112628453,23310.1310240964,58.5882523985932,0.0513092293796769
"AT221",0.157942370578345,28552.8298611111,416.351870133304,0.0651805798212687
"AT222",0.000394315258735772,1622.1578125,29.5647432054927,0.0300987660884857
"AT223",0.00148822538146652,2321.19480519481,58.2749502452379,0.0602252266623757
"AT224",0.263826289062483,71246.2012195122,110.043547288312,0.0351281689434517
"AT225",0.163260049934911,29050.4858870968,144.429729149956,0.068625727007466
"AT226",0.00789450859850516,4443.20535714286,41.1011780836354,0.0694043791139281
"AT311",0.338926114554063,34909.8333333333,172.535073007677,0.0342982411384583
"AT312",0.458202099043589,41531.5433673469,403.726588647056,0.0275090908517643
"AT313",0.229367221513382,22304.6198630137,118.568583552138,0.0467000628170902
"AT314",0.171660093027134,30994.1379310345,94.5759774887771,0.0275090912292744
"AT315",0.126617634991603,11551.9173076923,119.418725196218,0.0286324886175302
"AT321",0.00308190977362094,1352.54138183594,25.5902775264197,0.0583713166415691
"AT322",0.00043087405158311,1641.36755952381,41.5971021212261,0.0383968262445359
"AT323",0.0253138509422909,11252.7275,259.523066469759,0.0354370641708374
"AT331",4.67592375350997e-05,1206.94163602941,42.3667650723468,0.121491446214564
"AT332",0.00277788423223342,2410.53346108491,153.631506257357,0.0562170316588204
"AT333",0.00211555152699569,1238.967734375,27.2727602298746,0.0341023087501526
"AT334",0.000899193579056323,1200.76842948718,39.4513670663371,0.0545932329618014
"AT335",0.001829664925103,2668.349375,74.1743861163449,0.0472298002243042
"AT341",0.000767669020350327,2846.66489361702,70.1582532513037,0.103434775738006
"AT342",0.0112161735211916,14433.7135416667,655.265927337192,0.0878511766592662
"BE100",0.0760405858630679,4414.1689453125,8470.28952300137,1.72995726267497
"BE211",0.233946860289377,133982.975806452,1279.51884658208,0.845031922863376
"BE212",0.213820387597666,54416.6375,1339.34384477747,1.72995719909668
"BE213",0.277866670085999,305626.05,491.735346327222,1.30807418823242
"BE223",0.66214125813508,47054.4083333333,1195.79182110641,1.02439695994059
"BE224",0.494737836282109,67621.6764705882,779.904100765112,1.57431882970473
"BE225",0.273259166783379,252267.875,433.676674972475,0.936201844896589
"BE231",0.479021130990818,41901.0104166667,930.772786437541,1.72995715671115
"BE232",0.41442707318511,120037.107142857,1350.38941705095,1.7465991973877
"BE233",0.95,179413.09375,584.068507720495,1.91925799846649
"BE234",0.429457809494406,182875.629032258,797.344446780839,1.81262945359753
"BE235",0.669494210511904,102313.618421053,782.319893176857,1.72995717901933
"BE236",0.507053338012086,161287.152777778,805.160104830468,1.79334746466743
"BE241",0.391560124727585,26668.234375,2206.92429552103,1.72995715671115
"BE242",0.488130638265821,43773.1925675676,704.294882330012,1.7299571681667
"BE251",0.554240527230301,197873.369565217,530.227044197721,1.83207501863178
"BE252",0.699722473842628,291543.1,353.606347962935,1.17718213399251
"BE253",0.605929857201622,307987.886363636,582.268333964572,1.4237587668679
"BE254",0.515004365471632,196387.392857143,1000.38035882542,1.72995730808803
"BE255",0.51900952246453,125548.028846154,720.689701028268,1.51224241256714
"BE256",0.691340738470935,441792.166666667,1170.0944214967,1.61982742945353
"BE257",0.831694214776109,450709.75,943.649381628305,1.74286978585379
"BE258",0.457735541216796,197733.795454545,320.303929525409,0.866082085503472
"BE310",0.686183804830966,30425.4285714286,594.495956235446,1.60900399344308
"BE323",0.580698985550195,11276.95546875,617.030565105158,1.67704010009766
"BE328",0.796860922806046,82318.5916666667,1033.8061092556,1.71268463134766
"BE329",0.83050014976628,28593.1079545455,991.543342241503,1.44131894545122
"BE32A",0.73859221138317,21871.6875,453.774564216262,1.72995727539062
"BE32B",0.631099630034833,30848.3506944444,1029.34924022512,0.789210054609511
"BE32C",0.88237332304158,28784.265625,795.416738736048,1.59766459465027
"BE32D",0.40536122864571,29233.3004032258,439.299722109302,0.746450485721711
"BE331",0.532230430657561,36942.3865740741,397.197421833321,0.671616801509151
"BE332",0.234465150397016,29660.1425,935.450430827512,0.713950347900391
"BE334",0.95,43188.8090277778,607.688206174939,0.906803448994954
"BE335",0.0496252930166517,17266.0434027778,393.272092440594,0.671616660224067
"BE336",0.046634959339309,8387.7803030303,353.612583610508,0.575250567811908
"BE341",0.188972831527174,4804.65564903846,422.044299232507,0.549305769113394
"BE342",0.0583414918206528,5153.92876838235,72.7679165006606,0.568731644574334
"BE343",0.0531795663530001,20177.8258928571,84.5945505281342,0.671616690499442
"BE344",0.022333048898499,13650.8973214286,69.3362208986884,0.648901803152902
"BE345",0.112874348895582,7386.56018518519,98.0282226750303,0.671616660224067
"BE351",0.184222614505664,22866.2193877551,122.987439146977,0.671616612648477
"BE352",0.538108184039404,25671.8465909091,357.125220601324,0.831971255215732
"BE353",0.283059198397417,23163.0647321429,147.536564134826,0.671616758619036
"BG311",0.433164589907882,5841.90492957746,53.575178900991,0.117581098852023
"BG312",0.456560100776236,10916.7831325301,55.3046873314582,0.0487170449222427
"BG313",0.512398369363537,8975.66158536585,66.4906283807118,0.00631621552676689
"BG314",0.683217786300383,10917.254950495,80.9459929644679,0.015665861639646
"BG315",0.274566071183755,5416.47758152174,44.1681348613119,0.0751573935798977
"BG321",0.485513034825808,17598.0816831683,75.0951984560478,0.0319423156209511
"BG322",0.257125810307049,7832.97526041667,76.6242514241579,0.0371593286593755
"BG323",0.786521931070517,20283.1197916667,149.454839382803,0.0295228295856052
"BG324",0.776864629940827,23206.286637931,72.9903209055837,0.0273050172575589
"BG325",0.784275193169359,12220.7617753623,73.4724305097275,0.0280197806980299
"BG331",0.512981281521232,6890.22352941176,120.585952579244,0.00812496815198734
"BG332",0.809951639138154,14684.6057692308,52.9784139942531,0.0174455357094606
"BG333",0.59284316849662,7906.89003164557,71.3336770954983,0.0105606226981441
"BG334",0.564477655131182,17479.583984375,64.5812417574657,0.0198294892907143
"BG341",0.250142827818922,2946.34219720497,55.9133855457628,0.0189766499820172
"BG342",0.352818908306136,10288.57,65.4859939256801,0.115810890197754
"BG343",0.586886568824963,15532.4233333333,55.2622570449637,0.134768651326497
"BG344",0.368470206126762,16164.7098623853,76.7634580451622,0.330322965569452
"BG411",0.131187075104232,2998.69910714286,866.121057371905,0.105233076640538
"BG412",0.0903231310954965,1975.18592767296,56.7538070846642,0.356580218429086
"BG413",0.0788280468402555,3047.60192307692,54.8444818114217,0.694912895789513
"BG414",0.115476050521261,2645.52727272727,78.5406654034106,0.792741185968572
"BG415",0.0956813732397988,3096.63934075342,75.1651243024872,0.742515929757732
"BG421",0.242525508873678,11589.52,118.576344938794,0.811899780273437
"BG422",0.365450758318064,10999.7993951613,58.5808952032938,0.347047744258758
"BG423",0.112171483365399,6323.29301075269,70.7221253644732,0.838714189426873
"BG424",0.0331381363385537,2156.8475,44.4323610532542,0.730926462809245
"BG425",0.153782952304101,7096.35563380282,52.7932461842567,0.58624912315691
"CH011",0.221471634919739,23579.765625,258.964578821584,0.0538092309778387
"CH012",0.027916000253503,2639.12141393443,71.517513301675,0.0848660938075331
"CH013",0.611935228219734,6802.1015625,1879.37203924591,0.0733825614054998
"CH021",0.0971835929672876,23782.1041666667,223.319450809038,0.0391363832685682
"CH022",0.229876439999348,55417.9361702128,240.661797122001,0.0338490567308791
"CH023",0.279044327487068,25039,980.142320360535,0.0509515539292366
"CH024",0.103217648339489,12148.2275,323.127218637064,0.0585046672821045
"CH025",0.190020001237583,16926.1166666667,194.310752933956,0.0987456639607747
"CH031",0.95,8350.1318359375,27180.648054133,0.0770647674798965
"CH032",0.22731451356105,20549.8352272727,1555.75453134742,0.0709321119568565
"CH033",0.244293051726311,42811.8125,733.887925948398,0.0494263226335699
"CH040",0.227804138308153,32030.3614130435,956.306424068563,0.0648202170496402
"CH051",0.00304207864441689,6878.88849431818,83.5662437778619,0.0422300398349762
"CH052",0.868423392639524,33654.2109375,761.113897090234,0.0878511816263199
"CH053",0.0129555109954442,37861.390625,787.271153952809,0.0878511766592662
"CH054",0.0231352871536081,41763.55,1340.22242950861,0.0878511786460876
"CH055",0.0294219144581313,31630.05859375,390.136352140158,0.0721689090132713
"CH056",0.00400428159523673,2188.02803030303,45.7050296889082,0.0735253016153971
"CH057",0.259200443848705,52226.7045454545,502.912089186505,0.0878511775623668
"CH061",0.10835476501285,52620.5952380952,337.601893167316,0.0320920092718942
"CH062",0.000363333791497009,2683.73529411765,60.5509320127654,0.0426816098830279
"CH063",0.0234527248097897,17641.7543103448,445.615337022115,0.0320920122080836
"CH064",0.00221529781551668,11751.6583333333,130.83537474107,0.032092010974884
"CH065",0.00838473187261126,11891.7823660714,819.290078833934,0.0320920114006315
"CH066",0.286886342419724,35934.8,1153.2029987538,0.032092010974884
"CH070",0.0159573752432527,1970.18014705882,179.172317645301,0.0822299859103034
"CY000",0.0782118069483558,22239.5099431818,58.5296649584601,2.95087849010121
"CZ010",0.656910348608649,47727.4097222222,2285.45965353861,0.0923946566051907
"CZ020",0.474105636264031,29837.2052845528,226.259388313075,0.137707655991965
"CZ031",0.250374625579135,17643.1278280543,58.2334643916135,0.161796846001396
"CZ032",0.268417876166835,16756.2297687861,79.6937221908714,0.0804916447986757
"CZ041",0.0889667839848971,4854.36796875,114.925984274469,0.177385294437408
"CZ042",0.340044473422111,9347.02537593985,143.39154218752,0.197185028764538
"CZ051",0.178529612603,4131.84040178571,201.646750154624,0.194177082606724
"CZ052",0.38351535287715,42979.1583333333,134.564715343247,0.178691673278809
"CZ053",0.40654938504662,22817.1386363636,124.833186469729,0.219966333562678
"CZ063",0.406556705651749,7915.96977124183,68.7450725703201,0.237673391703687
"CZ064",0.581507764670253,11814.6148843931,147.992482172662,0.298062208759991
"CZ071",0.411535041889389,7965.01666666667,139.322095267977,0.273486045554832
"CZ072",0.318645854604687,12215.8582474227,180.095677574891,0.279428678689544
"CZ080",0.310022050127733,18665.4740740741,223.516827313707,0.294638400607639
"DE111",0.273456793409459,10157.6234375,6048.2228917638,0.555398893356323
"DE112",0.413659496228439,13347.2828947368,982.126672172304,0.555398840653269
"DE113",0.306250043578485,13002.4660326087,1740.6034915631,0.555398858111838
"DE114",0.313398182748931,16445.225,622.948649038999,0.510281372070313
"DE115",0.565379875094956,14603.4283854167,1414.72898879595,0.555398861567179
"DE116",0.204937430027675,15058.66,1161.66658470418,0.555398864746094
"DE117",0.95,16968.2135416667,2562.49304249142,0.555398861567179
"DE118",0.633537572918477,14536.0246710526,539.865570237063,0.530223444888466
"DE119",0.638521840857278,19846.63875,229.447297064942,0.554767074584961
"DE11A",0.425408318472191,23329.734375,172.155952444885,0.524530839920044
"DE11B",0.681302571067603,14125.025297619,176.488913475509,0.548253558930897
"DE11C",0.415386745446901,19840.5171875,306.310276484466,0.284694004058838
"DE11D",0.29820624633565,22564.7388888889,324.304435452728,0.441769663492839
"DE121",0.308805460639997,4704.15234375,1597.04528210567,0.0770647696086339
"DE122",0.387691045228228,4186.60546875,2995.27811923075,0.0770647674798965
"DE123",0.37970211116326,5130.44910714286,937.214024445187,0.104398141588484
"DE124",0.267900323471491,5919.27951388889,562.68196695365,0.112496923517298
"DE125",0.502554181943114,3229.87662760417,3307.17075680913,0.475676536560059
"DE126",0.186964755668553,4672.91852678571,4192.77795685759,0.196157455444336
"DE127",0.473935505921716,8783.85227272727,195.383155516306,0.55300573869185
"DE128",0.372294175690887,4886.24826388889,1050.35393178072,0.349258581797282
"DE129",0.440744797117244,3677.70751953125,2022.29533725246,0.316231846809387
"DE12A",0.141320993349096,5671.81966145833,422.44181251091,0.475676536560059
"DE12B",0.385316321895149,6252.33380681818,783.464442630509,0.359716740521518
"DE12C",0.224096993128212,5665.54133064516,254.708705892959,0.354807146133915
"DE131",0.613379855912236,5824.91927083333,2541.67551137949,0.077064765824212
"DE132",0.305911323157536,5996.93194444444,456.908780867697,0.0912984742058648
