"NUTS_ID","cropland","waterstress","population"
"AL011",0.362682035005001,0.818726103430763,108.581331893654
"AL012",0.844683631129429,1.22555628271638,311.100798665225
"AL013",0.200738639986984,0.191761996532158,98.4537884829697
"AL014",0.4171299010217,1.17504139151528,123.733430052332
"AL015",0.343771344475191,0.526294271885433,61.7598751626156
"AL021",0.420648596634494,0.981594571414157,167.264081178437
"AL022",0.625911679056415,1.22555621532373,384.576659438924
"AL031",0.453347732064442,0.607650488289325,156.662726557951
"AL032",1,2.36692093909491,220.229137609014
"AL033",0.300220077362704,0.513111525704809,51.6049732000294
"AL034",0.263333561153597,0.583975367174741,65.0156700601453
"AL035",0.575855323078553,1.07704661625285,66.9138799489457
"AT111",0.503470958360146,0.017537648185064,153.607398271006
"AT112",0.832260618345844,0.0161384451711666,182.976058545777
"AT113",0.548721961629872,0.0197247355589118,103.112376929869
"AT121",0.291098311418869,0.0361205568851566,94.6045410221493
"AT122",0.129898136944963,0.0287944377891485,136.350565608348
"AT123",0.379979839289026,0.0361205621524012,179.906613406757
"AT124",0.446619733010764,0.151988959643154,65.596800400832
"AT125",1,0.28696013844914,250.377027243186
"AT126",1,0.11630589273638,895.531332668172
"AT127",0.812619923196684,0.0362088234914442,918.327420038574
"AT130",0.226445686965238,0.036120557625307,2369.55199362453
"AT211",0.195694663259772,0.0401191844066868,152.38501937821
"AT212",0.0180598360306542,0.0683821598111915,50.8692728507307
"AT213",0.201016155362183,0.0495855475188175,111.189350285366
"AT221",0.372946384262133,0.0615454066606342,337.664343556202
"AT222",0.00777860128205311,0.0374771176054003,37.0956960740125
"AT223",0.017326925706649,0.0577089671715411,131.931849252021
"AT224",0.499035806601334,0.0322822513835625,155.9689404539
"AT225",0.378043862190621,0.065588482497325,186.809209714713
"AT226",0.0486220254922498,0.0681359956399446,54.9662963691904
"AT311",0.740336022359543,0.0399964057475317,141.296465632187
"AT312",0.768620681262206,0.0361205611341578,477.484674671156
"AT313",0.175392549707872,0.0513733505153118,193.670522678583
"AT314",0.249485772270158,0.0361205608576665,148.808283168371
"AT315",0.213792559640478,0.0367721310816155,130.775635557049
"AT321",0.0019755833814558,0.06073498542461,39.5149628404592
