Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
HR: Krapinsko-zagorska županija,HR064,0.785,1.0,0.589,0.462,3
HR: Brodsko-posavska županija,HR024,0.715,0.793,1.0,0.567,3
HR: Virovitičko-podravska županija,HR022,0.691,0.84,0.901,0.523,3
HR: Požeško-slavonska županija,HR023,0.752,0.495,0.903,0.336,2
HR: Dubrovačko-neretvanska županija,HR037,0.774,0.562,0.266,0.116,1
HR: Zadarska županija,HR033,0.738,0.644,0.743,0.353,2
HR: Zagrebačka županija,HR065,0.787,0.722,0.469,0.266,2
HR: Varaždinska županija,HR062,0.769,0.692,0.732,0.39,2
HR: Istarska županija,HR036,0.721,0.603,0.358,0.156,1
HR: Karlovačka županija,HR027,0.721,0.471,0.807,0.274,2
HR: Sisačko-moslavačka županija,HR028,0.733,0.575,0.82,0.346,2
HR: Osječko-baranjska županija,HR025,0.748,0.963,0.803,0.578,3
HR: Primorsko-goranska županija,HR031,0.769,0.554,0.409,0.174,1
HR: Vukovarsko-srijemska županija,HR026,0.775,0.989,0.977,0.749,4
HR: Splitsko-dalmatinska županija,HR035,0.762,0.628,0.767,0.367,2
HR: Šibensko-kninska županija,HR034,0.771,0.662,0.761,0.388,2
HR: Koprivničko-križevačka županija,HR063,0.755,0.644,0.771,0.375,2
HR: Međimurska županija,HR061,0.771,1.0,0.729,0.562,3
HR: Bjelovarsko-bilogorska županija,HR021,0.783,0.496,0.85,0.33,2
HR: Ličko-senjska županija,HR032,0.674,0.655,0.771,0.34,2
HR: Grad Zagreb,HR050,0.748,1.0,0.01,0.007,1
