Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RO: Braşov,RO122,0.749,0.573,0.614,0.264,2
RO: Timiş,RO424,0.775,0.515,0.585,0.233,2
RO: Teleorman,RO317,0.799,0.807,0.935,0.603,4
RO: Brăila,RO221,0.817,0.78,0.831,0.53,3
RO: Prahova,RO316,0.781,1.0,0.728,0.569,3
RO: Bucureşti,RO321,0.728,1.0,0.01,0.007,1
RO: Covasna,RO123,0.802,0.421,0.832,0.281,2
RO: Vaslui,RO216,0.825,0.95,0.982,0.77,4
RO: Călăraşi,RO312,0.805,1.0,0.882,0.71,4
RO: Olt,RO414,0.818,0.832,0.921,0.627,4
RO: Dâmboviţa,RO313,0.835,1.0,0.865,0.722,4
RO: Vâlcea,RO415,0.853,0.428,0.849,0.31,2
RO: Bistriţa-Năsăud,RO112,0.799,0.242,0.844,0.163,1
RO: Cluj,RO113,0.742,0.302,0.663,0.149,1
RO: Giurgiu,RO314,0.826,1.0,0.863,0.713,4
RO: Ialomiţa,RO315,0.778,1.0,0.864,0.672,4
RO: Iaşi,RO213,0.848,0.695,0.882,0.52,3
RO: Bacău,RO211,0.817,0.573,0.868,0.406,3
RO: Bihor,RO111,0.791,0.319,0.756,0.191,1
RO: Botoşani,RO212,0.823,0.614,1.0,0.505,3
RO: Vrancea,RO226,0.825,0.566,0.912,0.426,3
RO: Argeş,RO311,0.815,0.751,0.703,0.43,3
RO: Ilfov,RO322,0.797,1.0,0.151,0.12,1
RO: Dolj,RO411,0.704,0.651,0.833,0.382,2
RO: Alba,RO121,0.787,0.438,0.729,0.251,2
RO: Harghita,RO124,0.777,0.431,0.858,0.287,2
RO: Neamţ,RO214,0.733,0.319,0.93,0.217,2
RO: Suceava,RO215,0.69,0.218,0.949,0.143,1
RO: Maramureş,RO114,0.696,0.173,0.949,0.114,1
RO: Satu Mare,RO115,0.683,0.479,0.907,0.297,2
RO: Buzău,RO222,0.725,0.98,0.895,0.636,4
RO: Constanţa,RO223,0.674,0.874,0.617,0.363,2
RO: Arad,RO421,0.673,0.342,0.714,0.164,1
RO: Caraş-Severin,RO422,0.737,0.071,0.81,0.042,1
RO: Hunedoara,RO423,0.725,0.186,0.748,0.101,1
RO: Sălaj,RO116,0.725,0.311,0.838,0.189,1
RO: Galaţi,RO224,0.734,0.882,0.861,0.557,3
RO: Tulcea,RO225,0.718,0.376,0.864,0.233,2
RO: Gorj,RO412,0.705,0.376,0.714,0.189,1
RO: Mureş,RO125,0.724,0.617,0.841,0.376,2
RO: Sibiu,RO126,0.701,0.514,0.683,0.246,2
RO: Mehedinţi,RO413,0.654,0.439,0.868,0.249,2
