Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CH: Schaffhausen,CH052,0.785,1.0,0.58,0.455,3
CH: Appenzell Ausserrhoden,CH053,0.774,0.943,0.905,0.661,4
CH: Appenzell Innerrhoden,CH054,0.785,0.966,0.872,0.661,4
CH: Glarus,CH051,0.746,0.166,0.895,0.111,1
CH: Graubünden,CH056,0.808,0.623,0.87,0.438,3
CH: St. Gallen,CH055,0.759,0.691,0.808,0.424,3
CH: Obwalden,CH064,0.745,0.19,0.886,0.125,1
CH: Nidwalden,CH065,0.761,0.209,0.868,0.138,1
CH: Zug,CH066,0.746,0.725,0.01,0.005,1
CH: Solothurn,CH023,0.759,0.544,0.81,0.334,2
CH: Valais,CH012,0.755,0.792,0.922,0.551,3
CH: Genève,CH013,0.749,0.74,0.311,0.172,1
CH: Neuchâtel,CH024,0.72,0.418,0.793,0.239,2
CH: Basel-Landschaft,CH032,0.762,0.648,0.753,0.372,2
CH: Schwyz,CH063,0.757,0.304,0.623,0.143,1
CH: Thurgau,CH057,0.757,1.0,0.797,0.603,4
CH: Luzern,CH061,0.721,0.949,0.848,0.58,3
CH: Uri,CH062,0.76,0.162,1.0,0.123,1
CH: Aargau,CH033,0.742,0.816,0.787,0.477,3
CH: Vaud,CH011,0.734,0.484,0.794,0.282,2
CH: Jura,CH025,0.78,1.0,0.847,0.661,4
CH: Basel-Stadt,CH031,0.736,1.0,0.728,0.536,3
CH: Bern,CH021,0.763,0.419,0.802,0.256,2
CH: Zürich,CH040,0.756,0.643,0.434,0.211,2
CH: Ticino,CH070,0.735,0.753,0.779,0.431,3
CH: Freiburg,CH022,0.806,1.0,0.955,0.77,4
