Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SE: Södermanlands län,SE122,0.775,0.77,0.927,0.553,3
SE: Kalmar län,SE213,0.773,0.28,0.852,0.184,1
SE: Västra Götalands län,SE232,0.783,0.296,0.681,0.158,1
SE: Västerbottens län,SE331,0.799,0.028,0.78,0.017,1
SE: Jämtlands län,SE322,0.798,0.03,0.631,0.015,1
SE: Norrbottens län,SE332,0.791,0.023,0.375,0.007,1
SE: Örebro län,SE124,0.806,0.263,0.818,0.173,1
SE: Västmanlands län,SE125,0.756,0.492,0.835,0.311,2
SE: Östergötlands län,SE123,0.762,0.48,0.883,0.323,2
SE: Hallands län,SE231,0.781,0.467,0.824,0.301,2
SE: Västernorrlands län,SE321,0.722,0.042,0.668,0.02,1
SE: Dalarnas län,SE312,0.78,0.047,0.804,0.029,1
SE: Blekinge län,SE221,0.761,1.0,0.896,0.682,4
SE: Jönköpings län,SE211,0.777,0.151,0.829,0.097,1
SE: Gävleborgs län,SE313,0.781,0.082,0.826,0.053,1
SE: Skåne län,SE224,0.782,1.0,0.828,0.647,4
SE: Värmlands län,SE311,0.771,0.116,0.926,0.083,1
SE: Stockholms län,SE110,0.779,1.0,0.01,0.008,1
SE: Uppsala län,SE121,0.688,0.885,0.817,0.497,3
SE: Gotlands län,SE214,0.705,0.63,1.0,0.444,3
SE: Kronobergs län,SE212,0.709,0.191,0.745,0.101,1
