Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
PL: Ciechanowski,PL922,0.805,1.0,0.027,0.022,1
PL: Płocki,PL923,0.786,0.987,0.042,0.033,1
PL: Jeleniogórski,PL515,0.788,0.372,0.465,0.136,1
PL: Legnicko-głogowski,PL516,0.74,0.569,0.518,0.218,2
PL: Miasto Szczecin,PL424,0.741,0.769,0.725,0.413,3
PL: Koniński,PL414,0.74,0.987,0.624,0.456,3
PL: Bialski,PL811,0.799,0.383,0.796,0.244,2
PL: Szczecinecko-pyrzycki,PL427,0.789,0.434,0.716,0.245,2
PL: Wrocławski,PL518,0.775,0.573,0.517,0.23,2
PL: Tyski,PL22C,0.796,1.0,0.602,0.479,3
PL: Szczeciński,PL428,0.821,0.497,0.675,0.275,2
PL: Bytomski,PL228,0.79,0.662,0.581,0.304,2
PL: Gliwicki,PL229,0.752,0.528,0.583,0.231,2
PL: Katowicki,PL22A,0.727,1.0,0.579,0.421,3
PL: Koszaliński,PL426,0.775,0.432,0.738,0.247,2
PL: Suwalski,PL843,0.789,0.293,0.923,0.213,2
PL: Warszawski wschodni,PL912,0.795,0.422,0.01,0.003,1
PL: Miasto Warszawa,PL911,0.772,0.903,0.01,0.007,1
PL: Sieradzki,PL714,0.789,1.0,0.939,0.741,4
PL: Rzeszowski,PL823,0.747,0.406,0.978,0.297,2
PL: Sosnowiecki,PL22B,0.793,0.509,0.593,0.239,2
PL: Krośnieński,PL821,0.799,0.219,0.978,0.171,1
PL: Pilski,PL411,0.752,0.517,0.616,0.239,2
PL: Tarnowski,PL217,0.781,0.435,0.815,0.277,2
PL: Lubelski,PL814,0.763,0.647,0.801,0.395,2
PL: Wałbrzyski,PL517,0.729,0.544,0.518,0.205,2
PL: Chełmsko-zamojski,PL812,0.746,0.476,0.828,0.294,2
PL: Krakowski,PL214,0.759,0.47,0.8,0.285,2
PL: Nowosądecki,PL218,0.726,0.297,0.813,0.175,1
PL: Piotrkowski,PL713,0.74,0.649,0.954,0.458,3
PL: Warszawski zachodni,PL913,0.739,0.53,0.01,0.004,1
PL: Częstochowski,PL224,0.762,0.811,0.6,0.371,2
PL: Bielski,PL225,0.713,0.476,0.589,0.2,1
PL: Rybnicki,PL227,0.707,0.869,0.574,0.353,2
PL: Miasto Poznań,PL415,0.759,0.972,0.602,0.444,3
PL: Gorzowski,PL431,0.754,0.285,0.633,0.136,1
PL: Przemyski,PL822,0.772,0.265,1.0,0.205,2
PL: Grudziądzki,PL616,0.749,0.72,0.805,0.434,3
PL: Poznański,PL418,0.745,0.947,0.601,0.424,3
PL: Miasto Wrocław,PL514,0.814,1.0,0.513,0.418,3
PL: Łomżyński,PL842,0.808,0.285,0.876,0.202,2
PL: Zielonogórski,PL432,0.793,0.294,0.66,0.154,1
PL: Kaliski,PL416,0.765,0.983,0.612,0.46,3
PL: Nowotarski,PL219,0.785,0.269,0.792,0.167,1
PL: Oświęcimski,PL21A,0.78,0.391,0.774,0.236,2
PL: Siedlecki,PL925,0.736,0.596,0.065,0.029,1
PL: Puławski,PL815,0.783,0.506,0.729,0.289,2
PL: Łódzki,PL712,0.738,1.0,0.979,0.723,4
PL: Chojnicki,PL637,0.75,0.243,0.725,0.132,1
PL: Starogardzki,PL638,0.759,0.505,0.734,0.281,2
PL: Miasto Łódź,PL711,0.756,1.0,0.979,0.74,4
PL: Inowrocławski,PL617,0.737,0.735,0.796,0.431,3
PL: Świecki,PL618,0.856,0.479,0.797,0.327,2
PL: Ostrołęcki,PL924,0.812,0.415,0.073,0.025,1
PL: Żyrardowski,PL926,0.741,0.721,0.08,0.043,1
PL: Olsztyński,PL622,0.771,0.199,0.897,0.138,1
PL: Białostocki,PL841,0.763,0.34,0.923,0.239,2
PL: Ełcki,PL623,0.746,0.234,0.912,0.159,1
PL: Trójmiejski,PL633,0.761,0.771,0.729,0.428,3
PL: Miasto Kraków,PL213,0.738,0.895,0.801,0.529,3
PL: Radomski,PL921,0.774,0.445,0.15,0.052,1
PL: Tarnobrzeski,PL824,0.793,0.333,0.96,0.254,2
PL: Gdański,PL634,0.789,0.503,0.727,0.289,2
PL: Słupski,PL636,0.817,0.23,0.727,0.137,1
PL: Opolski,PL524,0.826,0.636,0.834,0.438,3
PL: Bydgosko-toruński,PL613,0.812,0.547,0.812,0.361,2
PL: Skierniewicki,PL715,0.834,1.0,0.878,0.732,4
PL: Kielecki,PL721,0.804,0.326,0.854,0.224,2
PL: Nyski,PL523,0.785,0.948,0.784,0.583,3
PL: Sandomiersko-jędrzejowski,PL722,0.744,0.535,0.882,0.351,2
PL: Włocławski,PL619,0.777,0.701,0.78,0.425,3
PL: Elbląski,PL621,0.787,0.34,0.843,0.226,2
PL: Leszczyński,PL417,0.826,1.0,0.6,0.496,3
