Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
UK: Dumfries & Galloway,UKM92,0.797,0.086,0.568,0.039,1
UK: Gloucestershire,UKK13,0.774,0.707,0.664,0.363,2
UK: Swindon,UKK14,0.763,1.0,0.658,0.502,3
UK: Cardiff and Vale of Glamorgan,UKL22,0.822,0.182,0.902,0.135,1
UK: Nottingham,UKF14,0.793,1.0,0.752,0.596,3
UK: Durham CC,UKC14,0.782,0.258,0.874,0.176,1
UK: Northumberland,UKC21,0.837,0.204,0.87,0.149,1
UK: North Nottinghamshire,UKF15,0.817,0.798,0.752,0.49,3
UK: Orkney Islands,UKM65,0.809,0.039,0.578,0.018,1
UK: Hertfordshire,UKH23,0.799,0.906,0.506,0.366,2
UK: Bedford,UKH24,0.761,1.0,0.659,0.501,3
UK: South Nottinghamshire,UKF16,0.812,0.947,0.751,0.577,3
UK: Leicester,UKF21,0.832,1.0,0.752,0.626,4
UK: Plymouth,UKK41,0.832,0.358,0.659,0.196,1
UK: South West Wales,UKL14,0.796,0.17,0.893,0.121,1
UK: Swansea,UKL18,0.794,0.174,0.899,0.124,1
UK: Monmouthshire and Newport,UKL21,0.769,0.419,0.883,0.285,2
"UK: Armagh City, Banbridge and Craigavon",UKN07,0.765,0.593,0.842,0.382,2
UK: Torbay,UKK42,0.834,0.709,0.683,0.404,3
UK: Greater Manchester South West,UKD34,0.838,0.406,0.75,0.255,2
UK: Greater Manchester South East,UKD35,0.849,0.367,0.751,0.234,2
UK: Wakefield,UKE45,0.812,0.822,0.796,0.531,3
UK: Derby,UKF11,0.812,1.0,0.749,0.608,4
UK: East Derbyshire,UKF12,0.792,0.445,0.75,0.264,2
UK: South and West Derbyshire,UKF13,0.792,0.354,0.749,0.21,2
UK: Powys,UKL24,0.793,0.363,0.878,0.253,2
UK: West Cumbria,UKD11,0.786,0.243,0.746,0.142,1
UK: Manchester,UKD33,0.778,0.353,0.751,0.206,2
UK: Central Bedfordshire,UKH25,0.794,1.0,0.593,0.471,3
UK: Southend-on-Sea,UKH31,0.776,0.597,0.65,0.301,2
UK: Thurrock,UKH32,0.759,0.786,0.307,0.183,1
UK: Flintshire and Wrexham,UKL23,0.824,0.568,0.873,0.409,3
UK: Gwent Valleys,UKL16,0.827,0.191,0.895,0.141,1
UK: Bridgend and Neath Port Talbot,UKL17,0.822,0.162,0.902,0.12,1
UK: East Cumbria,UKD12,0.796,0.237,0.742,0.14,1
UK: Aberdeen City and Aberdeenshire,UKM50,0.81,0.248,0.563,0.113,1
UK: Sunderland,UKC23,0.778,0.581,0.876,0.396,2
UK: Lincolnshire,UKF30,0.681,0.8,0.749,0.408,3
"UK: Herefordshire, County of",UKG11,0.676,1.0,0.75,0.507,3
UK: Greater Manchester North West,UKD36,0.814,0.404,0.75,0.247,2
UK: Greater Manchester North East,UKD37,0.81,0.339,0.751,0.206,2
UK: Blackburn with Darwen,UKD41,0.714,0.332,0.749,0.178,1
UK: Blackpool,UKD42,0.692,0.588,1.0,0.407,3
UK: Leicestershire CC and Rutland,UKF22,0.736,0.673,0.749,0.371,2
UK: West Northamptonshire,UKF24,0.734,0.747,0.679,0.372,2
UK: North Northamptonshire,UKF25,0.736,0.913,0.741,0.498,3
UK: Lancaster and Wyre,UKD44,0.741,0.341,0.861,0.218,2
UK: York,UKE21,0.719,1.0,0.796,0.572,3
"UK: Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,0.724,0.042,0.573,0.017,1
UK: Oxfordshire,UKJ14,0.728,1.0,0.071,0.052,1
UK: Brighton and Hove,UKJ21,0.735,0.614,0.094,0.042,1
UK: East Sussex CC,UKJ22,0.721,0.619,0.01,0.004,1
UK: Tyneside,UKC22,0.715,0.304,0.876,0.19,1
UK: Caithness & Sutherland and Ross & Cromarty,UKM61,0.716,0.027,0.558,0.011,1
"UK: Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,0.754,0.022,0.567,0.009,1
UK: North Yorkshire CC,UKE22,0.778,0.379,0.81,0.239,2
UK: Worcestershire,UKG12,0.76,0.501,0.748,0.285,2
UK: Warwickshire,UKG13,0.716,0.663,0.738,0.35,2
UK: Telford and Wrekin,UKG21,0.717,0.947,0.75,0.509,3
UK: Milton Keynes,UKJ12,0.716,1.0,0.155,0.111,1
UK: Conwy and Denbighshire,UKL13,0.717,0.287,0.895,0.184,1
UK: Buckinghamshire CC,UKJ13,0.795,0.911,0.093,0.067,1
UK: Scottish Borders,UKM91,0.783,0.204,0.587,0.094,1
UK: East Ayrshire and North Ayrshire mainland,UKM93,0.797,0.096,0.567,0.043,1
UK: Sefton,UKD73,0.817,0.923,0.75,0.566,3
UK: Wirral,UKD74,0.824,0.233,0.75,0.144,1
"UK: Kingston upon Hull, City of",UKE11,0.82,1.0,0.797,0.654,4
UK: West Kent,UKJ46,0.818,0.757,0.01,0.006,1
"UK: Bristol, City of",UKK11,0.796,0.376,0.667,0.2,1
"UK: Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,0.813,0.27,0.676,0.148,1
UK: Cheshire East,UKD62,0.82,0.285,0.749,0.175,1
UK: East Riding of Yorkshire,UKE12,0.806,0.869,0.795,0.557,3
UK: North and North East Lincolnshire,UKE13,0.821,1.0,0.791,0.649,4
UK: Bradford,UKE41,0.821,0.257,0.797,0.168,1
UK: Leeds,UKE42,0.821,0.536,0.797,0.351,2
UK: Calderdale and Kirklees,UKE44,0.807,0.252,0.797,0.162,1
UK: Cornwall and Isles of Scilly,UKK30,0.821,0.213,0.659,0.115,1
UK: Gwynedd,UKL12,0.821,0.173,0.904,0.128,1
UK: Ards and North Down,UKN09,0.824,0.319,0.842,0.221,2
UK: Derry City and Strabane,UKN0A,0.807,0.254,0.873,0.179,1
UK: Glasgow City,UKM82,0.807,0.139,0.561,0.063,1
UK: Suffolk,UKH14,0.803,0.769,0.647,0.4,2
UK: Norwich and East Norfolk,UKH15,0.811,0.865,0.653,0.458,3
UK: Hartlepool and Stockton-on-Tees,UKC11,0.824,0.981,0.874,0.706,4
UK: South Teesside,UKC12,0.824,0.334,0.875,0.241,2
UK: Darlington,UKC13,0.807,1.0,0.871,0.703,4
UK: Mid Lancashire,UKD45,0.807,0.369,0.779,0.232,2
UK: Shetland Islands,UKM66,0.807,0.023,0.628,0.012,1
UK: Angus and Dundee City,UKM71,0.824,0.391,0.56,0.18,1
UK: Clackmannanshire and Fife,UKM72,0.824,0.451,0.559,0.208,2
UK: Birmingham,UKG31,0.827,0.354,0.754,0.221,2
UK: Stoke-on-Trent,UKG23,0.825,0.284,0.751,0.176,1
UK: East Lancashire,UKD46,0.809,0.34,0.75,0.206,2
UK: Chorley and West Lancashire,UKD47,0.851,0.562,0.749,0.358,2
UK: Warrington,UKD61,0.813,0.965,0.749,0.588,3
"UK: Barnsley, Doncaster and Rotherham",UKE31,0.82,0.632,0.793,0.411,3
UK: Sheffield,UKE32,0.828,0.348,0.788,0.227,2
UK: Essex Haven Gateway,UKH34,0.816,0.822,0.655,0.439,3
UK: West Essex,UKH35,0.805,1.0,0.422,0.34,2
UK: West Surrey,UKJ25,0.843,0.967,0.01,0.008,1
UK: Cambridgeshire CC,UKH12,0.809,0.904,0.649,0.475,3
UK: Luton,UKH21,0.804,1.0,0.649,0.522,3
UK: Heart of Essex,UKH36,0.785,0.887,0.537,0.374,2
UK: Essex Thames Gateway,UKH37,0.725,0.781,0.65,0.368,2
UK: Camden and City of London,UKI31,0.81,1.0,0.01,0.008,1
UK: Westminster,UKI32,0.782,1.0,0.01,0.008,1
UK: Kensington & Chelsea and Hammersmith & Fulham,UKI33,0.742,1.0,0.01,0.007,1
UK: Wandsworth,UKI34,0.816,1.0,0.01,0.008,1
UK: Hackney and Newham,UKI41,0.742,1.0,0.01,0.007,1
UK: Tower Hamlets,UKI42,0.816,1.0,0.01,0.008,1
UK: Berkshire,UKJ11,0.76,0.995,0.01,0.008,1
UK: Lisburn and Castlereagh,UKN0E,0.755,0.4,0.841,0.254,2
UK: Mid and East Antrim,UKN0F,0.806,0.377,0.84,0.255,2
UK: North and West Norfolk,UKH16,0.778,0.767,0.656,0.391,2
UK: Breckland and South Norfolk,UKH17,0.723,0.85,0.648,0.398,2
UK: West Sussex (North East),UKJ28,0.723,0.625,0.01,0.005,1
UK: Portsmouth,UKJ31,0.711,0.533,0.01,0.004,1
UK: Southampton,UKJ32,0.58,0.529,0.01,0.003,1
UK: Isle of Wight,UKJ34,0.634,0.5,0.033,0.01,1
UK: South Hampshire,UKJ35,0.585,0.516,0.01,0.003,1
UK: Mid Ulster,UKN0B,0.579,0.543,0.843,0.265,2
UK: Walsall,UKG38,0.768,0.359,0.753,0.208,2
UK: Wolverhampton,UKG39,0.74,1.0,0.753,0.557,3
UK: Peterborough,UKH11,0.762,1.0,0.658,0.501,3
UK: Causeway Coast and Glens,UKN0C,0.741,0.288,0.839,0.179,1
UK: Antrim and Newtownabbey,UKN0D,0.699,0.333,0.841,0.196,1
UK: South Ayrshire,UKM94,0.702,0.079,0.558,0.031,1
UK: South Lanarkshire,UKM95,0.714,0.165,0.56,0.066,1
UK: Belfast,UKN06,0.687,0.28,0.842,0.162,1
"UK: Inverclyde, East Renfrewshire and Renfrewshire",UKM83,0.678,0.104,0.56,0.039,1
UK: North Lanarkshire,UKM84,0.684,0.174,0.56,0.067,1
UK: Cheshire West and Chester,UKD63,0.694,0.326,0.775,0.175,1
UK: East Merseyside,UKD71,0.713,0.779,0.75,0.417,3
UK: Liverpool,UKD72,0.671,0.454,0.75,0.228,2
UK: East Surrey,UKJ26,0.651,0.861,0.01,0.006,1
UK: West Sussex (South West),UKJ27,0.658,0.568,0.01,0.004,1
UK: Wiltshire CC,UKK15,0.713,0.564,0.614,0.247,2
UK: East Lothian and Midlothian,UKM73,0.701,0.466,0.562,0.184,1
"UK: Edinburgh, City of",UKM75,0.699,0.392,0.561,0.154,1
UK: Falkirk,UKM76,0.707,0.348,0.558,0.137,1
UK: West Lothian,UKM78,0.736,0.39,0.559,0.16,1
"UK: Bournemouth, Christchurch and Poole",UKK24,0.701,0.351,0.539,0.133,1
UK: Somerset,UKK23,0.708,0.398,0.658,0.185,1
UK: Isle of Anglesey,UKL11,0.661,0.156,0.895,0.092,1
UK: Solihull,UKG32,0.675,0.677,0.753,0.344,2
"UK: East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,0.678,0.077,0.56,0.029,1
UK: Fermanagh and Omagh,UKN0G,0.643,0.428,0.871,0.24,2
UK: Shropshire CC,UKG22,0.732,0.655,0.757,0.363,2
UK: Coventry,UKG33,0.608,1.0,0.751,0.457,3
UK: Dudley,UKG36,0.576,0.459,0.753,0.199,1
UK: Haringey and Islington,UKI43,0.792,1.0,0.01,0.008,1
UK: Dorset,UKK25,0.808,0.34,0.635,0.174,1
UK: Lewisham and Southwark,UKI44,0.807,1.0,0.01,0.008,1
UK: Lambeth,UKI45,0.807,1.0,0.01,0.008,1
UK: Bexley and Greenwich,UKI51,0.814,1.0,0.01,0.008,1
UK: Barking & Dagenham and Havering,UKI52,0.829,1.0,0.053,0.044,1
UK: Redbridge and Waltham Forest,UKI53,0.801,1.0,0.08,0.064,1
UK: East Kent,UKJ44,0.809,0.647,0.01,0.005,1
UK: Mid Kent,UKJ45,0.767,0.726,0.01,0.006,1
