"NUTS_ID","cropland","waterstress","population"
"AL01",0.399310709968423,0.136339682895135,0.0102921015519746
"AL02",0.523410648328547,0.200885074468975,0.023460786099807
"AL03",0.55921352367461,0.217843040209025,0.00882113574170593
"AT11",0.771002595846582,0.00394730948496361,0.0147138384851974
"AT12",0.59227743101001,0.0213729563548966,0.0218797764459665
"AT13",0.278951768549092,0.00767396484182232,0.215762338833781
"AT21",0.143191999014627,0.0150210145875038,0.00738877568619483
"AT22",0.229343433981501,0.0123336897499145,0.00892102471238515
"AT31",0.464624285547231,0.00876257656240393,0.0141714180443409
"AT32",0.0204551133312573,0.0101529540764825,0.00871952708278687
"AT33",0.0191063329575501,0.0170481733131164,0.0059875488949025
"AT34",0.0719353015533812,0.0238554154061655,0.0178468127689885
"BE10",0.179170559874611,0.508073151843698,0.30466192607664
"BE21",0.857061027550159,0.419684742322396,0.0817270726621788
"BE22",0.811387867897511,0.40357699021283,0.0772370543586518
"BE23",1,0.53780464436006,0.0770352341939286
"BE24",1,0.508073117378515,0.124245775062593
"BE25",1,0.501436439043693,0.0644267875402407
"BE31",1,0.48297124115089,0.13327539414753
"BE32",1,0.446542526081258,0.0838859659578729
"BE33",0.210522632141572,0.221093078727202,0.0490538841168836
"BE34",0.117643534387492,0.19318219117826,0.00911505659001005
"BE35",0.463674662680364,0.231843744922809,0.0259291058023512
"BG31",0.702846500713876,0.0101245602532706,0.00444212294044676
"BG32",0.669236826095881,0.00797392434248498,0.00694173908510918
"BG33",0.86279464934519,0.0046151206135904,0.00604253354694148
"BG34",0.73263867903256,0.0396108183266416,0.00460647904085217
"BG41",0.274129946341588,0.0841271996647345,0.00893511202833687
"BG42",0.550033648331199,0.13357859902672,0.00625073189571609
"CH01",0.259111026164514,0.021937792871317,0.0195695724324677
"CH02",0.339116237843492,0.0150399991752016,0.0256273824285885
"CH03",0.711023464102812,0.0159396761107201,0.0770960905994382
"CH04",0.667802533020862,0.0161389178291255,0.0844739482502337
"CH05",0.10638605708239,0.0177233300447271,0.0162121310074953
"CH06",0.138703416680231,0.0098278731241305,0.0391853353845943
"CH07",0.0802326255413132,0.019060083015248,0.030878450723811
"CY00",0.414269373566146,0.656915750289865,0.0101381103181875
"CZ01",0.290607898563112,0.015747668049929,0.102559126448204
"CZ02",0.962335527462961,0.0347487588805973,0.0258109051954805
"CZ03",0.575424562736074,0.0359415278734339,0.00823611494591123
"CZ04",0.5226191880595,0.0562693686727024,0.0203890036284131
"CZ05",0.727434008597689,0.0508034516122247,0.0168766694922354
"CZ06",0.848598036785207,0.0724752887414628,0.0136984111205166
"CZ07",0.549946308995961,0.0704959909056072,0.0174380542291764
"CZ08",0.208258572494576,0.0690470058975796,0.034606203101364
"DE11",0.511016974406012,0.125001786332615,0.0379326092792558
"DE12",0.27244983976393,0.0797722642242877,0.0426086182201952
"DE13",0.254204016781117,0.0356662378624897,0.0280226766316616
"DE14",0.412340666374765,0.0778303470073522,0.0224778689431762
"DE21",0.284959692668694,0.020625843962573,0.0247284785907651
"DE22",0.408446885868896,0.0121446137759333,0.0115259934120539
"DE23",0.356603278359349,0.0538500363571225,0.0142087177491849
"DE24",0.547306270328591,0.123235071214484,0.0169001279261187
"DE25",0.704931039431664,0.123227817770743,0.0246631866297462
"DE26",0.516953402254368,0.130759496789848,0.0169279249903925
"DE27",0.255711097372577,0.0449251944182292,0.0194656560695587
"DE30",0.0449892461119062,0.179083549747238,0.148388693417708
"DE40",0.588150953748614,0.128763580558893,0.02196370762079
"DE50",0.337578748913612,0.0697668211970569,0.105183797746991
"DE60",0.37349531011999,0.0539704219392792,0.100732245566815
"DE71",0.184936292541317,0.0780821414919556,0.0582440368485405
"DE72",0.298967046400273,0.0393596650651108,0.0295236482789283
"DE73",0.680965491146261,0.0870758549262865,0.0150831893223838
"DE80",1,0.054344135083265,0.00656228700990473
"DE91",0.982133241749329,0.0916814818389161,0.0201305519837086
"DE92",1,0.0895106555582016,0.0254061115795273
"DE93",0.77161758859146,0.057626553840413,0.020092572283543
"DE94",0.997907762284613,0.073075820015889,0.0158668980342364
"DEA1",0.222635512051349,0.0796823641874772,0.128433536019161
"DEA2",0.197699498018035,0.082691615853504,0.0859811674103097
"DEA3",0.841603384338435,0.0366181522267014,0.0633449845290044
"DEA4",1,0.0674367524032728,0.0309025898407908
"DEA5",0.159664862410065,0.0238190111266966,0.0532998655559055
"DEB1",0.356699319970284,0.0266929887337884,0.0237632607266049
"DEB2",0.342258082606231,0.0910575868100293,0.0141437391887144
"DEB3",0.266067598813154,0.0211924999096438,0.0384325751328457
"DEC0",0.276860901019954,0.0930617957694286,0.0459579980947146
"DED2",0.621598225219478,0.0835881436456871,0.0214434664487277
"DED4",0.646459524912477,0.0768619880513199,0.0268836606056851
"DED5",0.896155931673582,0.0833681918118963,0.0266198864994234
"DEE0",0.841733267379041,0.0861907894776328,0.0137105574030224
"DEF0",0.904763031959709,0.0480174040290423,0.024156322864801
"DEG0",0.746806945192706,0.118672288626605,0.0156219866683521
"DK01",1,0.027831054791062,0.0659345667527671
"DK02",1,0.0289393428073425,0.0149288677313105
"DK03",1,0.0368294361340076,0.0102067251819651
"DK04",1,0.0304979923150395,0.010261475356052
"DK05",1,0.0134714099821315,0.00658275872097827
"EE00",0.247180349803143,0.0416642837253874,0.00250619533516063
"EL30",0.226985373873627,0.297018327756992,0.0735736447129745
"EL41",0.277591610563808,0.461801674620026,0.00389822057017046
"EL42",0.234653577720665,0.460255483898615,0.00266556998773276
"EL43",0.100671432217543,0.461801698540296,0.00448385266633574
"EL51",0.680256273207291,0.109213790421362,0.00398101023300427
"EL52",0.72508071624091,0.189507554478703,0.00948766047578607
"EL53",0.523532355503452,0.273427868220075,0.00340752865463242
"EL54",0.277780738866474,0.245745311942004,0.00344966831971458
"EL61",0.670719789095946,0.766016900327562,0.00489471040805981
"EL62",0.277444553908345,0.277473838845986,0.00471034255862988
"EL63",0.440619592381927,0.277473811169739,0.00498989729651591
"EL64",0.355520235043927,0.341537965693841,0.00928518817752656
"EL65",0.367604359251602,0.277473827380791,0.00306331520663727
"ES11",0.247720046463807,0.0531417401132406,0.00998361124760357
"ES12",0.130497993608536,0.0626169871327949,0.0102348360691846
"ES13",0.11397759746852,0.0862319499061861,0.0137993105585374
"ES21",0.151575366024918,0.0859970835402849,0.0323039440306549
"ES22",0.646404467105688,0.11978013588131,0.0112163768437328
"ES23",0.36161303825275,0.13747866156142,0.00871208339236021
"ES24",0.733685767333683,0.186050731101402,0.00301868343081904
"ES30",0.543009897675772,0.665709417668047,0.0893742484004297
"ES41",0.655745920510779,0.291576968912834,0.00410959868298352
"ES42",0.708633220841831,0.624176028880105,0.00524113939578107
"ES43",0.64780613400064,0.426683185900526,0.00239191021273531
"ES51",0.430361301767054,0.20088709186294,0.0163467862329662
"ES52",0.134729520398074,0.659167797367071,0.0186245521596735
"ES53",0.695976495697042,1,0.013175941319982
"ES61",0.448977047253707,0.564255075903563,0.00840046227744291
"ES62",0.383713203224712,0.954930949359171,0.0113347897395728
"ES63",0.150017199493117,0.0854304543024962,0.221017723725344
"ES64",0.285567387472794,0.0854304543024962,0.0857847764270457
"ES70",0.0584546640103072,0,0.00959479960759274
"FI19",0.371454267298928,0.0787876672397417,0.00211369693898745
"FI1B",0.718625441051408,0.0473197316436768,0.0189431432307868
"FI1C",0.506134698082093,0.0346388332356861,0.00387424720761575
"FI1D",0.0821256839921888,0.0113799700107868,0.000549688452808104
"FI20",0.0748763736864435,0.0425441058854025,0.00167903690399935
"FR10",0.944543160266149,0.0656285127857028,0.13188783394784
"FRB0",0.997913742817868,0.0434876568245582,0.00841151324641905
"FRC1",0.72332818051772,0.0782510521487048,0.00646692100168471
"FRC2",0.344706918042165,0.0343604621632889,0.0107912792121923
"FRD1",0.628116533677929,0.0799853639618013,0.00827072735817814
"FRD2",1,0.0770314719495918,0.0162027698340414
"FRE1",1,0.418059167724261,0.0404088060165343
"FRE2",1,0.149938991647265,0.0175289336456514
"FRF1",0.314268866377934,0.0283093910114669,0.031256061046995
"FRF2",1,0.128632135930944,0.00656394202108641
"FRF3",0.49001469988031,0.130197154402518,0.0157864824203494
"FRG0",1,0.129288367677871,0.0114790372274461
"FRH0",1,0.0496141395818551,0.00999293428612113
"FRI1",0.618604331028372,0.0640664684217837,0.00819136443723988
"FRI2",0.349714600101013,0.0410830948586969,0.00479376263461976
"FRI3",1,0.169174727934535,0.00720434090763
"FRJ1",0.262757670817182,0.0530155609898997,0.0103580836791969
"FRJ2",0.85911069767131,0.0842722554332168,0.00717282740954612
