0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.000110929,7.33e-05,9.86e-05,9.04e-05,0.0001552,6.71e-05,7.47e-05,6.01e-05,8.86e-05,0.000104263,0.000263479,0.000147488,0.000132265,9.19e-05,0.000119727,0.000119468,8.93e-05,0.000130282,0.000123472,0.000140293,0.000110688,6.27e-05,7.12e-05,9.97e-05,9.53e-05
9.62e-05,6.23e-05,0.000108749,0.000100113,0.000134838,8.01e-05,8e-05,6.88e-05,8.77e-05,8.4e-05,0.000295286,0.000178918,0.000140797,9.52e-05,0.000122697,0.000151381,9.53e-05,0.000185857,0.000143611,0.000164861,0.000103549,6.76e-05,6.35e-05,9.68e-05,0.000114662
0.000128504,7.55e-05,9.63e-05,0.000120126,0.000167761,8.64e-05,9.03e-05,6.34e-05,0.000114729,0.00012311,0.000330023,0.000194568,0.000159729,0.000110397,0.000146338,0.000172412,0.00013141,0.000156551,0.000145095,0.000154856,0.000118316,8.53e-05,8.4e-05,0.000105883,0.000131297
0.000147726,9.31e-05,0.00021936,0.000198517,0.000197665,0.000103159,9.14e-05,6.97e-05,0.000117396,0.000143882,0.000269296,0.000235186,0.000150512,0.000129791,0.000229589,0.000161797,0.000120243,0.000184641,0.000158009,0.000172586,0.000206581,0.000136974,8e-05,0.000114902,0.000147381
0.00020037,0.000123831,0.000155602,0.000157877,0.000260304,0.000183882,0.000159371,0.000122939,0.000220567,0.000235367,0.000317576,0.000331808,0.000202355,0.000173679,0.000206533,0.000215971,0.000172367,0.000273362,0.000242588,0.000256913,0.000152418,0.000111752,0.000165278,0.000209939,0.000182055
0.000187086,0.000132783,0.000165076,0.000150539,0.000273732,0.000183168,0.000170575,0.000112607,0.000206108,0.000208547,0.000339117,0.000302286,0.0002258,0.000174957,0.000200443,0.000208646,0.000177638,0.000242339,0.000247812,0.00022822,0.000168599,0.000101284,0.000139286,0.000209149,0.000194648
0.000155838,0.000191249,0.000113701,0.000132429,0.000264256,0.000142503,0.000138021,0.000115026,0.000211589,0.000192271,0.000216915,0.000273038,0.0001831,0.00013936,0.000159403,0.000177572,0.000149465,0.0001989,0.000192682,0.000174917,0.000125276,9.25e-05,0.000134564,0.000182815,0.000181609
0.000155804,9.09e-05,0.000147256,0.000114372,0.000209822,0.000107599,9.21e-05,8.28e-05,0.000141285,0.000147699,0.000230085,0.000238549,0.00013964,0.00012627,0.000141754,0.000144506,0.000103908,0.000214608,0.000180986,0.000196001,0.000148508,9.7e-05,0.000106396,0.000124388,0.000133993
0.000126412,8.24e-05,0.000107135,0.000134875,0.000186767,0.00010762,0.000105875,9.44e-05,0.000133976,0.000152662,0.000355063,0.000202532,0.000136204,0.000109254,0.000169341,0.000204663,0.000113635,0.000188808,0.000178037,0.000170745,0.000110407,8.22e-05,9.63e-05,0.000156369,0.000119126
0.000133169,8.22e-05,0.000144353,0.000110864,0.000164407,8.37e-05,9.88e-05,9.35e-05,0.000119134,0.000122679,0.000330352,0.000245248,0.000161652,0.000106572,0.000130964,0.00016426,0.000120775,0.000167733,0.000147534,0.000196235,0.000150768,0.000101758,9.01e-05,0.00014016,0.000149613
0.000113539,8.95e-05,0.000126252,0.00014726,0.000145893,0.000105658,0.000115299,9.58e-05,0.000116353,0.000130824,0.000418145,0.000215582,0.000149133,0.000112263,0.000153213,0.000180479,9.06e-05,0.000162933,0.000158312,0.000163616,0.000134818,0.000119979,9.04e-05,0.000141864,0.000130032
0.000124295,7.7e-05,0.000109138,0.000112461,0.000180362,9.16e-05,0.000110458,8.39e-05,0.000115773,0.000115693,0.000299052,0.000165081,0.000124318,0.000104922,0.000114253,0.000137179,9.92e-05,0.000193863,0.000169844,0.00015834,0.000118968,7.98e-05,6.98e-05,0.000119388,0.000110517
