0,1,2,3,4,5,6,7,8,9,10
3.83e-05,3.83e-05,0.000132179,5.63e-05,7.53e-05,0.000279425,0.000196593,0.00034417,0.000338907,0.000300008,0.000402463
3e-05,3e-05,0.000102003,4.86e-05,5.53e-05,0.00025576,0.000188596,0.000343835,0.000338314,0.000321414,0.000388618
3.13e-05,3.13e-05,0.000107933,2.88e-05,6.07e-05,0.000232052,0.000154881,0.00032113,0.000319858,0.000273565,0.000328892
2.83e-05,2.83e-05,8.88e-05,2.68e-05,5.77e-05,0.000183169,0.000122664,0.000186889,0.000216754,0.000184035,0.000261822
3.22e-05,3.22e-05,8.89e-05,3.84e-05,6.25e-05,0.000197967,0.000151195,0.000214662,0.000272452,0.000234836,0.000297948
5.3e-05,5.3e-05,0.000173904,5.13e-05,0.000100781,0.000305398,0.00018138,0.000319439,0.000375107,0.000326236,0.000401247
5.28e-05,5.28e-05,0.000158396,5.16e-05,9.93e-05,0.000263205,0.000199684,0.000354668,0.000304075,0.000293868,0.000319597
6.6e-05,6.6e-05,0.000189276,5.95e-05,0.000124278,0.000343774,0.000227994,0.000448052,0.00038728,0.000404792,0.000397765
5.81e-05,5.81e-05,0.000155162,5.94e-05,0.000120686,0.00037778,0.000227227,0.000429278,0.000465444,0.000371218,0.000477173
4.79e-05,4.79e-05,0.000167179,5e-05,0.000103533,0.000304143,0.000226101,0.000536065,0.000485319,0.000339575,0.000546465
5.47e-05,5.47e-05,0.000163732,6.36e-05,0.000102362,0.000341321,0.000240315,0.000405139,0.000425493,0.000365682,0.00047409
5.08e-05,5.08e-05,0.000167738,6.82e-05,0.000110701,0.000378004,0.000219895,0.000450618,0.000435895,0.000364664,0.000456398
