0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.000178599,0.000170898,0.000126547,0.000123724,0.000129535,0.000114549,0.000105777,0.000103029,0.000170956,0.000176986,0.000115194,0.000117927,0.000172631,0.000172887,0.00014723,0.000196911,0.000178241,0.000175642,0.000128255,0.000215733,4.76e-05,0.000126122,0.000139713,0.000161427,0.000191069,0.000146983,0.000177641,0.000236503,0.000234605,0.000190698,0.000237892,0.000222537,0.000152674,0.00021644,0.00020869,0.000181313,0.000150674,0.000154467,0.000219934,0.000106686,0.000143826,0.000167989
0.000171326,0.000187674,0.00015079,0.000130011,0.000141473,0.000128291,0.000123614,0.000106734,0.000143764,0.000207796,0.000115972,0.000138338,0.000175916,0.00014964,0.00015138,0.000205931,0.000112003,0.000207703,0.000153129,0.000189008,2.25e-05,0.00010028,0.000185132,0.000182313,0.00026237,0.000159187,0.000187902,0.000222109,0.000237765,0.00016649,0.00020396,0.000213159,0.000175003,0.000185369,0.000202857,0.00022162,0.000138318,0.000152433,0.0001662,7.86e-05,0.000129917,0.000168376
0.000182939,0.000250602,0.000207885,0.00021716,0.000189244,0.000194966,0.000167171,0.000147942,0.000159867,0.000255051,0.000167176,0.000133334,0.000247523,0.000151205,0.000172727,0.000179519,0.000126399,0.000239457,0.000123883,0.000161982,2.35e-05,9.15e-05,0.000153743,0.000175323,0.000206268,0.000138191,0.000193131,0.000256068,0.00023286,0.000204991,0.000233025,0.000275962,0.00017628,0.000242881,0.000256545,0.000187064,0.000175771,0.000186404,0.000221737,0.000115919,0.000178671,0.000201151
0.000262822,0.000228112,0.000173965,0.000184523,0.000231712,0.000225355,0.000138313,0.000110635,0.000181749,0.000287967,0.00013768,9.81e-05,0.000212449,0.000191788,0.00013092,0.000239333,0.000102557,0.000211116,0.000159625,0.000141883,1.84e-05,8.78e-05,0.000169555,0.000196276,0.000211768,0.000151752,0.000219949,0.000285296,0.000270473,0.000230458,0.000296215,0.000250546,0.00021169,0.000254525,0.00022228,0.000156212,0.000164626,0.00024352,0.000292082,0.000159865,0.000232718,0.000252695
0.000328404,0.000305485,0.000216523,0.000211125,0.000248976,0.000264877,0.000162576,0.000186704,0.000239197,0.000259982,0.000178046,0.000150735,0.000245179,0.000238368,0.000152201,0.000235297,0.000112746,0.000257316,0.000206349,0.000227249,2.34e-05,9.18e-05,0.000218812,0.000284916,0.000308558,0.000205186,0.000286219,0.000379439,0.00040381,0.000310048,0.000380675,0.000318007,0.000313974,0.000314766,0.000342918,0.000239892,0.000204243,0.00030229,0.000365264,0.00020465,0.000347224,0.000288354
0.000365635,0.000385421,0.000320477,0.000303054,0.000377398,0.000357778,0.000231215,0.000161902,0.000281072,0.000211774,0.000195145,0.00012588,0.000304912,0.00026407,0.000188394,0.000316276,0.000145158,0.000251946,0.000230256,0.00023058,2.76e-05,0.000123573,0.00022859,0.000251573,0.000305726,0.000215837,0.000276896,0.000420088,0.0004425,0.000352652,0.000450933,0.000374445,0.000428036,0.000391179,0.000443699,0.000304007,0.00023721,0.000360366,0.000451064,0.000244661,0.00043072,0.000402534
0.000320997,0.000353269,0.000305059,0.00027554,0.000307672,0.000320829,0.000185017,0.000148747,0.000260645,0.000292061,0.000199633,0.000112469,0.000248278,0.000239282,0.000196242,0.000274219,0.000154738,0.000250623,0.000208476,0.000241609,2.82e-05,0.000129951,0.000222165,0.000244681,0.000310619,0.000201525,0.00025282,0.000339717,0.000365692,0.000310282,0.000340145,0.000323429,0.000326258,0.000330928,0.00034525,0.000287722,0.000228645,0.000307281,0.000397291,0.000208813,0.000347075,0.000364976
0.000335749,0.000264414,0.000197977,0.000148934,0.000246775,0.000296001,0.00013586,0.00011764,0.000215814,0.000183953,0.000139642,9.7e-05,0.000211858,0.000221704,0.000160311,0.000257379,0.00012985,0.000197295,0.000165763,0.000173115,2.21e-05,9.4e-05,0.000191468,0.000249764,0.000270855,0.000162845,0.000263908,0.00028466,0.00031605,0.000330301,0.000305178,0.000273301,0.000364913,0.000369319,0.000364359,0.000266363,0.000221454,0.000292681,0.000268479,0.000182948,0.000321212,0.000346936
0.000211797,0.000225035,0.000235082,0.000205746,0.000204505,0.000183498,0.000160879,0.000113139,0.000161236,0.000284462,0.000166551,0.000127626,0.000223636,0.000175402,0.000205586,0.000215545,0.000147331,0.000279493,0.000126351,0.000184014,2.69e-05,0.000108423,0.000154029,0.000209017,0.000228819,0.000147841,0.000187088,0.000280187,0.000288373,0.000201712,0.000286674,0.00025301,0.000242883,0.000265445,0.000271622,0.000209405,0.000156407,0.000207973,0.000181001,0.000105043,0.000208013,0.000240979
0.000197266,0.00018149,0.000237814,0.000224258,0.000229674,0.000198181,0.000200318,0.000109139,0.000150985,0.000175675,0.000151637,0.000125104,0.000154246,0.000136295,0.000121995,0.000179735,9.56e-05,0.000156411,0.000130569,0.00014826,2.22e-05,8.69e-05,0.000141028,0.000169704,0.000215225,0.000114212,0.000156968,0.00025751,0.000260934,0.000162661,0.000236461,0.000254733,0.000214093,0.000238623,0.000221886,0.00019295,0.00015513,0.0001766,0.00020092,0.000110355,0.000169867,0.000209157
0.000170632,0.000182112,9.78e-05,0.000131537,0.000136018,0.000147633,9.99e-05,9.84e-05,0.000140325,0.000218935,9.04e-05,0.00013719,0.00018049,0.00015123,0.000144149,0.000150526,8.38e-05,0.00014715,0.000133654,0.000165555,2.03e-05,8.29e-05,0.000177019,0.000226667,0.000223044,0.00014428,0.000172714,0.000223078,0.000277375,0.000197149,0.000214001,0.000223192,0.00019138,0.000212198,0.0002276,0.000179429,0.000148798,0.000160649,0.000211674,0.000121992,0.000158879,0.000186183
0.000170109,0.000202546,0.000119862,0.000175812,0.000114878,0.000134706,0.000148419,0.000123251,0.000172978,0.000278663,0.00015035,0.000132118,0.000192733,0.000157737,0.000171923,0.000181162,0.000129118,0.000237629,0.000117882,0.000165574,2.64e-05,8.49e-05,0.000198893,0.000207518,0.000272925,0.000138191,0.000186384,0.000278527,0.000283996,0.000211434,0.000263083,0.000239258,0.000234433,0.000266234,0.000240761,0.000198947,0.000180469,0.000192288,0.00020161,0.000102509,0.000148448,0.000184506
