0,1,2,3,4,5,6,7
0.000133612,0.000131834,0.000159997,0.000123106,0.000139261,0.000112734,0.000112924,7.44e-05
0.000183964,0.000150081,0.00017613,0.000221068,0.00016806,0.000101224,0.000132818,8.52e-05
0.000158758,0.000127783,0.000142585,0.000128624,0.000123322,9.07e-05,0.000121175,6.86e-05
0.000245025,0.000174505,0.000185219,0.000141587,0.000145539,0.000110328,0.000199016,0.000134087
0.000179115,0.000174752,0.000157136,0.000149477,0.000146321,0.00010733,0.000186153,9.74e-05
0.000146074,0.000160428,0.000110408,0.000126887,0.000101075,8.81e-05,0.000171279,9.21e-05
0.000118614,0.000129835,9.87e-05,0.000110081,8.35e-05,8.03e-05,9.9e-05,6.46e-05
0.000101389,0.000102746,9.88e-05,7.67e-05,8.23e-05,8.5e-05,0.000127551,6.63e-05
0.000181162,0.000172141,0.000171399,0.000177148,0.000165272,0.000115639,0.000154874,9.45e-05
0.000254541,0.000178013,0.000225273,0.000203699,0.000167215,0.000137745,0.000188452,0.000112975
0.000293966,0.000193756,0.00027232,0.000187151,0.000234181,0.000181385,0.000156582,0.000116594
0.000255608,0.000188559,0.000219946,0.000200742,0.000169555,0.000133463,0.0001569,9.33e-05
