0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.000305047,0.000278805,0.000232354,0.000310899,0.00033697,0.000460309,0.000176611,0.000332697,0.000440369,0.000348654,0.000146564,0.000232271,0.00044229,0.000472685,0.000976099,0.000646117,0.000681212,0.000589115,0.001841188,0.001693103,0.002567589
0.000226926,0.000181615,0.000215452,0.000325865,0.000354981,0.000292794,0.000185324,0.000406025,0.000411448,0.000420993,0.000121759,0.000221329,0.000416751,0.000426858,0.00096284,0.000589304,0.00069667,0.000566155,0.001394328,0.001412635,0.002041473
0.000215483,0.000202684,0.000168403,0.000229493,0.000258303,0.000369933,0.0001737,0.000244357,0.000314326,0.000233993,0.000109773,0.000145835,0.000337568,0.000357497,0.000713326,0.000503137,0.000547831,0.000601912,0.001542485,0.001525105,0.002218089
0.000271328,0.000182753,0.000224958,0.000327117,0.000313295,0.000454197,0.000186376,0.000296998,0.000278456,0.000280041,8.94e-05,0.000139547,0.000252374,0.000271973,0.000718266,0.000476148,0.000677715,0.000560277,0.001255692,0.001042003,0.001732128
0.000203683,0.000187124,0.000203094,0.000301801,0.000289178,0.000403724,0.000187264,0.000280908,0.000264285,0.000360066,8.67e-05,0.000160623,0.000290757,0.000235341,0.000521815,0.000514549,0.000685004,0.000459534,0.001193525,0.001127002,0.001972483
0.000309414,0.00030594,0.000283787,0.000455054,0.000445904,0.000587855,0.000308301,0.000449273,0.000427538,0.000462544,0.00010952,0.000228291,0.000457829,0.00041487,0.000997003,0.000615871,0.0010178,0.000854019,0.00126992,0.001555991,0.002445594
0.000346281,0.000364645,0.000321264,0.000463745,0.000497157,0.000763036,0.000288446,0.000439515,0.000620465,0.000495991,0.000160909,0.000243766,0.000617168,0.00040486,0.000989235,0.000838256,0.001211543,0.001133082,0.002152155,0.002035017,0.003712968
0.000374619,0.000350319,0.000318764,0.000398352,0.000499113,0.000726595,0.000283794,0.000475463,0.000435226,0.000470441,0.000178255,0.000238653,0.000578432,0.000413871,0.001078398,0.000758322,0.000978469,0.001098849,0.002004734,0.002143489,0.003434845
0.000417942,0.000444433,0.000358852,0.0004441,0.000411273,0.000714541,0.000260347,0.00045863,0.000416534,0.000555312,0.000215835,0.000307991,0.000469716,0.000424731,0.001006688,0.000721973,0.001018061,0.000898415,0.001785563,0.002292475,0.002632384
0.00039007,0.000339452,0.000296272,0.000371747,0.000511363,0.000568782,0.000272089,0.000391371,0.000466612,0.000426412,0.000175306,0.00022276,0.000454759,0.000571533,0.001258643,0.000791225,0.000921473,0.000999154,0.001899307,0.001942293,0.003376716
0.000345891,0.000367774,0.00026347,0.000405198,0.000434275,0.000605739,0.000260683,0.000439571,0.000454746,0.000708708,0.000192964,0.000238615,0.00053097,0.00047445,0.001023423,0.000799178,0.000764928,0.000920494,0.001609254,0.001680546,0.002446097
0.000318661,0.00026326,0.000236142,0.000380907,0.000405105,0.000424261,0.000221909,0.000522721,0.000520328,0.000408204,0.000161701,0.000254958,0.000525602,0.000560719,0.00103264,0.000707941,0.000837727,0.000776173,0.00173358,0.001781214,0.002483878
