0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.79e-05,4.54e-05,3.82e-05,0.00011566,8.74e-05,8.75e-05,9.76e-05,8.11e-05,0.00025857,0.000629816,0.000348244,0.000146877,0.000450092,0.000120083,0.000140447,7.46e-05,4.98e-05,0.000139742,6.78e-05
1.41e-05,4.15e-05,2.74e-05,9.46e-05,6.56e-05,6.91e-05,8.06e-05,7.17e-05,0.000203274,0.000500585,0.000293676,0.000132004,0.000339408,0.000102133,0.000132614,6.97e-05,4.63e-05,0.000114195,5.64e-05
2.15e-05,6.48e-05,3.77e-05,0.000118568,9.73e-05,8.88e-05,0.000100797,0.000110982,0.000164194,0.000289059,0.000251685,0.00012668,0.000312201,0.000113293,0.000177992,0.000113348,6.43e-05,0.000129347,8.15e-05
2.18e-05,7.24e-05,3.96e-05,0.000113493,0.000104951,9.5e-05,0.000105502,0.000115082,0.000167057,0.000395893,0.000278696,9.58e-05,0.000299593,9.11e-05,0.000158388,0.000119186,6.26e-05,0.000122938,8.51e-05
2.26e-05,7.05e-05,4.69e-05,0.000122965,0.000118548,0.000117069,0.000124422,0.000125002,0.000166998,0.000330545,0.000248064,0.000145395,0.00035181,0.000102531,0.000138855,0.000121702,7.85e-05,0.000165505,8.62e-05
2.15e-05,6.47e-05,3.96e-05,0.00013955,0.0001071,0.000106207,0.000121369,0.000126946,0.000269466,0.000557815,0.000472516,0.000204279,0.000579636,0.00011925,0.00016249,9.12e-05,6.65e-05,0.000163441,7.34e-05
2.73e-05,8.05e-05,5.17e-05,0.000149545,0.000122743,0.000115338,0.00012612,0.000144443,0.000240173,0.000584133,0.000405969,0.000219848,0.000523081,0.000115634,0.000170276,0.000133482,7.27e-05,0.000181263,0.000106678
2.68e-05,8.17e-05,4.77e-05,0.000170052,0.000124387,0.000133483,0.000128065,0.000133241,0.000369721,0.000726561,0.000582679,0.000288529,0.000702141,0.000109733,0.000147142,0.000129639,6.99e-05,0.00019886,0.000127892
1.95e-05,6.34e-05,4.56e-05,0.000134907,0.00010008,0.00011418,0.000100154,0.000118964,0.000281781,0.000708109,0.000418638,0.000171977,0.000512998,0.000126579,0.000176367,0.000104105,5.78e-05,0.000150783,7.89e-05
1.35e-05,4.65e-05,4.03e-05,0.000140288,7.17e-05,9.34e-05,0.000105341,8.7e-05,0.000340297,0.000789475,0.000471492,0.000197353,0.000479658,0.000112731,0.000122517,6.62e-05,5.34e-05,0.000146862,5.11e-05
2.08e-05,5.68e-05,3.7e-05,0.000119633,8.91e-05,9.55e-05,0.000105993,9.44e-05,0.000259051,0.000598,0.000343122,0.000167335,0.000376207,0.000112254,0.000159563,8.89e-05,6.2e-05,0.000140372,6.98e-05
2.01e-05,5.61e-05,3.41e-05,0.000120018,9.39e-05,9.07e-05,9.36e-05,0.000101284,0.000261634,0.00069141,0.000393584,0.000154385,0.000452648,0.000118272,0.000150404,0.000101271,4.77e-05,0.000142603,8.06e-05
