0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.000136018,0.000137881,6.03e-05,0.000158354,7.05e-05,8.23e-05,9.33e-05,9.1e-05,8.3e-05,0.000103419,0.000116115,0.000160188,7.27e-05,0.000179934,0.000102728,0.000114305,0.000123767,0.00017274,0.000117967,8.65e-05
0.000144314,0.0001355,6.45e-05,0.000174332,6.84e-05,9.71e-05,0.000100033,0.000101596,8.89e-05,0.000140538,9.86e-05,0.000176679,8.39e-05,0.000187686,0.000114403,0.000133255,0.000131324,0.000175286,0.000111676,9.37e-05
0.000155077,0.00013005,7.18e-05,0.000179133,7.83e-05,9.38e-05,0.000102827,0.000119162,0.000106192,0.000129395,0.000109711,0.000164497,6.47e-05,0.000188455,0.000106412,0.000125332,0.000149748,0.000148905,0.000151184,0.000115687
0.000165951,0.000141767,6.47e-05,0.000196654,8.43e-05,0.000106325,0.000106127,0.000137074,0.000104791,0.000128419,0.000128315,0.000201112,9.27e-05,0.000183229,0.000113095,0.000143631,0.000171238,0.000191132,0.000139266,9.48e-05
0.000277955,0.000240469,0.000121341,0.000319949,0.000132228,0.000179808,0.000168375,0.0002157,0.000168357,0.000165635,0.000208861,0.000291825,0.000133152,0.000362783,0.000207346,0.000272092,0.000223317,0.000326028,0.000208522,0.000171524
0.000275948,0.000248987,0.00012165,0.000318132,0.000148559,0.000168013,0.000188299,0.000230652,0.000194813,0.000209823,0.000185819,0.000268729,0.000163315,0.000344739,0.000222478,0.000220268,0.00024629,0.000340083,0.0002458,0.000176792
0.000270518,0.000245292,0.000118098,0.000337907,0.000145533,0.000142473,0.000181455,0.00022466,0.000201403,0.000206137,0.000152483,0.000270504,0.000128354,0.000347993,0.000203238,0.000227642,0.000254277,0.000310765,0.000204083,0.000156558
0.000233465,0.000198234,0.000110583,0.000271601,0.000145758,0.000184341,0.000175981,0.000215211,0.000210012,0.00020069,0.000174854,0.000286806,0.00013471,0.000296112,0.000161089,0.000211012,0.000204376,0.000235618,0.000194876,0.000125796
0.000238159,0.00019385,9.71e-05,0.000294859,0.000128895,0.000160038,0.000165213,0.000207812,0.000201642,0.00023949,0.00017956,0.000309758,0.000148925,0.000270591,0.000146463,0.000176845,0.000176667,0.000278238,0.000166737,0.000147192
0.000191259,0.000146777,5.04e-05,0.000170955,8.6e-05,9.57e-05,0.000115721,0.000139139,0.000131244,0.000162901,0.000152494,0.000215821,0.000108141,0.000216064,0.000128796,0.000150219,0.000149629,0.000236355,0.000146499,0.000113339
0.000204156,0.000183488,9.64e-05,0.000214838,0.000123466,0.000165323,0.000156615,0.000195908,0.0001633,0.000171197,0.000163423,0.000275097,0.00011735,0.000252659,0.000153015,0.000187705,0.000141976,0.000244108,0.000160379,0.000121888
0.00017512,0.000125925,6.13e-05,0.000167845,7.37e-05,9.58e-05,0.000114161,0.000120131,0.000107447,0.00012522,0.000115504,0.000194511,8.5e-05,0.000194116,0.000102632,0.000121646,0.000146553,0.000187979,0.000161303,0.000104325
