0,1,2,3,4,5,6,7
0.000219593,0.000337236,0.000195496,7.73e-05,0.000128952,0.000176886,0.000147481,0.000434418
0.000199438,0.000370274,0.000215368,9.45e-05,0.000151911,0.000204613,0.00018848,0.00040275
0.000210567,0.000347751,0.000185497,9.4e-05,0.00014509,0.00017562,0.000170394,0.000410135
0.00023198,0.000365193,0.000192747,8.53e-05,0.000136771,0.000168001,0.000155717,0.000393116
0.000340675,0.000514844,0.000352471,0.000141539,0.000236047,0.000284044,0.000292963,0.000547329
0.00035792,0.000569789,0.000330449,0.000138822,0.00022562,0.000259118,0.000258929,0.000466919
0.000292691,0.000676523,0.000325856,0.000125794,0.000221715,0.000268127,0.000253403,0.000565317
0.000271328,0.00044271,0.000299186,0.000134094,0.000198001,0.000238795,0.000248297,0.000426629
0.000261761,0.000446419,0.000242596,0.000144837,0.000225255,0.000205325,0.000219033,0.000437722
0.000236105,0.000378735,0.000214671,8.89e-05,0.000132738,0.000186114,0.000173443,0.00041658
0.000295049,0.000328369,0.000251646,0.000133924,0.000212673,0.000193803,0.000249477,0.000360855
0.000238341,0.000359706,0.000210177,8.13e-05,0.000129441,0.000222129,0.0001619,0.000384618
