0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0.000173023,0.000109654,8.98e-05,8.98e-05,7.33e-05,0.000145713,0.000132478,0.000113497,9.1e-05,0.000170291,0.000133561,0.000116329,0.000112436,0.000141473,0.000191089,0.000202899,0.00017637,0.000155399,0.000159612,0.000282675,0.000121998,0.00011453,7.57e-05,0.000236399,0.000117279,0.00010568,0.000236719,0.0001861,0.000388491,0.000190702,0.000246166,0.000174644,0.000147318,0.000345212,0.000371572,0.000223009,0.000156222,0.000154066,0.000241965,6.14e-05,0.000124546,0.00026288,0.000293186,0.000234077,0.000202494,0.000168542,0.000228545,9.83e-05,8.22e-05,0.000223711,0.000110895,0.000241624,7.37e-05,0.000259991,0.000245896,0.000154987,0.000159554,0.00020415,0.000103707,0.000128616,0.0001142,5.96e-05,0.000256972,0.000151024,0.000220626,0.000145179,0.000144138,0.00015582,0.000125611,0.000228323,0.000197107,0.00014186,0.000106741,9.48e-05,8.92e-05,4.72e-05,9.36e-05,0.000134517,0.00017351,0.000288801,0.000140937,0.000189587,0.000192872,9.56e-05,0.000142413,0.000121512,0.00011253,0.00011692,0.000378695,7.83e-05,8.13e-05,0.000217598,0.000207738,0.000144193,0.000184958,0.000185146,9e-05,0.000101433,9.05e-05,6.98e-05,0.000130277,0.000133203,8.87e-05,0.000193906,6.14e-05,0.000217553,0.000105205
0.000102221,0.000150404,0.000104141,0.000104141,8.53e-05,0.000155167,0.000125852,0.000138141,9.91e-05,0.000189387,0.000169354,0.000120144,9.67e-05,0.000132852,0.000151319,0.000203757,0.000164176,0.000139907,0.000148382,0.000261002,0.000108343,0.000121435,8.05e-05,0.000242994,0.000151352,0.000100836,0.000241994,0.000141478,0.000343765,0.000155075,0.000199739,0.000138127,0.000137511,0.000282127,0.000245284,0.000261382,0.000198049,0.000127075,0.000194167,7.3e-05,0.000132012,0.000279093,0.000294932,0.000259052,0.00022213,0.000196084,0.000278866,0.000119972,0.000128352,0.000209509,0.000108455,0.000194728,0.000125063,0.000242593,0.000195201,0.000103878,0.000136513,0.000186095,8.03e-05,0.000134734,6.92e-05,5.42e-05,0.000159457,0.000119359,0.00021513,0.000127868,0.000116847,0.000164357,0.000136433,0.00019619,0.000263046,0.000164616,0.000140933,0.000155151,0.000135523,5.22e-05,0.000100327,0.000127237,0.000213728,0.000298903,0.000148228,0.000202964,0.000335204,0.000179726,0.000222653,0.000176273,0.000155245,0.00019167,0.00032202,7.61e-05,7.92e-05,0.000218084,0.000183802,0.000131569,0.000182942,0.000182431,0.00012208,0.000116878,0.000111562,8.44e-05,0.000108271,0.000117752,0.000100097,0.000189023,6.38e-05,0.000229633,0.000103418
0.000133255,0.000178393,0.000112554,0.000112554,0.000101516,0.00019171,0.000166654,0.000125707,9.25e-05,0.000188722,0.000101295,9.67e-05,9.41e-05,0.000156657,0.00017438,0.000235982,0.00016744,0.000135592,0.00015922,0.000227939,0.000119763,0.00014632,8.2e-05,0.000257888,0.000120485,0.000105733,0.00020291,0.000169244,0.000275671,0.000104604,0.000149626,0.000119113,0.000115772,0.000243938,0.000214549,0.000149542,0.000121324,8.14e-05,0.000135159,3.01e-05,9.06e-05,0.000219716,0.000328018,0.000305016,0.000212894,0.000210636,0.000233416,0.000125538,0.000109187,0.000256966,0.00012676,0.000253526,0.000120953,0.000268279,0.000205518,0.000107773,0.000145071,0.00018044,9.49e-05,0.000200284,0.000138032,9.43e-05,0.000275644,0.000164624,0.000241158,0.000156083,0.000125801,0.000155868,0.000136508,0.000190948,0.000237045,0.000122911,0.000119807,0.000121546,0.000111023,4.03e-05,8.96e-05,0.000135668,0.000150536,0.000306488,0.000121442,0.000170398,0.000220858,0.000129226,0.000201972,0.000162674,0.000132498,0.000122817,0.000499995,6.83e-05,6.23e-05,0.000264729,0.000231328,0.000152351,0.000218941,0.000163665,9.05e-05,0.000116105,0.000108614,7.62e-05,0.000145737,0.00015062,7.66e-05,0.00020156,6.08e-05,0.000204466,0.000107306
0.000104233,0.000286294,0.000157642,0.000157642,0.000100887,0.000204529,0.00016934,0.00019635,0.000157541,0.000187363,0.000141196,0.000108976,8.13e-05,0.000108986,0.000148798,0.000145711,0.000139178,0.000114593,0.000135038,0.000202696,9.69e-05,9.32e-05,5.64e-05,0.000206684,0.000108394,8.95e-05,0.000217374,0.000149677,0.000197276,9.39e-05,0.000113264,9.9e-05,8.39e-05,0.00014347,0.000158091,0.000103399,8.47e-05,5.48e-05,7.97e-05,2.37e-05,4.43e-05,0.000213905,0.000231931,0.000258026,0.00018151,0.000317318,0.000389165,0.00016146,0.000138219,0.000379713,0.000297811,0.000375552,0.000209775,0.000349572,0.000236753,0.000166234,0.000226252,0.00022432,8.68e-05,0.000352883,0.000198133,0.000135352,0.000374382,0.000241289,0.000365046,0.000226194,0.000143825,0.000154567,0.000124178,0.000176432,0.000234302,0.000150204,0.000124803,0.000114213,0.000116122,4.77e-05,9.03e-05,0.000131227,0.000168088,0.000269949,0.000124371,0.000155221,0.000313319,0.000159757,0.000221576,0.000188934,0.000141397,0.000173742,0.000475609,8.58e-05,7.53e-05,0.000270481,0.000226992,0.000127747,0.000162972,0.000186042,0.000120243,0.000141826,0.000101546,7.2e-05,0.000130454,0.000140767,9.04e-05,0.000202233,7.05e-05,0.000166536,9.74e-05
5.53e-05,0.000281263,0.000191779,0.000191779,0.0001059,0.000181404,0.000170017,0.000185899,0.000149018,0.000172024,0.000137814,0.000118946,0.000126645,0.000124525,0.000193672,0.00013635,0.000149953,9.35e-05,0.000133146,0.000178951,8.66e-05,7.69e-05,4.17e-05,0.000206302,8.57e-05,8.55e-05,0.000154003,0.000117801,0.000167956,4.74e-05,8.25e-05,6e-05,4.53e-05,7.95e-05,0.000107676,5.36e-05,4.61e-05,4.58e-05,5.36e-05,1.21e-05,4.15e-05,0.000229948,0.000190909,0.000188931,0.000144503,0.000394328,0.000416434,0.000200678,0.000181848,0.000459581,0.000216369,0.000267018,0.000202758,0.000266233,0.000258227,0.000146602,0.000169723,0.000137001,6.41e-05,0.000282379,0.000225443,0.000154106,0.00051295,0.000246628,0.000361025,0.000166958,0.000107977,0.000142686,0.000125134,0.000170169,0.000234338,0.000124903,0.00014995,0.0001637,0.000137303,4.88e-05,0.000110339,0.000128919,0.000150662,0.00022154,8.4e-05,0.000126081,0.00032533,0.000188316,0.000279924,0.000259017,0.000194943,0.000156998,0.000424525,9.33e-05,8.44e-05,0.000190106,0.00015067,0.000131275,0.000178869,0.000217125,0.000134852,0.000145672,0.000129255,0.000103844,8.76e-05,0.000121575,9.19e-05,0.000197323,5.57e-05,0.000161014,6.39e-05
4.52e-05,0.000310288,0.000179776,0.000179776,9.45e-05,0.000155452,0.00014683,0.000174634,0.000138455,0.000109249,0.000138222,6.2e-05,6.51e-05,6.71e-05,8.79e-05,8.72e-05,9.34e-05,5.4e-05,7.82e-05,8.19e-05,7.2e-05,6.16e-05,4.44e-05,0.000167873,7.69e-05,6.47e-05,0.000107265,7.25e-05,9.95e-05,4.17e-05,8.03e-05,7.07e-05,2.72e-05,6.81e-05,6.37e-05,3.58e-05,3.32e-05,2.83e-05,4.85e-05,7.58e-06,1.8e-05,0.000101095,0.000105204,7.58e-05,7.07e-05,0.000383544,0.000375647,0.000180834,0.000150986,0.00031102,0.00018085,0.000258499,0.000167342,0.000220621,0.000234201,7.65e-05,8.51e-05,0.000142214,6.96e-05,0.000214442,0.000199616,0.000140707,0.000367141,0.000221467,0.000335279,0.000133649,6.7e-05,0.000124746,8.1e-05,0.000124745,0.000219394,9.99e-05,0.000125779,0.00013712,0.000146368,4.94e-05,0.000132398,8.53e-05,0.000145015,0.000126628,5.14e-05,8.9e-05,0.000363778,0.000151455,0.000186176,0.000197046,0.000157461,0.000159783,0.000405401,9.39e-05,8.74e-05,0.000207103,0.000135245,0.000113042,0.000159543,0.000196676,0.000134654,0.000121031,9.41e-05,7e-05,6.28e-05,9.83e-05,7.25e-05,0.000156952,4e-05,0.0001021,2.94e-05
2.35e-05,0.000165218,0.000102569,0.000102569,7.5e-05,0.000156652,0.000144426,0.000123197,0.000111516,8.92e-05,9.48e-05,5.54e-05,6.07e-05,5.34e-05,8.69e-05,5.55e-05,5.9e-05,4.35e-05,5.82e-05,7.37e-05,6.04e-05,5.65e-05,2.66e-05,0.000113632,6.69e-05,5.41e-05,9.53e-05,9.49e-05,0.000101751,4.06e-05,4e-05,2.36e-05,9.57e-06,3.23e-05,4.02e-05,1.52e-05,2.5e-05,1.82e-05,1.35e-05,3.73e-06,6.66e-06,4.15e-05,5.02e-05,2.65e-05,1.96e-05,0.000425681,0.000320066,0.000146619,0.000134741,0.00026281,0.00014591,0.000177605,0.000102876,0.000119101,0.000160492,5.28e-05,6.04e-05,6.23e-05,3e-05,0.000160328,0.000144431,0.000111157,0.000439997,0.00020428,0.00031261,8.32e-05,8.45e-05,0.000134077,9.56e-05,0.000129867,0.000130306,5.79e-05,9.8e-05,0.000114233,0.000109448,3.55e-05,8.11e-05,8.28e-05,8.53e-05,0.000113999,4.35e-05,7.18e-05,0.000364739,0.000147305,0.000221817,0.000204981,0.000172579,0.000181376,0.000392043,6.97e-05,7e-05,0.000138343,8.32e-05,7.21e-05,9.03e-05,0.000124018,9.49e-05,9.77e-05,9.24e-05,5.43e-05,4.8e-05,7.4e-05,5.97e-05,0.000146911,3.47e-05,9.35e-05,8.8e-06
4.07e-05,0.000178982,0.000136003,0.000136003,8.71e-05,0.000156991,0.000150223,0.00015739,0.000128735,7.35e-05,9.2e-05,5.24e-05,5.52e-05,6.46e-05,7.51e-05,7.16e-05,7.76e-05,5.39e-05,5.86e-05,0.000100528,4.61e-05,4.62e-05,3.59e-05,0.000131671,5.93e-05,5.24e-05,9.68e-05,8.36e-05,0.000123941,4.22e-05,6.24e-05,3.9e-05,3.6e-05,9.08e-05,8.09e-05,5.23e-05,4.1e-05,3.59e-05,5.33e-05,9.73e-06,3.35e-05,7.31e-05,8.39e-05,6.62e-05,5.97e-05,0.000391903,0.000313262,0.000162662,0.000140099,0.000267122,0.000167435,0.000200354,0.000118555,0.000231161,0.000191125,6.34e-05,0.000104589,9.76e-05,3.12e-05,0.00018086,0.00016606,0.000115468,0.000367726,0.000209104,0.000315971,0.0001517,0.000105968,0.000122396,0.000115644,0.000140168,0.000177574,8.81e-05,0.000121842,0.000133354,0.000107164,4.45e-05,0.000100783,7.3e-05,7.23e-05,0.00012453,5.92e-05,5.09e-05,0.000326756,0.000144675,0.000208761,0.000201354,0.000148973,0.000176227,0.000412626,7.93e-05,8.84e-05,0.000161261,9.96e-05,0.000103905,0.00016205,0.000185535,9.83e-05,0.000105117,8.28e-05,6.49e-05,6.3e-05,9.94e-05,7.88e-05,0.000159547,4.64e-05,0.00013349,2.17e-05
0.000134936,0.000248513,0.000184586,0.000184586,0.000138758,0.000223762,0.000194641,0.00019282,0.000140045,0.000174973,0.000169804,9.44e-05,0.000107608,0.000118897,0.000161278,0.000145736,0.000164533,0.000128684,0.000139775,0.000208706,0.000123743,0.000100411,7.8e-05,0.000301417,0.000113744,0.000122489,0.000202975,0.000164514,0.000232415,9.88e-05,0.00012593,0.000118007,0.000133157,0.000213383,0.000197166,0.000124903,9.85e-05,9.35e-05,0.000167659,3.79e-05,9.51e-05,0.000181913,0.000203138,0.000174593,0.000106364,0.000315706,0.000343565,0.000176035,0.000153626,0.000317985,0.000168203,0.000303146,0.000189855,0.000382263,0.000230745,0.000155433,0.000182982,0.000252323,0.000103939,0.000230441,0.000212632,0.000144387,0.000381354,0.000264693,0.000314698,0.000201328,0.000197695,0.000206844,0.000162846,0.000225824,0.000300314,0.000174005,0.000188166,0.000179164,0.00015069,5.66e-05,0.000110098,0.000160584,0.000199324,0.000274906,0.000117292,0.000163585,0.000311808,0.000155438,0.00024565,0.00018983,0.000177757,0.000176698,0.000549868,0.000125417,0.000116645,0.000315801,0.000244816,0.000157838,0.000195043,0.000221743,0.000161467,0.000157532,0.000148441,9.19e-05,0.000144335,0.00013299,0.000114292,0.00024138,7.46e-05,0.000198536,6.58e-05
0.000251721,0.000228706,0.000163073,0.000163073,0.000130509,0.000243084,0.000198351,0.000207815,0.000122978,0.000238711,0.000187036,0.000142596,0.000132136,0.000172431,0.000192012,0.000206294,0.000177495,0.000156054,0.000156055,0.00032189,0.000114911,0.000143875,9.33e-05,0.000285566,0.000109055,0.000115369,0.000284468,0.00021186,0.000453353,0.000217612,0.000268826,0.000207088,0.000132408,0.000293332,0.000335737,0.000196283,0.000134,0.000129607,0.000203805,6.83e-05,0.0001542,0.000275979,0.000302713,0.000247871,0.000239064,0.000373153,0.00037695,0.000174267,0.000128899,0.000419362,0.00021261,0.000419898,0.000176934,0.000418381,0.000223833,0.000226841,0.000264089,0.000317583,0.000149675,0.000266222,0.000149814,0.000106348,0.000429362,0.000214411,0.000344,0.000249676,0.000256841,0.000212229,0.000186676,0.000361574,0.000374069,0.000263003,0.000158976,0.000106326,0.000159257,5.74e-05,8.3e-05,0.000258839,0.000336953,0.000686249,0.00018931,0.000247186,0.000457887,0.000150503,0.000240352,0.00017917,0.000124042,0.000185782,0.000619423,0.000129172,0.000116452,0.000398507,0.000295906,0.000231836,0.000241093,0.000224387,0.000118416,0.000139952,0.000119635,7.44e-05,0.000223171,0.000279425,0.000169207,0.000360881,0.000130601,0.000366576,0.000119748
