0,1,2,3,4,5,6,7,8,9,10,11,12,13
7.01e-05,0.000339082,0.000292108,0.000309579,0.000149083,0.000239118,0.000263309,0.000229996,0.000225229,0.000212796,0.000160611,0.000205107,0.000128322,0.000285611
6.54e-05,0.000303265,0.000293285,0.000254086,0.000138011,0.000177544,0.000203706,0.000169179,0.000187277,0.000191495,0.000181312,0.000202773,0.00013408,0.000276797
8.5e-05,0.000416288,0.0003653,0.000304777,0.000142657,0.000238977,0.000266388,0.000260629,0.000237263,0.000231883,0.000188065,0.000197891,0.000129303,0.000253222
6.69e-05,0.000301386,0.000280373,0.000222092,0.000130831,0.000158777,0.000182405,0.000153132,0.000172658,0.000177535,0.000166233,0.000190099,0.000112646,0.000258806
0.000103087,0.000409272,0.000400285,0.000329821,0.000180108,0.00023379,0.0002517,0.000202523,0.00023124,0.000286776,0.000273455,0.000233915,0.000204711,0.000385641
0.000115168,0.000498309,0.000459557,0.000341199,0.000183106,0.000266629,0.000259551,0.000224885,0.000237622,0.000304717,0.000256055,0.000296602,0.000194237,0.000324794
0.000125884,0.000563309,0.000521376,0.00034605,0.000183568,0.00034035,0.000384856,0.000295235,0.000313982,0.000357837,0.000325134,0.000416322,0.000197433,0.00051214
0.000130285,0.000567456,0.000769152,0.000372401,0.000205127,0.000355004,0.000315545,0.000274107,0.000281318,0.000383803,0.000297105,0.000260904,0.000162436,0.000362517
8.42e-05,0.000399724,0.000359464,0.000282393,0.000169302,0.000250254,0.000203815,0.000178586,0.000201262,0.000273312,0.0002651,0.000212524,0.000171557,0.000318853
6.53e-05,0.000262847,0.000270594,0.000323199,0.000188481,0.000198516,0.000235922,0.00019512,0.000171493,0.000185361,0.000171244,0.000198883,0.000119408,0.000274226
7.23e-05,0.000352157,0.000329218,0.000255254,0.000139733,0.000216339,0.000241104,0.000183814,0.000185809,0.000205189,0.000178017,0.000180294,0.000131447,0.000240438
6.91e-05,0.000339612,0.00027952,0.000319818,0.000174353,0.000259572,0.000300835,0.000237087,0.000242843,0.000171346,0.000183096,0.000225137,0.000154662,0.000321764
