0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.000187313,0.000414177,0.000338254,0.000154529,0.000355991,0.000157134,0.000257037,0.000358479,0.000221183,0.000250157,0.000380989,0.000281177,0.000276433,0.000231805,0.000224707,0.000415398,0.000294852,0.000371921,0.000253462,0.000193815,0.000102632,0.000186673,0.000295327
0.000196212,0.000276572,0.000308961,0.00015267,0.000324459,0.000143176,0.000223174,0.000321319,0.000223242,0.000207132,0.000292848,0.0002701,0.000254251,0.000185353,0.000155375,0.000330992,0.000209856,0.000371592,0.000270132,0.000191494,0.000100291,0.000129867,0.000276792
0.00016941,0.000353184,0.000404496,0.000132427,0.00039154,0.000101077,0.000156506,0.000252772,0.000165048,0.000304602,0.000224588,0.000280891,0.000272199,0.000217627,0.000206439,0.000394451,0.000278405,0.000524679,0.000320396,0.000115188,8.11e-05,0.000163564,0.000302981
0.000151115,0.000314851,0.000283982,0.000123419,0.000292767,0.000110382,0.000158438,0.000251207,0.000146563,0.000180041,0.0002358,0.000240982,0.000285465,0.000213233,0.00017346,0.000364657,0.000276686,0.000386551,0.000265499,0.000116464,8.65e-05,0.000144302,0.000280666
0.000120949,0.000168802,0.000216822,9.83e-05,0.000199441,7.84e-05,0.000102705,0.00019593,0.00010199,0.000155107,0.000210139,0.000156293,0.000160403,0.000102647,0.000116269,0.000195427,0.000138165,0.000212246,0.000120265,7e-05,5.85e-05,8.93e-05,0.000175613
5.42e-05,0.0001225,0.000178276,4.64e-05,0.000123064,3.95e-05,5.4e-05,9.77e-05,4.69e-05,7.71e-05,8.36e-05,8.66e-05,0.000103341,7.02e-05,7.17e-05,0.000133414,9.42e-05,0.00015952,0.000109604,2.48e-05,2.62e-05,6.2e-05,0.000122921
2.58e-05,4.32e-05,4.19e-05,2.54e-05,3.88e-05,2.23e-05,1.44e-05,1.89e-05,2.72e-05,2.19e-05,1.78e-05,4.13e-05,4.42e-05,2.72e-05,4.15e-05,4.02e-05,4.83e-05,6.91e-05,4.2e-05,5.78e-06,1.57e-05,2.46e-05,3.14e-05
2.35e-05,7.19e-05,2.65e-05,1.39e-05,3.74e-05,1.04e-05,1.44e-05,3.4e-05,2.14e-05,2.01e-05,2.51e-05,8.33e-05,6.96e-05,5.14e-05,4.75e-05,8.64e-05,6.38e-05,7.39e-05,4.69e-05,1.72e-05,1.4e-05,3.72e-05,3.92e-05
8.88e-05,0.000148905,0.000116277,7.33e-05,0.000160942,5.6e-05,0.000108134,0.000143951,9.69e-05,8.88e-05,0.000161573,0.00013942,0.000156322,0.000102041,9.56e-05,0.000128967,0.000129361,0.000179247,0.000130962,6.04e-05,4.96e-05,7.53e-05,0.000154396
0.000158251,0.000339414,0.000385938,0.0001634,0.000368742,0.000145716,0.000218957,0.00033905,0.000217071,0.000248098,0.000355391,0.000312753,0.000280764,0.00019183,0.000199754,0.000341814,0.000258621,0.000348776,0.000211466,0.000151403,0.00010578,0.000159309,0.000367958
0.00022921,0.000338988,0.000367546,0.000183875,0.000357251,0.000167728,0.000278322,0.000436627,0.0002594,0.000312966,0.000377486,0.000294371,0.000261363,0.000188712,0.000195728,0.000319446,0.000257055,0.000380613,0.00024715,0.00021826,0.000118939,0.000168064,0.00035024
0.000268034,0.000385329,0.000427416,0.000161911,0.000343117,0.000191621,0.000314993,0.000442845,0.000283839,0.000337426,0.000441512,0.000389002,0.000306467,0.000226778,0.000212319,0.000422089,0.000290813,0.000430198,0.000265763,0.000261378,0.000142559,0.000184926,0.000294268
