0,1,2,3,4,5,6,7,8,9,10,11
0.000235059,0.000431639,0.000151721,0.000267326,8.54e-05,0.000225101,0.000196247,0.000237617,0.000176739,0.000171939,0.000198134,0.000272583
0.000182604,0.000389666,0.000135172,0.000207083,7.18e-05,0.000233728,0.000188959,0.00025812,0.000182153,0.000151176,0.000268753,0.000329438
0.000209289,0.00032649,0.000123949,0.000203869,6.06e-05,0.000149911,0.00015509,0.000198176,0.000144567,0.000147066,0.000145344,0.000242503
0.000185464,0.000332028,0.000119416,0.000223684,7.22e-05,0.000198275,0.000162572,0.000241937,0.000129742,0.000140359,0.000143369,0.000181815
0.00015188,0.000215094,6.35e-05,0.000169967,4.56e-05,0.000154253,9.97e-05,0.00017988,8.91e-05,8.74e-05,0.000108613,0.000136048
0.000126901,0.000178711,7.16e-05,0.000132971,3.57e-05,9.78e-05,9.14e-05,0.000110774,6.9e-05,5.08e-05,5.02e-05,8.85e-05
9.5e-05,0.000119885,5.09e-05,9.73e-05,2.86e-05,6.48e-05,6.3e-05,7.06e-05,4.53e-05,4.36e-05,3.91e-05,4.27e-05
0.000124125,0.000196021,6.48e-05,0.000121109,3.6e-05,9.03e-05,7.56e-05,9.26e-05,4.87e-05,6.04e-05,8.1e-05,8.15e-05
0.00021531,0.00042986,0.000152437,0.000259168,5.1e-05,0.000176539,0.000145223,0.000248208,0.000145165,0.00016872,0.000188953,0.000228189
0.000234876,0.000420395,0.000132385,0.000259191,8.22e-05,0.00021434,0.00017581,0.000254512,0.000161534,0.00016307,0.000266833,0.000310295
0.000325544,0.000688536,0.000192954,0.000364598,0.000130259,0.000299823,0.000328749,0.000397554,0.000274042,0.000295251,0.000421555,0.00046408
0.000231173,0.000406295,0.000169136,0.000293007,7.77e-05,0.000243813,0.000218133,0.000301364,0.000217588,0.000215813,0.000302341,0.000363997
