0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.000258053,0.000347884,0.000660197,0.000649189,0.000632888,0.000228581,0.002017668,0.000647549,0.000954855,0.000131984,0.00055659,0.000381299,0.000268766,0.000322312,0.000426278,0.000397072,0.000408524,0.000218661,0.000256182
0.000227415,0.000286698,0.000493087,0.000490894,0.000540452,0.000184107,0.002103421,0.000476462,0.000811105,9.39e-05,0.000451865,0.000312141,0.000212603,0.000243831,0.000328294,0.000313085,0.000334903,0.000165104,0.000222638
0.000179337,0.000222925,0.000441258,0.000483641,0.000507007,0.000137461,0.001669717,0.000569541,0.000772451,8.91e-05,0.000404356,0.00029242,0.000198384,0.000214941,0.000330632,0.000310687,0.000312883,0.000145061,0.000176946
0.000133648,0.000198553,0.000372312,0.000405702,0.000394407,0.000149524,0.001941593,0.00044263,0.000636204,6.84e-05,0.000347583,0.000244856,0.000200313,0.000196674,0.000264492,0.000216636,0.000222867,0.000115755,0.000166321
0.000180824,0.000256777,0.000544402,0.000517556,0.000489967,0.000174676,0.001943785,0.000673006,0.000897579,8.23e-05,0.000455273,0.000288787,0.000237458,0.000192254,0.000315685,0.000253489,0.000246232,0.000158963,0.000200403
0.000250422,0.000309115,0.000747448,0.000792838,0.000811815,0.000275207,0.002660738,0.001018038,0.001241383,0.000119894,0.000695156,0.000468347,0.000344164,0.00034938,0.000516043,0.00043468,0.000352909,0.000259905,0.000322129
0.000270554,0.000386538,0.000781034,0.000858507,0.000844192,0.000315554,0.003315765,0.000935843,0.001154673,0.000127731,0.000737953,0.00051833,0.000338643,0.000382122,0.000536153,0.000433901,0.00045417,0.000307469,0.000382168
0.000258806,0.000338343,0.000704712,0.000737905,0.00088519,0.000324004,0.003023318,0.000989701,0.001357433,0.000171076,0.000698544,0.00051978,0.00035866,0.000428188,0.000579088,0.000543481,0.000580466,0.000296517,0.000343851
0.000296489,0.000421944,0.000639321,0.000673154,0.000731153,0.000263958,0.002412705,0.000718237,0.001036543,0.000151777,0.000573013,0.000464346,0.00033791,0.000355009,0.000477515,0.000436659,0.000465041,0.000217771,0.000305879
0.000308899,0.000382063,0.000685324,0.000683216,0.000824469,0.000277248,0.002672258,0.000808422,0.001093259,0.000179699,0.000638855,0.000473329,0.000361499,0.000406958,0.000528614,0.000638797,0.000674235,0.000266598,0.000320965
0.000261627,0.000368163,0.000602241,0.000735184,0.000790092,0.00024696,0.002001214,0.000863272,0.001041773,0.000185124,0.000641457,0.000503731,0.000376805,0.00037726,0.00052991,0.000583921,0.000579933,0.000255625,0.000269263
0.000294389,0.000392147,0.000589977,0.000687289,0.00068739,0.000263389,0.002245896,0.000649903,0.000902583,0.000146328,0.000495268,0.000403259,0.00032254,0.000389264,0.000412163,0.00045387,0.000497033,0.000203261,0.000282038
