0,1,2,3,4,5,6,7,8,9,10
9.5e-05,0.001053229,0.00149401,0.001015288,0.001615302,0.004760961,0.004174442,0.001329019,0.003734579,0.001912727,0.003072524
8.14e-05,0.000922208,0.001251704,0.000938045,0.001607414,0.003827988,0.002785714,0.001182496,0.00360567,0.001321167,0.002869162
8.21e-05,0.000805768,0.00108653,0.000599775,0.00108242,0.003316371,0.00307435,0.000814683,0.002600102,0.001858389,0.003298308
6.65e-05,0.000611665,0.001048254,0.000472762,0.000824905,0.002466872,0.002064964,0.000598515,0.001656574,0.000894191,0.001780796
7.21e-05,0.000786178,0.00134057,0.000676406,0.000788315,0.001887857,0.001991334,0.000586646,0.001504982,0.000757795,0.001381516
9.78e-05,0.000879105,0.001712618,0.000639859,0.000809977,0.001847005,0.00219875,0.000535558,0.001385908,0.000772185,0.001603151
9.67e-05,0.001110849,0.002010633,0.001085667,0.001202937,0.00233693,0.002641377,0.000624591,0.001565502,0.000710849,0.001764753
0.000112323,0.001157125,0.00158253,0.001014787,0.001209294,0.002695506,0.003135751,0.000954897,0.00212151,0.000885758,0.002022302
0.000104259,0.001280921,0.00173161,0.001104329,0.001626784,0.003583224,0.003193155,0.001148234,0.003120984,0.001506472,0.002791345
0.000109681,0.001261348,0.001867513,0.001168976,0.001683381,0.004230037,0.003955206,0.00152811,0.003996706,0.001605107,0.002796523
0.000111486,0.00121174,0.001538988,0.001178657,0.001642038,0.003436826,0.003226292,0.001078413,0.003052112,0.001259385,0.002581252
8.21e-05,0.000964578,0.001522259,0.000854186,0.001520781,0.004249914,0.00398231,0.001402968,0.003579945,0.001543317,0.00301076
