0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0.000112598,0.000154456,8.17e-05,0.000173334,0.000235485,0.000165299,0.000126486,0.000123321,0.000106284,6.52e-05,0.00016055,0.000148759,0.000217255,0.000164616,3.21e-05,0.000286763,0.000112678,0.000201728,0.000200266,0.000258161,0.000207632,0.000111588,0.000152208,0.000110478,0.000155893,0.000107438,0.000177948,0.000319567,0.000181348,7.01e-05,0.000172499,0.000236487,0.000145765,0.000133127,3.25e-05,0.00015797,0.000267746,0.00018453,0.000176095,0.000183785,0.000275474,0.000218908,0.000234514,0.0002218,0.000224237,0.000222613,0.00014777,0.000102505,0.000224452,0.000182038,0.000245447,0.000211789,4.1e-05,0.000172162,0.000152434,0.000154813,0.000147678,7.39e-05,0.000227485,0.000263945,0.000209521,0.000131813,0.000205285,3.5e-05,0.000145805,0.00016514,0.000119616,0.000218476,0.000160019,0.000105819,0.000179676,0.000232185,0.000114186
9.62e-05,0.000146993,8.6e-05,0.000174683,0.000218158,0.000126217,0.000125234,0.000108844,9.68e-05,5.53e-05,0.000131849,0.000137153,0.000173134,0.000183434,2.95e-05,0.000245153,0.000106376,0.000207738,0.000229561,0.00024559,0.000196177,0.000101087,0.000140077,0.000100467,0.000135251,0.000106942,0.000143224,0.000225086,0.000162081,5.12e-05,0.000131009,0.00016985,0.000141191,9.9e-05,3.84e-05,0.000157723,0.000250848,0.000161582,0.00015802,0.000154707,0.000242745,0.000146781,0.000220365,0.000156274,0.00018574,0.00023797,0.000162794,0.00011032,0.000203337,0.000149958,0.00020725,0.000180994,3.82e-05,0.000173017,0.000138775,0.000142767,0.000135891,6.73e-05,0.000177632,0.000248933,0.000199271,0.000126189,0.000170221,3.78e-05,0.000145901,0.000133326,0.000111912,0.000208832,0.000155734,9.83e-05,0.000139393,0.000186032,0.000110466
9.66e-05,0.000131504,8.22e-05,0.000157182,0.00021012,0.000134385,0.000102952,9.14e-05,8.56e-05,4.43e-05,0.000115776,0.000129487,0.000227114,0.00017403,3.49e-05,0.000331721,0.000133061,0.000198112,0.000216402,0.00021422,0.000168126,0.000101263,0.000138456,9.7e-05,0.000131141,0.000108493,0.000169309,0.000225973,0.000143258,5.98e-05,0.000126276,0.000214907,0.000181446,0.000117627,3.84e-05,0.000131644,0.000212478,0.000151071,0.000155304,0.000152183,0.000263121,0.000168286,0.000260085,0.00017719,0.000206081,0.000234452,0.000160454,8.82e-05,0.000188615,0.000168282,0.000216986,0.000181863,3e-05,0.000155808,0.00013387,0.000183643,0.000165807,6.41e-05,0.000197444,0.000310689,0.000217369,0.000139672,0.000254173,3.92e-05,0.000127541,0.000130496,9.08e-05,0.000172014,0.000153173,8.86e-05,0.0001726,0.000183397,0.000108082
0.000122957,0.000184927,8.69e-05,0.00019003,0.000241835,0.000105393,0.000116779,9.28e-05,8.01e-05,4.3e-05,0.00012979,0.000113492,0.000156245,0.00017953,2.4e-05,0.000218193,7.95e-05,0.00016694,0.000178878,0.000208551,0.000173521,0.000145716,0.000131426,8.4e-05,0.000115294,0.000142547,0.00013349,0.000231688,0.000134866,5.9e-05,0.000124675,0.000158702,0.000138285,0.000112224,3.99e-05,0.000148068,0.000271876,0.00017039,0.00016996,0.000180532,0.000302097,0.000156873,0.000235904,0.000142172,0.000193492,0.0002201,0.000156089,8.09e-05,0.00019009,0.000131796,0.000194188,0.000165451,3.29e-05,0.00016121,0.000112141,0.000125012,0.000104603,6.53e-05,0.000171093,0.000220595,0.0001887,0.000103847,0.000159745,2.76e-05,0.000114145,0.000161072,0.000101825,0.000204705,0.000141907,8.76e-05,0.000151067,0.000201146,0.000101946
0.000270682,0.000299597,0.000168448,0.000308462,0.000430956,0.000317679,0.000242071,0.000141728,0.000164522,8.97e-05,0.00027086,0.000286646,0.000238773,0.000203178,3.75e-05,0.000275019,0.000134084,0.000196227,0.000258027,0.000303825,0.000290906,0.000136637,0.000189955,0.000132948,0.000168572,0.000125225,0.00017132,0.0003203,0.000169362,7.07e-05,0.000174834,0.000201789,0.000194146,0.00014094,6.53e-05,0.000226617,0.000372006,0.000234519,0.000221164,0.000239751,0.000429416,0.000239144,0.000325994,0.00021893,0.000289871,0.000335718,0.00022903,0.000149017,0.000280919,0.00022455,0.000294055,0.000198699,4.91e-05,0.000214828,0.000221825,0.000188456,0.000175542,7.33e-05,0.000220682,0.000273819,0.000229902,0.000156535,0.000228406,4.32e-05,0.000267424,0.000231736,0.000146786,0.000280151,0.000218777,0.000185206,0.000257207,0.000281554,0.000159568
0.000164823,0.000236235,0.000153955,0.000240046,0.00028731,0.000163553,0.00011482,0.000114976,0.00011747,5.98e-05,0.000146715,0.000146531,0.000345304,0.000278982,4.4e-05,0.00031019,0.000177672,0.000248301,0.000344638,0.000268995,0.00027356,0.000287441,0.000273928,0.000173102,0.000255433,0.0002093,0.000281743,0.000366159,0.000202732,0.000120568,0.000263107,0.000330201,0.000305635,0.000193048,5.77e-05,0.000188907,0.000317034,0.000228511,0.000240117,0.00025869,0.000381655,0.000241061,0.000381068,0.00023789,0.000309226,0.00034569,0.000252126,0.000138855,0.000287101,0.000245876,0.000357333,0.00028355,5.05e-05,0.000275668,0.000209477,0.000230201,0.00020851,0.000111152,0.000389168,0.000416898,0.000305501,0.000184201,0.000266402,6.19e-05,0.000163197,0.00017898,0.000176192,0.000320797,0.000278997,0.000167984,0.000274041,0.000312046,0.000162466
0.000147793,0.00023195,0.000186246,0.000339658,0.000344363,0.000231959,0.000213048,0.000170106,0.000188964,0.000100718,0.000241964,0.000245703,0.000323144,0.000403933,6.37e-05,0.000455646,0.00023406,0.000383886,0.000501076,0.000486942,0.000441797,0.000250358,0.000320921,0.000218288,0.000273728,0.000230436,0.000291288,0.000438999,0.000273714,0.000143116,0.000296112,0.000294586,0.000255983,0.000234982,9.43e-05,0.000324408,0.000538818,0.000352485,0.000410236,0.000372631,0.000532434,0.000315622,0.000459588,0.000326111,0.000449352,0.000450549,0.00029524,0.000178706,0.000393192,0.000355346,0.000406071,0.000371978,0.000108152,0.000466806,0.000305067,0.000294986,0.00029128,0.000136859,0.000309822,0.000402545,0.000337407,0.00019987,0.000392544,7.45e-05,0.000219563,0.000280203,0.00024756,0.000489212,0.000352013,0.000187319,0.000365913,0.00034445,0.000240927
0.000151121,0.00023238,0.000116091,0.000235982,0.00027898,0.000173704,0.000159075,0.000131274,0.000118215,6.71e-05,0.000169195,0.000153006,0.000335286,0.000393736,7.25e-05,0.000444441,0.000226412,0.000288274,0.000367847,0.000306065,0.000285545,0.000223777,0.000238817,0.000229222,0.000241698,0.000208723,0.000231896,0.000361026,0.000216081,0.000102044,0.000234994,0.000271364,0.000250842,0.000200112,6.19e-05,0.000194556,0.000287106,0.000224089,0.000284277,0.00021411,0.000350861,0.000434491,0.000277432,0.000279119,0.000348843,0.000288986,0.000181398,8.56e-05,0.00024342,0.000254864,0.000571774,0.000260045,6.81e-05,0.000316216,0.000305199,0.000229967,0.000284283,0.00011365,0.00035665,0.000539377,0.000443935,0.000167743,0.000299703,6.23e-05,0.000166761,0.000178084,0.000200982,0.000274982,0.000285359,0.000157703,0.00030533,0.000500919,0.000169594
0.000150199,0.00021558,0.00012945,0.000204138,0.000259138,0.000183976,0.000131201,0.000113712,0.000100954,5.96e-05,0.000143919,0.00017088,0.000265456,0.000223825,3.53e-05,0.000246237,0.000127175,0.000214356,0.000243027,0.000236537,0.000194968,0.000140064,0.000208608,0.000144581,0.000181639,0.000149716,0.000274677,0.000386222,0.000259237,9.8e-05,0.000216218,0.000282063,0.000199236,0.000175119,5.8e-05,0.000183271,0.000286155,0.00018444,0.000238149,0.000194123,0.000298439,0.000211841,0.000314503,0.000217813,0.000242705,0.000307201,0.00021122,0.000112538,0.000244153,0.000260872,0.000373058,0.000282744,4.66e-05,0.000226643,0.000143387,0.000164315,0.00015965,7.8e-05,0.000350663,0.000350054,0.000279422,0.000140453,0.00024471,4.49e-05,0.000193735,0.000156465,0.000139343,0.000229984,0.000238772,0.000145684,0.000222577,0.000240248,0.000141099
9.99e-05,0.000138558,8.72e-05,0.00016963,0.000211266,0.000134457,0.000103669,7.99e-05,8.44e-05,4.87e-05,9.96e-05,0.000104332,0.000225397,0.000216158,3.43e-05,0.000271815,0.000124258,0.000178331,0.000198691,0.000205168,0.000172584,0.000174769,0.000167633,0.000143113,0.00015691,0.000137205,0.000226442,0.000298476,0.00018963,0.000106641,0.000199634,0.000271566,0.000196278,0.000155815,3.94e-05,0.000124782,0.000202181,0.000160216,0.000157965,0.000148623,0.000252839,0.000201661,0.000262537,0.000201903,0.000229664,0.000257931,0.000161388,9.05e-05,0.000189601,0.000180701,0.000260038,0.000239171,3.91e-05,0.000195658,0.00013297,0.000161869,0.0001541,8.37e-05,0.000268323,0.000304096,0.000249859,0.000127376,0.000200585,3.64e-05,0.000119601,0.000120024,0.000111084,0.000194157,0.000139134,0.000107974,0.000184785,0.000232228,0.000108872
