0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.000635172,0.000548858,0.000474869,0.000426295,0.000562907,0.000337664,0.000208738,0.000250052,0.00023918,0.00045466,0.000190006,0.000533034,0.000271021,0.000283536,0.000242109,0.000368722,0.000358458,0.000556562,0.000242436,0.000476299,0.000192634,0.00024627,0.000242322,0.00045173,2.28e-05,0.000171906,4.87e-05,0.000189666,0.000400858,0.000510999,0.00039018,0.000448878,0.000326528,0.000511881,0.000628664,0.00018224,0.000244397,0.000507627,0.000300062,0.000330978,0.000440356,0.000724532,0.000712499,0.000241233,0.000229778,0.000346901,0.000107923,0.000173829,0.000172343,0.000244975
0.0006198,0.000641509,0.000537944,0.000433948,0.000579838,0.000432116,0.000253523,0.000326135,0.00029635,0.000449499,0.000150731,0.00028784,0.000187763,0.00029075,0.00021133,0.000243324,0.000404188,0.000627072,0.000208323,0.000431112,0.000182457,0.000226697,0.000211692,0.000516935,1.77e-05,0.000115082,4.31e-05,0.000142297,0.000327432,0.000406788,0.000293095,0.000267351,0.00036708,0.000310804,0.000406267,0.000280674,0.000248499,0.000584397,0.000226379,0.0002858,0.000366263,0.000536209,0.000597666,0.000200456,0.000185372,0.000186438,0.000105878,0.000246397,0.00018027,0.000189833
0.000526083,0.000452674,0.000498828,0.000472326,0.000541514,0.000367242,0.000183071,0.000214626,0.000185902,0.000387296,0.000153396,0.000332292,0.000280991,0.000322007,0.000235636,0.000272357,0.000417327,0.000588253,0.000223952,0.000355169,0.00017707,0.000219699,0.000200518,0.000470818,1.5e-05,9.79e-05,3.67e-05,0.00013073,0.000274425,0.00042079,0.000309264,0.000284683,0.000477621,0.000313666,0.000477333,0.000164595,0.000275744,0.000663633,0.000253391,0.000290319,0.000328531,0.000643345,0.00050632,0.000169127,0.000202058,0.000265013,0.000143705,0.00013422,0.000217833,0.000207526
0.000532396,0.000662765,0.000380928,0.000373931,0.000616605,0.000429444,0.000197664,0.000242488,0.000237253,0.000461283,0.000239091,0.000540923,0.000353841,0.000514029,0.000277034,0.000320917,0.00049834,0.000583776,0.000276623,0.000376141,0.000223929,0.000293948,0.000250617,0.000413854,1.75e-05,0.000110962,4.32e-05,0.000126773,0.000194415,0.000469253,0.000265423,0.000299131,0.000291019,0.000312527,0.000406906,0.000219026,0.000290536,0.000548603,0.000276751,0.000422399,0.000399568,0.000506797,0.000504757,0.000196133,0.000226001,0.000295724,0.000174528,0.000177366,0.000303924,0.000255675
0.000382812,0.000331614,0.000289178,0.00028349,0.000434905,0.000345878,0.000188531,0.000228099,0.000204775,0.000525125,0.000263846,0.000481456,0.000328403,0.000458221,0.000215745,0.000245487,0.000458323,0.000398794,0.000220611,0.000325382,0.000179003,0.000283865,0.000265873,0.000336572,2e-05,0.000119476,5.69e-05,0.000118499,0.000151717,0.000274595,0.000139323,0.000179359,0.000166749,0.00013649,0.000269916,0.000128021,0.000231934,0.000327112,0.000226446,0.000379402,0.000254271,0.000364648,0.000410395,0.000243894,0.000280609,0.000361334,0.000220489,0.000134383,0.000219205,0.000231033
0.000207631,0.000220692,0.000183651,0.00013549,0.000343993,0.000261766,0.000117881,0.000141343,0.000156836,0.000356937,0.000154063,0.000418142,0.000310813,0.000388342,0.000185118,0.000129107,0.000279824,0.000287298,0.000173619,0.000222229,0.000125595,0.000246001,0.000151728,0.000207441,9.69e-06,5.37e-05,2.64e-05,0.00015841,4.89e-05,0.000127334,0.000219451,9.38e-05,0.000193027,0.000104349,0.000112734,0.000177072,0.000276077,0.000277486,0.000283438,0.000237682,0.000213525,0.000180855,0.000435164,0.000185652,0.000210264,0.000307014,0.000113387,0.00010016,0.000215334,0.000186763
0.000150306,0.000120459,9.33e-05,7.87e-05,0.000198225,0.000164736,8.05e-05,0.000112829,0.000107284,0.000242885,0.000135131,0.00027058,0.000132267,0.000236655,0.000108738,9.38e-05,0.000209355,0.000190367,9.21e-05,0.000119029,7.76e-05,0.000158246,0.000110709,0.000118754,5.01e-06,4.42e-05,1.88e-05,2.91e-05,6.67e-06,6.67e-05,2.8e-05,1.56e-05,6.9e-05,1.36e-05,4.56e-05,5.36e-05,9.05e-05,0.000142025,5.99e-05,0.000137868,9.79e-05,8.79e-05,9.6e-05,0.00010902,0.000137734,0.000168035,3.86e-05,2.68e-05,0.000111803,8.43e-05
0.000181108,0.000181926,0.000158166,8.44e-05,0.00025218,0.000298047,0.000181151,0.000268022,0.000207605,0.000304608,0.00013358,0.000324321,0.000155061,0.000265582,5.26e-05,6.22e-05,0.0004305,0.00019832,9.3e-05,6.64e-05,6.85e-05,8.48e-05,6.61e-05,0.00011659,1.17e-05,6.23e-05,3.89e-05,3.53e-05,4.34e-05,6.05e-05,4.37e-05,4.44e-05,5.26e-05,6.34e-05,0.000120958,6.94e-05,7.54e-05,4.98e-05,9.42e-05,0.00012029,6.32e-05,6.3e-05,5.71e-05,0.000154644,0.000179918,0.000223456,8.67e-05,6.81e-05,0.000143894,0.000114904
0.00035064,0.000294331,0.000242613,0.000232542,0.000369564,0.000236254,0.000115612,0.000135255,0.000143598,0.000322608,0.000130131,0.000473664,0.000259282,0.000394059,0.000116609,0.000185258,0.00029848,0.000245212,0.000152472,0.000276882,8.78e-05,0.00017549,0.000177078,0.000287267,3.11e-05,0.000189384,5.44e-05,0.000175738,0.000104699,0.000209826,0.000202571,0.000117708,0.000150855,0.000168647,0.00021179,0.000322045,0.000342084,0.000229636,0.000177398,0.000178397,0.000188298,0.000335019,0.000273452,0.000250266,0.000243492,0.000327547,0.000157647,0.000347009,0.000234428,0.000384748
0.000728958,0.000576569,0.000505302,0.000497019,0.000507027,0.000344003,0.000149205,0.000251086,0.000239871,0.000493415,0.000185426,0.000551348,0.000319415,0.000480598,0.000300792,0.000416125,0.000386995,0.00053046,0.000251584,0.000522401,0.000217121,0.000236239,0.000294181,0.000455079,3.44e-05,0.000178556,6.98e-05,0.000145793,0.00030003,0.000412489,0.000221845,0.000370542,0.000246112,0.000270474,0.000455708,0.000236547,0.000324806,0.000486515,0.000282242,0.000363083,0.000511452,0.000834605,0.00071621,0.000331456,0.000351753,0.000336214,0.000273579,0.000263119,0.000319827,0.000409842
