0,1,2,3,4,5,6,7,8,9
0.000272415,0.000161438,0.000213064,0.000177189,0.000220374,0.00034973,0.000216453,0.00030019,0.000270366,0.000218389
0.000230334,0.000120718,0.000180564,0.000138595,0.000187716,0.000306195,0.00018193,0.000233514,0.000203055,0.000162228
0.00021246,0.000127991,0.00013178,0.000100231,0.000179683,0.000322634,0.000184914,0.000198107,0.000163094,0.00015395
0.000192562,0.000130694,0.00013248,9.5e-05,0.000167426,0.000263177,0.000166761,0.000211707,0.000137514,0.000147751
0.000259465,0.00015199,0.000154776,0.000134781,0.000198757,0.000319123,0.000225754,0.000295741,0.000173737,0.000190783
0.000354152,0.000201906,0.00022578,0.000167777,0.000298071,0.000471359,0.000295306,0.000319365,0.00023595,0.00026035
0.000388714,0.000244271,0.00025517,0.000183833,0.000296078,0.00053242,0.000353305,0.000458931,0.000268877,0.000321473
0.000326751,0.00022899,0.000266809,0.000202876,0.000260599,0.000497151,0.000292849,0.000400191,0.000309113,0.000277896
0.000304363,0.000184243,0.000206639,0.000188684,0.000263277,0.000406431,0.000257038,0.000304836,0.000283041,0.000244139
0.000288841,0.000204206,0.000266954,0.000222813,0.000222561,0.000340522,0.000246332,0.00032347,0.000333194,0.000190899
0.000260889,0.000152061,0.000211523,0.000167288,0.000185398,0.000344535,0.000202531,0.000258433,0.000270628,0.000175072
0.000281112,0.00016491,0.000220913,0.000189088,0.000204858,0.000362487,0.000218341,0.000286343,0.000321415,0.000204075
