0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0.000273147,0.000221754,0.000283906,0.000194863,0.000667423,0.000551743,0.000137513,0.000138507,0.000244238,0.000136626,0.00014213,0.000312742,0.000514067,0.000321093,0.000345397,0.000276713,0.000330232,0.000246504,0.00030267,0.000163453,0.0003003,0.000125859,2.17e-05,8.17e-05,0.000352722,0.000347339,0.000115108,0.000310511,0.000456597,0.000231897,0.000284627,0.000281375,0.000366167,0.000710921,0.000462554,0.000700004,0.000951817,0.000519087,0.000356756,0.000360688,0.000207505,0.000366883,0.000239901,0.000179048,0.000185568,0.0002531,0.000132374,0.000212407,0.000169361,0.000453763,0.001000008,0.000471968,0.001415341,0.000476057,0.000559396,0.00068216,0.000639383,0.000326852,0.000502688,0.000232732,0.000230279,0.000220816,0.000158726,0.000189014,0.000390642,0.000175565,0.000195005,0.000331662,0.000240897,0.000261713,0.000157529,0.000175797,0.00021742,0.000192167,0.000249501,0.000296813,0.000192139,0.000449165,0.000308901,0.000103153,0.000153763
0.000204553,0.000216715,0.000320404,0.00017962,0.000608437,0.000418149,0.000110392,0.000108904,0.000199831,8.53e-05,0.000106794,0.000249117,0.000465128,0.0003197,0.000412637,0.000215253,0.000466915,0.000454819,0.000426577,0.000277317,0.000243748,0.000145497,2.68e-05,0.000107879,0.000324537,0.000269746,0.000106759,0.000313717,0.000468722,0.000317842,0.000378653,0.000353115,0.00045347,0.000700201,0.000386654,0.000408407,0.000750422,0.000478611,0.000294212,0.000279199,0.00018049,0.000362686,0.000203016,0.000149327,0.00016719,0.000212228,0.000124362,0.000181129,0.000155253,0.000355455,0.000700896,0.000245188,0.000734691,0.000303935,0.000336907,0.000540612,0.000376139,0.00030333,0.000391398,0.000222493,0.000191958,0.000207437,0.000277253,0.000169134,0.000339293,0.000135703,0.000155519,0.000257431,0.000185632,0.000183803,0.000131763,0.00020422,0.000153498,0.000171548,0.000297178,0.000316548,0.000186607,0.000457643,0.00028387,0.000112503,0.000251148
0.000152642,0.000206634,0.000272643,0.000158134,0.000437893,0.000358869,0.000149953,0.000149758,0.000226777,0.000146475,0.000158718,0.000347172,0.000620825,0.000316748,0.000335054,0.00028575,0.0004455,0.00036085,0.000398744,0.00028576,0.000299012,0.000129001,3e-05,8.42e-05,0.000363381,0.000264372,0.000114857,0.00029574,0.000557687,0.000307073,0.000316345,0.000348127,0.000410468,0.00039624,0.00025708,0.00042402,0.000428184,0.000366004,0.000281474,0.000249344,0.000151889,0.000267769,0.000219161,0.000120001,0.000115997,0.000159985,0.000105516,0.000178978,0.000117246,0.000360949,0.000663352,0.000230364,0.000545955,0.000261233,0.000253325,0.000579778,0.000343757,0.000270656,0.000406954,0.000226993,0.000238626,0.000172793,0.000125715,0.000151815,0.000260663,0.00014039,0.000150653,0.000230235,0.000241196,0.00024146,0.000146216,0.000158926,0.000175947,0.000173628,0.000231553,0.000257122,0.000199274,0.000423165,0.000334373,0.000115429,0.000174506
0.000164058,0.00015784,0.000184398,0.000118835,0.000414321,0.000296952,0.000164516,0.000149816,0.000159074,0.000128929,0.000144853,0.000276565,0.000600552,0.000320573,0.000381321,0.000278377,0.000525973,0.000370415,0.000379309,0.0002827,0.000181997,0.000232076,5.21e-05,0.00016308,0.000286886,0.000203887,6.91e-05,0.000282047,0.000472519,0.000226587,0.000278544,0.000324147,0.000365201,0.00027293,0.000150494,0.000281022,0.000269104,0.000291228,0.000312731,0.000333005,0.000165171,0.000299526,0.000284298,0.000186694,0.000171129,0.000184958,0.000119004,0.000227449,0.000127019,0.000519137,0.000564484,0.00015936,0.00034082,0.000230521,0.000207812,0.000400239,0.000206814,0.000192984,0.000315106,0.000133394,0.000295929,0.000168646,0.000149324,0.00013953,0.000281892,0.000171496,0.0001508,0.00026196,0.000275161,0.000291136,0.000174674,0.000185471,0.000185926,0.000214988,0.000213221,0.000269651,0.000228713,0.000600053,0.000376244,0.000175708,0.000286333
0.000131963,0.000142172,0.000215885,0.000121079,0.000267895,0.00026038,0.000166597,0.000167199,0.00019818,0.000184297,0.000195102,0.000306378,0.00067923,0.000253848,0.000307073,0.000214018,0.000375567,0.000327577,0.000246659,0.000186983,8.83e-05,0.000284619,6e-05,0.000209962,0.000252942,0.000165572,3.53e-05,0.000232199,0.000328754,0.000182332,0.000174793,0.000201349,0.000249696,0.000208547,0.000127425,0.000226147,0.000151277,0.000200717,0.000283913,0.000248981,0.000141582,0.000242744,0.000302498,0.000166393,0.000130353,0.000214858,0.000127327,0.000220305,0.000121866,0.000506225,0.000512552,0.000148772,0.000193596,0.000182499,0.000154766,0.000307748,0.000189765,0.000136325,0.000245826,9.8e-05,0.000326501,0.00017893,0.00019077,0.000151749,0.000350069,0.000218631,0.000155824,0.000323242,0.000264293,0.000348333,0.000220712,0.000201137,0.000187368,0.000196268,0.000205277,0.00025247,0.000249553,0.000569272,0.000332883,0.00017539,0.000263633
0.000110366,0.000144466,0.000165352,0.000121829,0.000216095,0.000197356,0.000126308,0.000100422,0.000120189,0.000108222,0.000118752,0.000200178,0.000318053,7.06e-05,9.29e-05,6.82e-05,0.000167179,0.000104452,7.71e-05,4.88e-05,3.62e-05,0.000233357,4.49e-05,0.000196705,8.54e-05,4.08e-05,1.96e-05,4.38e-05,6.87e-05,3.67e-05,3.34e-05,4.69e-05,6.18e-05,0.000153076,7.11e-05,0.000174451,8.63e-05,0.000205407,0.000240376,0.000244167,0.000131625,0.000212188,0.000215313,0.000134196,0.00013734,0.000220723,0.000128755,0.000209958,0.000110741,0.000437286,0.000340568,8.18e-05,0.000109903,0.000126398,0.000110791,0.000174896,8.99e-05,5.26e-05,6.54e-05,4.94e-05,0.000203343,0.000181183,0.000155454,0.000161565,0.000280221,0.000152102,0.000140583,0.00023539,0.000166275,0.000256382,0.000150685,0.000155162,0.000143498,0.000148665,0.000226546,0.000311565,0.000165713,0.000392918,0.000124024,9.52e-05,0.000158456
8.99e-05,9.2e-05,0.000121438,8.74e-05,0.000110084,8.07e-05,5.43e-05,5.68e-05,4.62e-05,3.94e-05,3.72e-05,5.47e-05,0.000131343,1.3e-05,3.29e-05,1.54e-05,7.97e-05,3.34e-05,2.81e-05,2.41e-05,9.73e-06,0.000148716,2.09e-05,0.000135893,1.36e-05,4.79e-06,4.06e-06,4.41e-06,1.2e-05,3.97e-06,6.87e-06,1.98e-05,1.66e-05,4.02e-05,2.82e-05,5.31e-05,4.45e-05,5.19e-05,9.84e-05,0.00010557,6.12e-05,0.000113971,9.72e-05,8.07e-05,8.68e-05,0.000122235,7.65e-05,9.84e-05,5.59e-05,0.00016332,0.000162632,2.95e-05,3.71e-05,5.48e-05,4.88e-05,6.56e-05,3.54e-05,3.11e-05,2.28e-05,2.12e-05,7.15e-05,0.000123811,9.89e-05,8.88e-05,0.000221937,7.31e-05,0.000120419,0.000134137,0.000157894,0.000116176,6.68e-05,0.000113309,0.000170434,0.000179444,0.000185316,0.000203439,9.93e-05,0.000237937,4.57e-05,4.82e-05,7.96e-05
0.000150406,9.24e-05,6.08e-05,7.87e-05,9.35e-05,7.35e-05,4.07e-05,2.76e-05,4.52e-05,2.68e-05,3.77e-05,4.94e-05,6.18e-05,1.27e-05,2.67e-05,1.98e-05,0.00011078,4.09e-05,2.97e-05,2.11e-05,6.91e-06,0.000108081,1.57e-05,0.000116222,1.44e-05,8.08e-06,3.78e-06,5.95e-06,1.59e-05,3.53e-06,1.02e-05,1.47e-05,1.84e-05,3.79e-05,1.93e-05,7.32e-05,2.31e-05,5.35e-05,0.000141699,0.000109458,5.11e-05,0.000131601,0.000117922,6.68e-05,8.73e-05,0.000113653,6.29e-05,8.72e-05,7.5e-05,0.000172433,0.000122004,2.33e-05,4.48e-05,4.76e-05,6.97e-05,7.41e-05,3.9e-05,2.01e-05,2.23e-05,1.84e-05,5.89e-05,0.000128442,9.69e-05,0.000160539,0.000178466,9.76e-05,0.000144446,0.000241743,6.93e-05,0.000116159,5.19e-05,0.00010769,8.82e-05,6.55e-05,0.000217741,0.000249835,8e-05,0.000188974,2.71e-05,3.6e-05,8.56e-05
0.000162838,0.000176446,0.00018235,0.000103605,0.000209556,0.000197422,8.46e-05,5.37e-05,6.38e-05,5.28e-05,7.06e-05,0.000124802,0.000249728,6.62e-05,9.47e-05,5.91e-05,0.000125244,6.86e-05,6.86e-05,3.03e-05,3.85e-05,8.73e-05,1.43e-05,9.97e-05,6.29e-05,3.18e-05,1.61e-05,5e-05,7.47e-05,2.83e-05,4.56e-05,3.51e-05,4.51e-05,0.000183678,6.24e-05,0.000116962,0.000134867,0.000173022,0.00016872,0.000176833,6.27e-05,0.000130325,0.000145092,0.000113955,0.000106353,0.000144665,7.24e-05,0.000134356,0.000107276,0.00025693,0.000208158,6.25e-05,0.000216539,0.000114014,8.7e-05,0.000147073,7.6e-05,0.000109782,6.7e-05,4.95e-05,0.000110785,0.000125232,8.8e-05,0.000126966,0.000238917,8.97e-05,0.000147674,0.000213459,0.000128112,0.000177003,0.000103337,0.000178075,0.000134556,0.000152942,0.000326996,0.000294171,0.000176381,0.000211889,0.000102032,6.45e-05,7.12e-05
0.000349493,0.000247337,0.00028459,0.000197594,0.000402458,0.000321999,0.000104767,0.000122599,0.000170181,0.000130994,0.000130812,0.000259044,0.000452572,0.000214853,0.000259824,0.000183938,0.000335838,0.00029503,0.000253377,0.000129695,0.00014983,0.000242716,4.35e-05,0.000123762,0.000200414,0.000142029,4.97e-05,0.000185145,0.000327759,0.000132154,0.000196143,0.000175535,0.000211696,0.000311168,0.000144539,0.000232429,0.000318119,0.000216559,0.000249836,0.000218482,0.000108264,0.000431179,0.000182714,0.000124875,0.000194315,0.000250516,0.00012718,0.000187424,0.000202192,0.000440006,0.000487994,0.000178925,0.000390004,0.000230362,0.000237831,0.000365105,0.00021665,0.000167808,0.000188165,0.000137386,0.000228414,0.00018597,0.000131644,0.000150686,0.000376975,0.000165877,0.000246722,0.000529194,0.000256289,0.000299124,0.000204482,0.000282075,0.000239762,0.000261689,0.000373152,0.000365692,0.000265777,0.000499145,0.000257815,0.000139786,0.000187432
